position_id,symbol,side,action,time_utc,time_ms,price,portion_pct,msg,note,msg_url
UNIUSDT-2026-05-07-long,UNIUSDT,long,signal,2026-05-06T23:34:43Z,1778110483759.0,3.46,,5,3.46 CMP,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
UNIUSDT-2026-05-07-long,UNIUSDT,long,stop_set,2026-05-06T23:34:43Z,1778110483759.0,3.28,,5,published stop,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
UNIUSDT-2026-05-07-long,UNIUSDT,long,target_set,2026-05-06T23:34:43Z,1778110483759.0,3.669,,5,TP1 as published,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
UNIUSDT-2026-05-07-long,UNIUSDT,long,entry,2026-05-06T23:34:43Z,1778110483759.0,3.458,,5,,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
ETHUSDT-2026-05-07-long,ETHUSDT,long,signal,2026-05-06T23:35:46Z,1778110546105.0,2348.0,,6,2348 CMP; said he takes TP manually so he might close before or after 2420,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
ETHUSDT-2026-05-07-long,ETHUSDT,long,stop_set,2026-05-06T23:35:46Z,1778110546105.0,2292.0,,6,published stop,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
ETHUSDT-2026-05-07-long,ETHUSDT,long,target_set,2026-05-06T23:35:46Z,1778110546105.0,2420.0,,6,TP1 as published,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
ETHUSDT-2026-05-07-long,ETHUSDT,long,entry,2026-05-06T23:35:46Z,1778110546105.0,2348.0,,6,,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
BTCUSDT-2026-05-07-long,BTCUSDT,long,signal,2026-05-07T08:06:57Z,1778141217506.0,81500.0,,8,"50% of size at 81.5k, 50% held back for the 80.8k DCA (msg 9)",https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
BTCUSDT-2026-05-07-long,BTCUSDT,long,stop_set,2026-05-07T08:06:57Z,1778141217506.0,79600.0,,8,published stop,https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
BTCUSDT-2026-05-07-long,BTCUSDT,long,target_set,2026-05-07T08:06:57Z,1778141217506.0,82500.0,,8,TP1 as published,https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
BTCUSDT-2026-05-07-long,BTCUSDT,long,entry,2026-05-07T08:06:57Z,1778141217506.0,81500.0,,8,,https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
BTCUSDT-2026-05-07-long,BTCUSDT,long,dca_fill,2026-05-07T09:57:30Z,1778147850706.0,80900.0,,10,filled manually at 80.9k because price missed his 80.8k limit by about $10,https://discord.com/channels/1042855255089623100/1501271173588193290/1501885683806240808
ZROUSDT-2026-05-07-long,ZROUSDT,long,signal,2026-05-07T12:32:55Z,1778157175797.0,1.48,,11,1.48 CMP; three minutes later he corrected that CMP was really 1.486 because price moved fast. He advised followers to keep 50-30% back for a DCA but said he was not saving for DCA himself,https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
ZROUSDT-2026-05-07-long,ZROUSDT,long,stop_set,2026-05-07T12:32:55Z,1778157175797.0,1.36,,11,published stop,https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
ZROUSDT-2026-05-07-long,ZROUSDT,long,target_set,2026-05-07T12:32:55Z,1778157175797.0,1.5523,,11,TP1 as published,https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
ZROUSDT-2026-05-07-long,ZROUSDT,long,entry,2026-05-07T12:32:55Z,1778157175797.0,1.4744,,11,,https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
GOLD-2026-05-07-long,GOLD,long,signal,2026-05-07T12:41:53Z,1778157713243.0,,,14,,https://discord.com/channels/1042855255089623100/1501271173588193290/1501927050284372139
BTCUSDT-2026-05-07-long,BTCUSDT,long,exit,2026-05-07T16:48:16Z,1778172496606.0,,100.0,15,stop_loss,https://discord.com/channels/1042855255089623100/1501271173588193290/1501989056202936340
ETHUSDT-2026-05-07-long,ETHUSDT,long,exit,2026-05-07T16:48:16Z,1778172496606.0,,100.0,15,stop_loss,https://discord.com/channels/1042855255089623100/1501271173588193290/1501989056202936340
BTCUSDT-2026-05-08-long,BTCUSDT,long,signal,2026-05-07T22:40:42Z,1778193642827.0,79700.0,,17,79.7k CMP,https://discord.com/channels/1042855255089623100/1501271173588193290/1502077749882523759
BTCUSDT-2026-05-08-long,BTCUSDT,long,stop_set,2026-05-07T22:40:42Z,1778193642827.0,78500.0,,17,published stop,https://discord.com/channels/1042855255089623100/1501271173588193290/1502077749882523759
BTCUSDT-2026-05-08-long,BTCUSDT,long,target_set,2026-05-07T22:40:42Z,1778193642827.0,80500.0,,17,TP1 as published,https://discord.com/channels/1042855255089623100/1501271173588193290/1502077749882523759
