msg,time_utc,time_ms,event_type,symbol,side,entry_price,dca_price,take_profits,stop_loss,portion_pct,leverage,r_stated,roi_pct,price_ref,risk_note,rationale,indicators,market_context,quote,confidence,confidence_rank,msg_url
1,2026-05-06T20:44:07Z,1778100247027,chat,,,,,,,,,,,,,"introduction post thanking God, Chento and john.scx for the place in the server",,,"Hello everyone, 

First I would like to thank God for everything then @Chento (Won’t DM first)  who has given me a place in his space, also @john.scx who had been very kind and patient with me!",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686019504865280
1,2026-05-06T20:44:07Z,1778100247027,education,,,,,,,,,,,,"never ever let go of risk management, hold onto risk management if you want to hold on your money long term",explains he posts both High R / low win-rate and high win-rate / low R trades and will label the type so followers can match their own strategy; only request is that they keep risk management,,,"I do all sorts of trades High R Low Wins and High Win rate and Low R trades, I'll try to write what kind of trade it is so whatever your strategy is you can go with it, my only request from you guys would be never ever let go of risk management, hold onto risk management if you want to hold on your money long term.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686019504865280
2,2026-05-06T20:47:41Z,1778100461204,recap,,,,,,,,,,,,,"one month of journal trading: 25 trades, 22 wins, 3 BE, 0 losses; screenshot lists the tickers (ASTER, AXS, IRYS, BTC x many, ETH, HYPE, PEPE, SOL, ALGO)",,,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
4,2026-05-06T23:33:26Z,1778110406562,plan,,,,,,,,,,,,flags the two upcoming trades as risky,announces he is about to take 2 risky trades; wanted a safe start but could not resist,,,"Guys I'm out taking 2 risky trades here, I wanted a safe start but I can't resist.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728631683027075
5,2026-05-06T23:34:43Z,1778110483759,call,UNIUSDT,long,3.46,,3.669,3.28,,,,,3.46,,long at current market price; he takes TPs manually but followers can set the order,,,"Long UNI

Entry: 3.46 CMP 

TP1: 3.669
(I take manual TPs but you can set in case)

SL: 3.28",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
6,2026-05-06T23:35:46Z,1778110546105,call,ETHUSDT,long,2348.0,,2420,2292.0,,,,,2348.0,,long at CMP; TP taken manually so he may close before or later than 2420,,,"Long ETH

Entry: 2348 CMP 

TP: 2420 
(Again I take manual might close before or later)

SL: 2292",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
7,2026-05-06T23:36:23Z,1778110583697,view,BTCUSDT,,,,,,,,,,,labels the UNI and ETH longs risky,"the UNI and ETH longs are risky because BTC could retrace further, but he expects the 80k region (80s) to hold and at least a visit to 82k+, which would give a scalp on both",support/resistance,BTC could retrace more; expects 80s to hold and 82k+ visit,"Risky trades because BTC could retrace more but I'm expecting 80s to hold, at least visit 82k+ should give us a scalp opportunity on both!",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729374641197106
8,2026-05-07T08:06:57Z,1778141217506,call,BTCUSDT,long,81500.0,80800.0,82500,79600.0,20.0,,,,,"if he does not update, trim 20-25% at the first TP",scalp long with a DCA level at 80.8k; manual TP but instructs trimming 20-25% at 82.5k if he goes quiet,,,"Long BTC (scalp)

Entry: 81.5k
DCA: 80.8k

First TP @ 82.5k
(Can take manual TP earlier or later but if I don't update trim 20-25% at 82.5k)

SL: 79600",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
9,2026-05-07T08:07:30Z,1778141250627,dca,BTCUSDT,long,,,,,50.0,,,,,Entry: 50% / DCA: 50%,"sizing split for the BTC scalp - half the intended size at entry, half held back for the 80.8k DCA",,,"Entry: 50%
DCA: 50%",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1501858001068228840
10,2026-05-07T09:57:30Z,1778147850706,dca,BTCUSDT,long,,80900.0,,,,,,,,,filled the DCA manually at 80.9k because price missed his 80.8k DCA order by about $10,,,DCAed manually at 80.9k because missed by 10$,medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1501885683806240808
