position_id,symbol,base,quote,asset_class,side,side_sign,signal_time_utc,signal_ms,entry_time_utc,entry_ms,exit_time_utc,exit_ms,duration_hours,planned_entry,avg_entry,entry_ref,entry_style,planned_stop,planned_tp1,planned_tps,n_planned_tps,planned_dca,risk_dist_abs,risk_dist_pct,tp1_dist_pct,planned_rr,leverage,risk_note,exit_price,exit_type,outcome,r_stated,r_from_prices,roi_card_pct,n_dca_fills,n_stop_moves,n_tp_changes,n_partials,still_open_at_end,confidence,confidence_rank,is_backtestable,data_quality_flags,signal_hour_utc,signal_dow,signal_date_utc,thesis,indicators,market_context,management_story,notes,first_msg,msgs,first_msg_url
UNIUSDT-2026-05-07-long,UNIUSDT,UNI,USDT,crypto,long,1.0,2026-05-06T23:34:43Z,1778110483759,2026-05-06T23:34:43Z,1778110483759.0,2026-05-08T16:41:13Z,1778258473533.0,41.1,3.46,3.458,3.458,market,3.28,3.669,3.669,1,,0.178,5.1475,6.1018,1.185,50.0,,3.7,take_profit,win,1.4,1.36,101.21,0,1,1,1,False,high,3,True,,23,Wed,2026-05-06,Simple long on UNI at market with a first target at 3.669; he took it as a clean setup and later treated it as the channel's first win.,,,"He called the long at 3.46 CMP with a single 3.669 target and a 3.28 stop, noting he takes TPs manually but followers could set the order. A day and a half later, 0.7R up, he closed 50% and framed it as the channel's first win, lifted his own target to 3.7 (telling followers they could hold for 4) and moved the stop to breakeven at 3.46. An hour later UNI 'blew up' and he took the remainder at 3.7 for around 1.4R. The next morning he re-posted the closed 50x card (entry 3.458, exit 3.528, +101.21%) inside a batch update and said he expected UNI to see $4 by the coming weekend.","The card re-posted in msg 36 shows exit 3.528, not the 3.7 he announced in text - it documents the 50% partial (its +101.21% matches the ROI attached to that partial), so the partial price is carried from that card. No explicit fill price beyond '@ 3.7' was given for the second half.",5,5|26|29|36,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
ETHUSDT-2026-05-07-long,ETHUSDT,ETH,USDT,crypto,long,1.0,2026-05-06T23:35:46Z,1778110546105,2026-05-06T23:35:46Z,1778110546105.0,2026-05-07T16:48:16Z,1778172496606.0,17.2,2348.0,,2348.0,market,2292.0,2420.0,2420,1,,56.0,2.385,3.0664,1.286,,,,stop_loss,loss,,,,0,0,0,0,False,medium,2,True,,23,Wed,2026-05-06,"Plain market long on ETH targeting 2420, with the intention of taking profit manually rather than at a fixed limit.",,unexpected drop; BTC was about to be stopped at the same time,"He called the long at 2348 CMP with a 2292 stop and a 2420 target, saying he would close manually. The trade first travelled far enough that he describes it as having 'gone BE', then an unexpected drop on 7 May took it out along with his BTC long. He never posted a fill price for the stop-out, only that ETH stopped. He apologised for a rough start to the run.","No exit price posted, so exit_price is null; the stated stop was 2292. His wording 'Both went BE but didn't expect a drop so stopped' leaves it ambiguous whether he was taken out at the original 2292 stop or at a breakeven stop he had moved up - he treats it as a loss and apologises, so it is recorded as a loss.",6,6|15,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
BTCUSDT-2026-05-07-long,BTCUSDT,BTC,USDT,crypto,long,1.0,2026-05-07T08:06:57Z,1778141217506,2026-05-07T08:06:57Z,1778141217506.0,2026-05-07T16:48:16Z,1778172496606.0,8.7,81500.0,,81500.0,,79600.0,82500.0,82500,1,80800,1900.0,2.3313,1.227,0.526,,"Scalp. If he did not update, followers were to trim 20-25% at the first TP (82.5k)",,stop_loss,loss,,,,1,0,0,0,False,medium,2,True,,8,Thu,2026-05-07,"A scalp long into the 80k region: he thought BTC could retrace further but expected the 80s to hold and at least a visit to 82k+, which would give a scalp.",support/resistance,BTC weak and possibly retracing further; he was already carrying UNI and ETH longs he called risky for the same reason (msg 7).,"He called the scalp at 81.5k with half the size and the other half saved for a DCA at 80.8k (msgs 8-9), and when price missed that limit by about $10 he filled the second half manually at 80.9k (msg 10). He never posted an average or a card for it. That evening BTC dropped unexpectedly and it was stopped: 'ETH stopped, BTC about to get stopped (on some exchanges maybe it already did). Both went BE but didn't expect a drop so stopped' (msg 15). Followers had been told to trim 20-25% at 82.5k if he went quiet, but price never reached the first target.","No exit price was ever posted - 79.6k is his published stop, not a confirmed fill, and msg 15 says it was still in the process of being stopped across exchanges. Average entry not stated (50% at 81.5k, 50% at 80.9k), so it is left null rather than blended. 'Both went BE' is ambiguous: if he had moved the stop to breakeven this would be a scratch rather than a loss, but the event is logged as a stop-out so it is recorded as a loss.",8,8|9|10|15,https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
ZROUSDT-2026-05-07-long,ZROUSDT,ZRO,USDT,crypto,long,1.0,2026-05-07T12:32:55Z,1778157175797,2026-05-07T12:32:55Z,1778157175797.0,2026-05-10T21:40:45Z,1778449245500.0,81.1,1.48,1.4744,1.4744,market,1.36,1.5523,1.5523,1,1.45,0.1144,7.7591,5.2835,0.681,50.0,Keep 50-30% funds for DCA but optional you can go all in here I'm not saving for DCA personally,1.4744,breakeven,win,,0.0,178.94,0,0,1,1,False,high,3,True,,12,Thu,2026-05-07,"A straight CMP long on ZRO managed by hand, with 1.5523 as the fallback target if he went quiet. He flagged it as the last new position he would open before one of his others exited.",,,"He called the long at 1.48 CMP and corrected the fill to 1.486 three minutes later after a fast move, advising followers to split 50/50 with a DCA at 1.45 while he took his own size in one go. By the 9 May batch update his 50x card was open at +34.43% (entry 1.4744, mark 1.4849). On 10 May he complained that ZRO had been rejecting from the 1.5523 target for three days and told the room to take profit early on any drop; ninety minutes later he booked 25% at 1.53 for +178.94% and said he would fully exit around 1.55+. The rest was stopped at breakeven just after midnight, straight after TP1 - and in the same message he re-entered the same long.","His card entry (1.4744) is below both the 1.48 call and the 1.486 corrected CMP, so part of the size filled lower than either quoted price and he never explained it. No exit fill is quoted anywhere: 1.4744 is used because that is his stated entry and a breakeven stop exits there. Msg 57 both closes this position and opens the next ZRO long.",11,11|12|13|36|53|54|57,https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
GOLD-2026-05-07-long,GOLD,XAU,USD,metal,long,1.0,2026-05-07T12:41:53Z,1778157713243,,,,,,,,,,,,,0,,,,,,,Declined the setup because he already had too many positions open.,,not_taken,not_taken,,,,0,0,0,0,False,high,3,False,,12,Thu,2026-05-07,"Gold looked longable to him, but position capacity - not the chart - kept him out.",,,"He flagged gold as longable and immediately declined it: 'Gold looks Longable but too many positions for now!' No entry, stop or target was published and he never came back to this particular idea; gold does not appear again until a 3R trade he mentions on 28 May.","An idea floated and dropped in one message - no levels of any kind, so nothing to link a later gold trade to.",14,14,https://discord.com/channels/1042855255089623100/1501271173588193290/1501927050284372139
BTCUSDT-2026-05-08-long,BTCUSDT,BTC,USDT,crypto,long,1.0,2026-05-07T22:40:42Z,1778193642827,2026-05-07T22:40:42Z,1778193642827.0,2026-05-09T03:06:56Z,1778296016774.0,28.4,79700.0,79764.4,79764.4,market,78500.0,80500.0,80500,1,79469|78600,1264.4,1.5852,0.9222,0.582,100.0,"Soft stop was a 1h close under 79k, hard stop 78.5k; DCAs were equal-sized to the initial entry",80341.2,manual_close,win,,0.456,72.31,1,1,1,1,False,high,3,True,,22,Thu,2026-05-07,"Long from 79.7k CMP with a conditional invalidation (1h close under 79k) for a push to 80.5k, then held into what he believed would be a hard weekend pump toward the previous daily high.",1h close|4h close|previous daily high,"Straight after the previous day's stop-out; he expected a hard weekend pump, with a 4h close above 80.5k opening 81-82k.","He called it at 79.7k CMP with a soft stop (1h close under 79k) and a hard stop at 78.5k (msg 17). With the trade at breakeven he added an equal-sized DCA at 79469 (msg 18), which filled and left the blend at 79590 (msg 19). He then told everyone to take that DCA half back off at breakeven and re-place it as a limit at 78.6k (msgs 19, 21) and widened the stop to 77.6k to sit under the new level - 'I know it's sound messy but I'm confident we will exit this one in green' - and the second DCA never filled. He posted a screenshot showing his own entry at 79,564.80 and offered an optional 20% trim at 80.5k (msg 25), then said he was looking to close in the 81-82k area on a 4h close above 80.5k (msg 33). He closed it manually the next morning at 80.4k - card 79,764.40 to 80,341.20, +72.31% on 100x (msgs 36, 40) - and afterwards clarified that 79.5k was the original entry and it only shows as 79.7k because he added margin (msg 41).","Four entry figures appear for the same trade: 79,590 blended after the DCA (msg 19), 79,564.80 on the 05-08 screenshot (msg 25), 79.5k which he calls the original entry (msgs 33, 41), and 79,764.40 on the closing card, which he explains by having added margin; avg_entry uses the closing card. Both DCA levels were added after the call, not published with it. After closing he twice talked about re-longing (CMP with SL 79k or waiting for ~80.3k in msg 42, then a 79k entry / 78k DCA / 77k SL setup in msg 43 with explicit instructions not to leave limits) but never took either - the next BTC trade was a short on 05-11.",17,17|18|19|21|25|33|36|40|41,https://discord.com/channels/1042855255089623100/1501271173588193290/1502077749882523759
AVNTUSDT-2026-05-08-long,AVNTUSDT,AVNT,USDT,crypto,long,1.0,2026-05-08T03:43:06Z,1778211786564,2026-05-08T03:43:06Z,1778211786564.0,,,,0.158,0.15851,0.15851,market,0.1411,0.1746,0.1746|0.2023,2,,0.01741,10.9835,10.1508,0.924,50.0,,,unknown,win,,,246.69,0,0,1,1,True,medium,2,True,,3,Fri,2026-05-08,No reasoning was published beyond the levels: a plain CMP long on AVNT with a two-step ladder at 0.1746 and 0.2023 and a stop at 0.1411.,,,"He called it at 0.158 CMP with a 0.1411 stop and targets at 0.1746 and 0.2023. By the 9 May batch update the 50x card was open at +265.55% (entry 0.15851, mark 0.16787) and he told the room to take profit whenever they liked rather than let winners round-trip. On the evening of 10 May he announced TP1 at 0.16709, the card still open at +246.69%, and pulled the plan in - the rest would now come off at 0.1746 instead of running to 0.2023. That final exit is never reported: AVNT does not appear in the log again.","Profit was definitely banked at TP1, which is why this is scored a win, but the size of that partial and the fate of the remainder are both unknown - the position simply drops out of the log after 10 May. Marked still open only because nothing reports it closing.",22,22|36|52,https://discord.com/channels/1042855255089623100/1501271173588193290/1502153850231193630
KERNELUSDT-2026-05-08-long,KERNELUSDT,KERNEL,USDT,crypto,long,1.0,2026-05-08T15:47:55Z,1778255275357,2026-05-08T15:47:55Z,1778255275357.0,,,,0.064,0.06454,0.06454,market,0.581,0.066,0.066,1,,0.51646,800.2169,2.2622,0.003,20.0,"High win rate, low R trade; stop is a 4h close under the level or the hard stop",,unknown,win,,,49.35,0,1,1,1,True,medium,2,False,stop_distance_implausible|stop_on_wrong_side,15,Fri,2026-05-08,"Explicitly a high win rate, low R trade - a 0.064 CMP long targeting about 0.066 first, managed by hand with a 4h close as the soft stop.",4h close,,"He called KERNEL at 0.064 CMP as a high win rate / low R trade, with the stop written as a 4h close under 0.59 or a hard stop at 0.581 - both an order of magnitude away from the entry. Ten hours later he announced TP1 at 0.06615 with the 20x card at +49.35% and set the next target at 0.0673. The same card reappeared in his 4:48 batch update, still open, with the room told to take profit whenever they liked. Nine minutes after that he posted the reminder to move the stop to entry after TP1, replying to the KERNEL message. Nothing more about KERNEL is ever posted, so the final exit is unknown.","The published stops (4h close under 0.59, hard stop 0.581) are almost certainly typos for 0.059 / 0.0581 against a 0.064 entry - recorded exactly as posted. The stop-to-entry move is inferred from reply context and carries no level. TP1 was announced but the card still showed the position open and no exit is ever reported, so the win rests on the announced TP1 alone.",27,27|28|35|36|39,https://discord.com/channels/1042855255089623100/1501271173588193290/1502336255449366558
SNXUSDT-2026-05-08-long,SNXUSDT,SNX,USDT,crypto,long,1.0,2026-05-08T16:49:28Z,1778258968177,2026-05-08T16:49:28Z,1778258968177.0,2026-05-10T20:33:31Z,1778445211407.0,51.7,0.354,0.3545,0.3545,market,0.31,0.39,0.39,1,0.334,0.0445,12.5529,10.0141,0.798,25.0,"DCA is 50% of size; TP1 at 0.39 is 1R and closes 50% of the position, TP2 to be given later.",0.3626,manual_close,win,,0.182,55.8,0,0,0,0,False,high,3,True,,16,Fri,2026-05-08,"Long SNX at market with a laddered plan - half now, half at 0.334 - and a first target at 0.39 that he defined as 1R.",,Expected a broad market pullback at the time he closed.,"He called SNX long at 0.354 CMP with a 0.334 DCA for the second half, TP1 0.39 (1R, 50%) and a 0.31 stop. The DCA never came - SNX went straight up and by the next morning his 25x card was +118.67% (entry 0.3545, mark 0.3727), which he showed in a batch update telling members to take TP whenever they wanted rather than let trades round-trip. Two days later he posted that he was 'this close to closing SNX idk why but I just want to close', and that evening he closed the whole thing at 0.3626 for +55.80%, saying he expected a pullback and would re-open after Monday.","Closed on gut feel well short of the 0.39 target; the position had been +118.67% on the card 40 hours before he exited at +55.80%, so he gave back a good part of the move. He never re-opened SNX after Monday in this log.",31,31|36|53|56,https://discord.com/channels/1042855255089623100/1501271173588193290/1502351744259063878
SYRUPUSDT-2026-05-09-long,SYRUPUSDT,SYRUP,USDT,crypto,long,1.0,2026-05-09T01:52:10Z,1778291530882,,,2026-05-09T01:52:10Z,1778291530882.0,,,0.25328,0.25328,,,,,0,,,,,,25.0,,0.26013,manual_close,win,,,67.61,0,0,0,0,False,medium,2,False,,1,Sat,2026-05-09,A leftover trade from his Journals that he had held for ten days; he still believed it would blow up but closed it out of impatience.,,,"Only the exit of this trade falls inside the log. The share card shows a 25x long from 0.25328 closed at 0.26013 for +67.61%. He says he had been holding it for about ten days and was closing purely because it was getting annoying, adding that he was sure it would blow up right after he was out. Nothing about the original entry, stop or targets was ever posted here.","Entry, stop and targets are unknown - the position was opened in his 'Journals' before this log begins, so entry_time and duration cannot be given. His '10 days' remark puts the entry around 2026-04-29 but he never states a date.",38,38,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488322143162518
