position_id,symbol,side,signal_time_utc,entry_ref,planned_stop,planned_tp1,last_msg,last_seen_utc,why
ETHUSDT-2026-05-13-long,ETHUSDT,long,2026-05-13T03:41:20Z,2293.0,2245.0,2336.0,95,2026-05-13T04:21:45Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
PARTIUSDT-2026-05-16-long,PARTIUSDT,long,2026-05-16T01:23:08Z,0.606,0.0525,0.07,139,2026-05-16T16:29:46Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BTCUSDT-2026-05-16-long,BTCUSDT,long,2026-05-16T09:58:40Z,78000.0,77700.0,,135,2026-05-16T09:58:40Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BTCUSDT-2026-05-16-long-2,BTCUSDT,long,2026-05-16T16:29:46Z,78041.3,76900.0,,149,2026-05-18T13:26:01Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
FETUSDT-2026-06-02-long,FETUSDT,long,2026-06-02T05:31:10Z,0.276,0.249,0.3,328,2026-06-02T05:31:10Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BTCUSDT-2026-06-02-long,BTCUSDT,long,2026-06-02T08:51:30Z,69400.0,66500.0,73000.0,332,2026-06-02T10:08:07Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
SEIUSDT-2026-06-02-long,SEIUSDT,long,2026-06-02T14:35:43Z,0.067,0.0632,0.07,338,2026-06-02T19:36:44Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
ETHUSDT-2026-06-06-long-spot,ETHUSDT,long,2026-06-06T09:10:39Z,1578.0,,,995,2026-08-20T17:07:56Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
SOLUSDT-2026-06-06-long,SOLUSDT,long,2026-06-06T09:10:39Z,63.0,,,1002,2026-08-21T13:50:53Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BTCUSDT-2026-06-06-spot-long,BTCUSDT,long,2026-06-06T09:10:39Z,61000.0,,,504,2026-06-15T21:14:09Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
GOLD-2026-06-09-short,GOLD,short,2026-06-09T00:22:25Z,4325.0,4349.0,4275.0,395,2026-06-09T01:01:52Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BEATUSDT-2026-06-09-short-2,BEATUSDT,short,2026-06-09T16:55:34Z,4.7,5.1,3.4,419,2026-06-09T17:09:36Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
XMRUSDT-2026-06-15-long,XMRUSDT,long,2026-06-15T19:08:50Z,357.0,320.0,400.0,506,2026-06-16T11:12:54Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
WLDUSDT-2026-06-16-long,WLDUSDT,long,2026-06-16T11:14:23Z,0.6545,0.5646,0.8,525,2026-06-17T01:40:49Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
HYPEUSDT-2026-06-16-long,HYPEUSDT,long,2026-06-16T15:10:38Z,56.23,,83.0,1003,2026-08-21T14:19:33Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
LDOUSDT-2026-06-17-long,LDOUSDT,long,2026-06-17T13:15:46Z,0.288,0.268,0.303,529,2026-06-17T13:15:46Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
TAOUSDT-2026-06-17-long,TAOUSDT,long,2026-06-17T13:16:29Z,249.66,,,530,2026-06-17T13:16:29Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BTCUSDT-2026-06-29-long,BTCUSDT,long,2026-06-29T02:42:18Z,59200.0,,,623,2026-06-29T03:12:13Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
ETHUSDT-2026-07-04-short,ETHUSDT,short,2026-07-04T01:13:31Z,1759.84,1800.0,1700.0,685,2026-07-06T13:12:02Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,2026-07-14T00:27:55Z,0.241,0.22,0.266,704,2026-07-14T00:27:55Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
GOLD-2026-07-24-long,GOLD,long,2026-07-24T15:03:42Z,4066.9,4045.0,,768,2026-07-24T15:19:25Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
