msg,timestamp,event_type,symbol,side,entry_price,dca_price,take_profits,stop_loss,portion_pct,leverage,r_multiple,roi_pct,price_ref,risk_note,rationale,indicators_mentioned,market_context,quote,confidence,link
1,2026-05-06 23:44:07,chat,,,,,,,,,,,,,"introduction post thanking God, Chento and john.scx for the place in the server",,,"Hello everyone, 

First I would like to thank God for everything then @Chento (Won’t DM first)  who has given me a place in his space, also @john.scx who had been very kind and patient with me!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686019504865280
1,2026-05-06 23:44:07,education,,,,,,,,,,,,"never ever let go of risk management, hold onto risk management if you want to hold on your money long term",explains he posts both High R / low win-rate and high win-rate / low R trades and will label the type so followers can match their own strategy; only request is that they keep risk management,,,"I do all sorts of trades High R Low Wins and High Win rate and Low R trades, I'll try to write what kind of trade it is so whatever your strategy is you can go with it, my only request from you guys would be never ever let go of risk management, hold onto risk management if you want to hold on your money long term.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686019504865280
2,2026-05-06 23:47:41,recap,,,,,,,,,,,,,"one month of journal trading: 25 trades, 22 wins, 3 BE, 0 losses; screenshot lists the tickers (ASTER, AXS, IRYS, BTC x many, ETH, HYPE, PEPE, SOL, ALGO)",,,"I have been trading for the past month in journals and here's my progress so far

**25** trades
**22** Wins
**3** BE 
**0** loss",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501686917828448277
4,2026-05-07 02:33:26,plan,,,,,,,,,,,,flags the two upcoming trades as risky,announces he is about to take 2 risky trades; wanted a safe start but could not resist,,,"Guys I'm out taking 2 risky trades here, I wanted a safe start but I can't resist.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728631683027075
5,2026-05-07 02:34:43,call,UNIUSDT,long,3.46,,3.669,3.28,,,,,3.46,,long at current market price; he takes TPs manually but followers can set the order,,,"Long UNI

Entry: 3.46 CMP 

TP1: 3.669
(I take manual TPs but you can set in case)

SL: 3.28",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
6,2026-05-07 02:35:46,call,ETHUSDT,long,2348,,2420,2292,,,,,2348,,long at CMP; TP taken manually so he may close before or later than 2420,,,"Long ETH

Entry: 2348 CMP 

TP: 2420 
(Again I take manual might close before or later)

SL: 2292",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
7,2026-05-07 02:36:23,view,BTCUSDT,,,,,,,,,,,labels the UNI and ETH longs risky,"the UNI and ETH longs are risky because BTC could retrace further, but he expects the 80k region (80s) to hold and at least a visit to 82k+, which would give a scalp on both",support/resistance,BTC could retrace more; expects 80s to hold and 82k+ visit,"Risky trades because BTC could retrace more but I'm expecting 80s to hold, at least visit 82k+ should give us a scalp opportunity on both!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501729374641197106
8,2026-05-07 11:06:57,call,BTCUSDT,long,81500,80800,82500,79600,20,,,,,"if he does not update, trim 20-25% at the first TP",scalp long with a DCA level at 80.8k; manual TP but instructs trimming 20-25% at 82.5k if he goes quiet,,,"Long BTC (scalp)

Entry: 81.5k
DCA: 80.8k

First TP @ 82.5k
(Can take manual TP earlier or later but if I don't update trim 20-25% at 82.5k)

SL: 79600",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
9,2026-05-07 11:07:30,dca,BTCUSDT,long,,,,,50,,,,,Entry: 50% / DCA: 50%,"sizing split for the BTC scalp - half the intended size at entry, half held back for the 80.8k DCA",,,"Entry: 50%
DCA: 50%",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1501858001068228840
10,2026-05-07 12:57:30,dca,BTCUSDT,long,,80900,,,,,,,,,filled the DCA manually at 80.9k because price missed his 80.8k DCA order by about $10,,,DCAed manually at 80.9k because missed by 10$,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1501885683806240808
11,2026-05-07 15:32:55,call,ZROUSDT,long,1.48,,1.5523,1.36,,,,,1.48,Keep 50-30% funds for DCA but optional you can go all in here I'm not saving for DCA personally,long at CMP; manual TP but if he goes quiet take profit around 1.5523; says this is the last new position before something exits,,,"Long ZRO

Entry: 1.48 CMP 

Keep 50-30% funds for DCA but optional you can go all in here I'm not saving for DCA personally 

TP: Manual, IF I don't give TP in a while just TP it around 1.5523

SL: 1.36",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
12,2026-05-07 15:35:12,entry,ZROUSDT,long,1.486,,,,,,,,1.486,,corrects the ZRO entry - CMP was actually 1.486 because price moved fast after the call,,,"1.486 was CMP, moved fast",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1501925370071355604
12,2026-05-07 15:35:12,dca,ZROUSDT,long,,1.45,,,50,,,,,"enter 50% here, and 50% 1.45, your choice if you want to enter fully here","gives a split entry for ZRO after the fast move - half at market, half at 1.45",,,"I advise enter 50% here, and 50% 1.45, your choice if you want to enter fully here",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1501925370071355604
13,2026-05-07 15:35:55,update,ZROUSDT,long,,,1.5523,,,,,,,,reiterates the ZRO fallback TP level in case he does not post a manual TP; no change to the target,,,IF I don't give TP in a while just TP it around 1.5523,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1501925550992654406
14,2026-05-07 15:41:53,view,GOLD,long,,,,,,,,,,declines the setup because he already has too many positions,gold looks longable but he is not taking it - too many positions open,,,Gold looks Longable but too many positions for now!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501927050284372139
15,2026-05-07 19:48:16,stopped_out,BTCUSDT,long,,,,,,,,,,,the BTC scalp is about to be stopped and may already have been on some exchanges; had gone to BE before the drop,,unexpected drop,"ETH stopped, BTC about to get stopped (on some exchanges maybe it already did)

Both went BE but didn't expect a drop so stopped.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1501989056202936340
15,2026-05-07 19:48:16,stopped_out,ETHUSDT,long,,,,,,,,,,,ETH stopped; it had gone to BE first but the unexpected drop took it out - calls it a rough start and apologises,,unexpected drop,"ETH stopped, BTC about to get stopped (on some exchanges maybe it already did)

Both went BE but didn't expect a drop so stopped.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1501989056202936340
17,2026-05-08 01:40:42,call,BTCUSDT,long,79700,,80500,78500,,,,,79700,,"long at CMP with a conditional stop - 1h close under 79k, otherwise the hard stop at 78.5k",1h close,,"Long BTC 

Entry: 79.7k CMP 

TP: 80.5k

SL: 1h close under 79k or hard SL @ 78.5k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502077749882523759
