first_seen,symbol,side,outcome,exit_type,r_multiple,roi_pct,leverage,planned_entry,planned_entry_note,planned_dca,planned_stop,planned_take_profits,risk_note,avg_entry,dca_fills,stop_moves,tp_changes,partials,exit_price,entry_time,exit_time,duration_hours,thesis,management_story,indicators,market_context,still_open_at_end,confidence,notes,msgs,first_link
2026-05-07 02:34:43,UNIUSDT,long,win,take_profit,1.4,101.21,50,3.46,3.46 CMP,,3.28,3.669,,3.458,,time=2026-05-08 18:44:20; to=3.46; type=to_entry; msg=26,"time=2026-05-08 18:44:20; to=[3.7, 4]; msg=26",time=2026-05-08 18:44:20; price=3.528; portion_pct=50; msg=26,3.7,2026-05-07 02:34:43,2026-05-08 19:41:13,41.1,Simple long on UNI at market with a first target at 3.669; he took it as a clean setup and later treated it as the channel's first win.,"He called the long at 3.46 CMP with a single 3.669 target and a 3.28 stop, noting he takes TPs manually but followers could set the order. A day and a half later, 0.7R up, he closed 50% and framed it as the channel's first win, lifted his own target to 3.7 (telling followers they could hold for 4) and moved the stop to breakeven at 3.46. An hour later UNI 'blew up' and he took the remainder at 3.7 for around 1.4R. The next morning he re-posted the closed 50x card (entry 3.458, exit 3.528, +101.21%) inside a batch update and said he expected UNI to see $4 by the coming weekend.",,,False,high,"The card re-posted in msg 36 shows exit 3.528, not the 3.7 he announced in text - it documents the 50% partial (its +101.21% matches the ROI attached to that partial), so the partial price is carried from that card. No explicit fill price beyond '@ 3.7' was given for the second half.","#5, #26, #29, #36",https://discord.com/channels/1042855255089623100/1501271173588193290/1501728955470712946
2026-05-07 02:35:46,ETHUSDT,long,loss,stop_loss,,,,2348,2348 CMP; said he takes TP manually so he might close before or after 2420,,2292,2420,,,,,,,,2026-05-07 02:35:46,2026-05-07 19:48:16,17.2,"Plain market long on ETH targeting 2420, with the intention of taking profit manually rather than at a fixed limit.","He called the long at 2348 CMP with a 2292 stop and a 2420 target, saying he would close manually. The trade first travelled far enough that he describes it as having 'gone BE', then an unexpected drop on 7 May took it out along with his BTC long. He never posted a fill price for the stop-out, only that ETH stopped. He apologised for a rough start to the run.",,unexpected drop; BTC was about to be stopped at the same time,False,medium,"No exit price posted, so exit_price is null; the stated stop was 2292. His wording 'Both went BE but didn't expect a drop so stopped' leaves it ambiguous whether he was taken out at the original 2292 stop or at a breakeven stop he had moved up - he treats it as a loss and apologises, so it is recorded as a loss.","#6, #15",https://discord.com/channels/1042855255089623100/1501271173588193290/1501729216969048065
2026-05-07 11:06:57,BTCUSDT,long,loss,stop_loss,,,,81500,"50% of size at 81.5k, 50% held back for the 80.8k DCA (msg 9)",80800,79600,82500,"Scalp. If he did not update, followers were to trim 20-25% at the first TP (82.5k)",,time=2026-05-07 12:57:30; price=80900; note=filled manually at 80.9k because price missed his 80.8k limit by about $10; msg=10,,,,,2026-05-07 11:06:57,2026-05-07 19:48:16,8.7,"A scalp long into the 80k region: he thought BTC could retrace further but expected the 80s to hold and at least a visit to 82k+, which would give a scalp.","He called the scalp at 81.5k with half the size and the other half saved for a DCA at 80.8k (msgs 8-9), and when price missed that limit by about $10 he filled the second half manually at 80.9k (msg 10). He never posted an average or a card for it. That evening BTC dropped unexpectedly and it was stopped: 'ETH stopped, BTC about to get stopped (on some exchanges maybe it already did). Both went BE but didn't expect a drop so stopped' (msg 15). Followers had been told to trim 20-25% at 82.5k if he went quiet, but price never reached the first target.",support/resistance,BTC weak and possibly retracing further; he was already carrying UNI and ETH longs he called risky for the same reason (msg 7).,False,medium,"No exit price was ever posted - 79.6k is his published stop, not a confirmed fill, and msg 15 says it was still in the process of being stopped across exchanges. Average entry not stated (50% at 81.5k, 50% at 80.9k), so it is left null rather than blended. 'Both went BE' is ambiguous: if he had moved the stop to breakeven this would be a scratch rather than a loss, but the event is logged as a stop-out so it is recorded as a loss.","#8, #9, #10, #15",https://discord.com/channels/1042855255089623100/1501271173588193290/1501857862148952084
2026-05-07 15:32:55,ZROUSDT,long,win,breakeven,,178.94,50,1.48,1.48 CMP; three minutes later he corrected that CMP was really 1.486 because price moved fast. He advised followers to keep 50-30% back for a DCA but said he was not saving for DCA himself,1.45,1.36,1.5523,Keep 50-30% funds for DCA but optional you can go all in here I'm not saving for DCA personally,1.4744,,,time=2026-05-10 22:10:30; to=[1.55]; msg=54; note=full exit moved to around 1.55+ from the 1.5523 fallback level,time=2026-05-10 22:10:30; price=1.53; portion_pct=25; note=+178.94% on the 50x card; msg=54,1.4744,2026-05-07 15:32:55,2026-05-11 00:40:45,81.1,"A straight CMP long on ZRO managed by hand, with 1.5523 as the fallback target if he went quiet. He flagged it as the last new position he would open before one of his others exited.","He called the long at 1.48 CMP and corrected the fill to 1.486 three minutes later after a fast move, advising followers to split 50/50 with a DCA at 1.45 while he took his own size in one go. By the 9 May batch update his 50x card was open at +34.43% (entry 1.4744, mark 1.4849). On 10 May he complained that ZRO had been rejecting from the 1.5523 target for three days and told the room to take profit early on any drop; ninety minutes later he booked 25% at 1.53 for +178.94% and said he would fully exit around 1.55+. The rest was stopped at breakeven just after midnight, straight after TP1 - and in the same message he re-entered the same long.",,,False,high,"His card entry (1.4744) is below both the 1.48 call and the 1.486 corrected CMP, so part of the size filled lower than either quoted price and he never explained it. No exit fill is quoted anywhere: 1.4744 is used because that is his stated entry and a breakeven stop exits there. Msg 57 both closes this position and opens the next ZRO long.","#11, #12, #13, #36, #53, #54, #57",https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
2026-05-07 15:41:53,GOLD,long,not_taken,not_taken,,,,,,,,,Declined the setup because he already had too many positions open.,,,,,,,,,,"Gold looked longable to him, but position capacity - not the chart - kept him out.","He flagged gold as longable and immediately declined it: 'Gold looks Longable but too many positions for now!' No entry, stop or target was published and he never came back to this particular idea; gold does not appear again until a 3R trade he mentions on 28 May.",,,False,high,"An idea floated and dropped in one message - no levels of any kind, so nothing to link a later gold trade to.",#14,https://discord.com/channels/1042855255089623100/1501271173588193290/1501927050284372139
2026-05-08 01:40:42,BTCUSDT,long,win,manual_close,,72.31,100,79700,79.7k CMP,"79469, 78600",78500,80500,"Soft stop was a 1h close under 79k, hard stop 78.5k; DCAs were equal-sized to the initial entry",79764.4,"time=2026-05-08 06:24:00; price=79469; note=equal-sized DCA filled, blended entry 79590 (breakeven); msg=19",time=2026-05-08 06:24:00; to=77600; type=widen; msg=19,"time=2026-05-08 21:22:35; to=[81000, 82000]; msg=33; note=conditional on a 4h close above 80.5k; he actually exited at 80.4k","time=2026-05-08 06:24:00; price=79590; portion_pct=50; msg=19; note=the filled DCA half taken back off at breakeven so it could be re-placed as a limit at 78.6k; phrased as instruction to followers, clarified in msg 21",80341.2,2026-05-08 01:40:42,2026-05-09 06:06:56,28.4,"Long from 79.7k CMP with a conditional invalidation (1h close under 79k) for a push to 80.5k, then held into what he believed would be a hard weekend pump toward the previous daily high.","He called it at 79.7k CMP with a soft stop (1h close under 79k) and a hard stop at 78.5k (msg 17). With the trade at breakeven he added an equal-sized DCA at 79469 (msg 18), which filled and left the blend at 79590 (msg 19). He then told everyone to take that DCA half back off at breakeven and re-place it as a limit at 78.6k (msgs 19, 21) and widened the stop to 77.6k to sit under the new level - 'I know it's sound messy but I'm confident we will exit this one in green' - and the second DCA never filled. He posted a screenshot showing his own entry at 79,564.80 and offered an optional 20% trim at 80.5k (msg 25), then said he was looking to close in the 81-82k area on a 4h close above 80.5k (msg 33). He closed it manually the next morning at 80.4k - card 79,764.40 to 80,341.20, +72.31% on 100x (msgs 36, 40) - and afterwards clarified that 79.5k was the original entry and it only shows as 79.7k because he added margin (msg 41).","1h close, 4h close, previous daily high","Straight after the previous day's stop-out; he expected a hard weekend pump, with a 4h close above 80.5k opening 81-82k.",False,high,"Four entry figures appear for the same trade: 79,590 blended after the DCA (msg 19), 79,564.80 on the 05-08 screenshot (msg 25), 79.5k which he calls the original entry (msgs 33, 41), and 79,764.40 on the closing card, which he explains by having added margin; avg_entry uses the closing card. Both DCA levels were added after the call, not published with it. After closing he twice talked about re-longing (CMP with SL 79k or waiting for ~80.3k in msg 42, then a 79k entry / 78k DCA / 77k SL setup in msg 43 with explicit instructions not to leave limits) but never took either - the next BTC trade was a short on 05-11.","#17, #18, #19, #21, #25, #33, #36, #40, #41",https://discord.com/channels/1042855255089623100/1501271173588193290/1502077749882523759
2026-05-08 06:43:06,AVNTUSDT,long,win,unknown,,246.69,50,0.158,0.158 CMP,,0.1411,"0.1746, 0.2023",,0.15851,,,time=2026-05-10 21:01:23; to=[0.1746]; msg=52; note=the remainder now comes off at 0.1746 rather than being held for the original second target at 0.2023,time=2026-05-10 21:01:23; price=0.16709; note=TP1; the 50x card shows the position open at +246.69%. He never said how much came off; msg=52,,2026-05-08 06:43:06,,,No reasoning was published beyond the levels: a plain CMP long on AVNT with a two-step ladder at 0.1746 and 0.2023 and a stop at 0.1411.,"He called it at 0.158 CMP with a 0.1411 stop and targets at 0.1746 and 0.2023. By the 9 May batch update the 50x card was open at +265.55% (entry 0.15851, mark 0.16787) and he told the room to take profit whenever they liked rather than let winners round-trip. On the evening of 10 May he announced TP1 at 0.16709, the card still open at +246.69%, and pulled the plan in - the rest would now come off at 0.1746 instead of running to 0.2023. That final exit is never reported: AVNT does not appear in the log again.",,,True,medium,"Profit was definitely banked at TP1, which is why this is scored a win, but the size of that partial and the fate of the remainder are both unknown - the position simply drops out of the log after 10 May. Marked still open only because nothing reports it closing.","#22, #36, #52",https://discord.com/channels/1042855255089623100/1501271173588193290/1502153850231193630
2026-05-08 18:47:55,KERNELUSDT,long,win,unknown,,49.35,20,0.064,"0.064, confirmed as CMP twelve seconds later",,0.581,0.066,"High win rate, low R trade; stop is a 4h close under the level or the hard stop",0.06454,,"time=2026-05-09 04:54:13; type=to_entry; msg=39; note=a general 'SL to entry after TP1' reminder posted as a reply to the KERNEL TP1 message, so it reads as moving this stop; no level was restated",time=2026-05-09 04:45:42; to=[0.0673]; msg=35; note=second target set immediately after TP1,time=2026-05-09 04:45:42; price=0.06615; note='KERNEL TP1 here' at +49.35% on the 20x; portion not stated and the card still showed the position open; msg=35,,2026-05-08 18:47:55,,,"Explicitly a high win rate, low R trade - a 0.064 CMP long targeting about 0.066 first, managed by hand with a 4h close as the soft stop.","He called KERNEL at 0.064 CMP as a high win rate / low R trade, with the stop written as a 4h close under 0.59 or a hard stop at 0.581 - both an order of magnitude away from the entry. Ten hours later he announced TP1 at 0.06615 with the 20x card at +49.35% and set the next target at 0.0673. The same card reappeared in his 4:48 batch update, still open, with the room told to take profit whenever they liked. Nine minutes after that he posted the reminder to move the stop to entry after TP1, replying to the KERNEL message. Nothing more about KERNEL is ever posted, so the final exit is unknown.",4h close,,True,medium,"The published stops (4h close under 0.59, hard stop 0.581) are almost certainly typos for 0.059 / 0.0581 against a 0.064 entry - recorded exactly as posted. The stop-to-entry move is inferred from reply context and carries no level. TP1 was announced but the card still showed the position open and no exit is ever reported, so the win rests on the announced TP1 alone.","#27, #28, #35, #36, #39",https://discord.com/channels/1042855255089623100/1501271173588193290/1502336255449366558
2026-05-08 19:49:28,SNXUSDT,long,win,manual_close,,55.8,25,0.354,"0.354 CMP for half the size, the other half reserved for a 0.334 DCA",0.334,0.31,0.39,"DCA is 50% of size; TP1 at 0.39 is 1R and closes 50% of the position, TP2 to be given later.",0.3545,,,,,0.3626,2026-05-08 19:49:28,2026-05-10 23:33:31,51.7,"Long SNX at market with a laddered plan - half now, half at 0.334 - and a first target at 0.39 that he defined as 1R.","He called SNX long at 0.354 CMP with a 0.334 DCA for the second half, TP1 0.39 (1R, 50%) and a 0.31 stop. The DCA never came - SNX went straight up and by the next morning his 25x card was +118.67% (entry 0.3545, mark 0.3727), which he showed in a batch update telling members to take TP whenever they wanted rather than let trades round-trip. Two days later he posted that he was 'this close to closing SNX idk why but I just want to close', and that evening he closed the whole thing at 0.3626 for +55.80%, saying he expected a pullback and would re-open after Monday.",,Expected a broad market pullback at the time he closed.,False,high,"Closed on gut feel well short of the 0.39 target; the position had been +118.67% on the card 40 hours before he exited at +55.80%, so he gave back a good part of the move. He never re-opened SNX after Monday in this log.","#31, #36, #53, #56",https://discord.com/channels/1042855255089623100/1501271173588193290/1502351744259063878
2026-05-09 04:52:10,SYRUPUSDT,long,win,manual_close,,67.61,25,,,,,,,0.25328,,,,,0.26013,,2026-05-09 04:52:10,,A leftover trade from his Journals that he had held for ten days; he still believed it would blow up but closed it out of impatience.,"Only the exit of this trade falls inside the log. The share card shows a 25x long from 0.25328 closed at 0.26013 for +67.61%. He says he had been holding it for about ten days and was closing purely because it was getting annoying, adding that he was sure it would blow up right after he was out. Nothing about the original entry, stop or targets was ever posted here.",,,False,medium,"Entry, stop and targets are unknown - the position was opened in his 'Journals' before this log begins, so entry_time and duration cannot be given. His '10 days' remark puts the entry around 2026-04-29 but he never states a date.",#38,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488322143162518
