dir,entry_ts,entry_dt,entry_px,exit_ts,exit_dt,exit_px,reason,gross_pct,funding_pct,net_pct,sl,init_stop_pct,i_entry,i_exit
long,1587945660,2020-04-27 00:01,198.18,1589221020,2020-05-11 18:17,178.36200000000002,SL,-9.999999999999986,-0.9000629999999997,-11.050062999999986,178.36200000000002,9.999999999999991,167788,189045
long,1595635260,2020-07-25 00:01,279.64,1599231120,2020-09-04 14:52,370.9626155201319,ATR_trail,32.65720766704761,-5.836067000000001,26.67114066704761,251.676,10.0,295738,355670
long,1605139260,2020-11-12 00:01,463.76,1614071340,2021-02-23 09:09,1432.6949241611374,ATR_trail,208.93024930160803,-21.570772,187.20947730160802,417.384,9.999999999999995,454138,602577
long,1618358460,2021-04-14 00:01,2301.52,1618716180,2021-04-18 03:23,2071.368,SL,-9.999999999999998,-1.309088,-11.459087999999998,2071.368,10.000000000000002,673938,679901
long,1627948860,2021-08-03 00:01,2603.6,1631027340,2021-09-07 15:09,3148.0777690155373,ATR_trail,20.912496889519794,-2.475695,18.286801889519793,2343.24,10.000000000000005,833344,884383
long,1648684860,2022-03-31 00:01,3380.69,1649676900,2022-04-11 11:35,3042.621,SL,-9.999999999999998,-0.23287,-10.382869999999999,3042.621,10.0,1178554,1195089
short,1651449660,2022-05-02 00:01,2827.99,1657988100,2022-07-16 16:15,1412.370800318728,ATR_trail,50.05743300652661,0.2959420000000001,50.203375006526606,3110.789,10.000000000000016,1224634,1333609
short,1663891260,2022-09-23 00:01,1325.94,1666717260,2022-10-25 17:01,1458.534,SL,-10.000000000000009,0.23475999999999997,-9.91524000000001,1458.534,10.000000000000004,1431994,1479095
long,1679788860,2023-03-26 00:01,1741.45,1682355060,2023-04-24 16:51,1822.7379055426268,ATR_trail,4.667828851969724,-0.469312,4.048516851969723,1567.305,10.0,1696874,1739645
short,1686873660,2023-06-16 00:01,1665.61,1687347960,2023-06-21 11:46,1832.171,SL,-10.000000000000009,0.040368999999999995,-10.10963100000001,1832.171,10.000000000000009,1814954,1822860
short,1692403260,2023-08-19 00:01,1661.03,1696198680,2023-10-01 22:18,1736.2840916995383,ATR_trail,-4.530567882551084,0.144769,-4.535798882551084,1827.133,10.000000000000005,1907114,1970372
long,1698192060,2023-10-25 00:01,1784.79,1704412860,2024-01-05 00:01,2268.13,ADX<20,27.08105715518354,-3.5568880000000003,23.37416915518354,1606.311,10.000000000000002,2003594,2107275
long,1708041660,2024-02-16 00:01,2822.46,1710836880,2024-03-19 08:28,3300.3517797087407,ATR_trail,16.931746763771336,-3.2087280000000002,13.573018763771337,2540.214,10.000000000000004,2167754,2214342
long,1716595260,2024-05-25 00:01,3728.92,1718675100,2024-06-18 01:45,3356.0280000000002,SL,-9.999999999999998,-0.8428180000000001,-10.992817999999998,3356.0280000000002,9.999999999999995,2310314,2344979
long,1731369660,2024-11-12 00:01,3370.53,1731627720,2024-11-14 23:42,3033.4770000000003,SL,-9.999999999999998,-0.19425800000000001,-10.344257999999998,3033.4770000000003,9.999999999999996,2556554,2560856
long,1746921660,2025-05-11 00:01,2576.48,1750032060,2025-06-16 00:01,2545.79,ADX<20,-1.1911600322921267,-0.644613,-1.9857730322921268,2318.832,10.000000000000005,2815754,2867595
long,1752624060,2025-07-16 00:01,3133.9,1757203260,2025-09-07 00:01,4276.05,ADX<20,36.44500462682281,-0.9786560000000002,35.31634862682281,2820.51,9.999999999999995,2910794,2987115
short,1762473660,2025-11-07 00:01,3312.36,1762735920,2025-11-10 00:52,3643.5960000000005,SL,-10.000000000000009,0.05185599999999999,-10.098144000000008,3643.5960000000005,10.00000000000001,3074954,3079326
short,1779667260,2026-05-25 00:01,2100.89,1784068440,2026-07-14 22:34,1892.0460606943416,ATR_trail,9.940736511938198,0.346879,10.137615511938197,2310.9790000000003,10.00000000000002,3361514,3434868
