dir,entry_dt,entry_price,entry_adx,exit_dt,exit_price,gross_pct,net_pct,reason
long,2020-01-12,8184.98,25.7,2020-02-26,8965.780189057647,9.53942696326255,9.43942696326255,ATR_trail
long,2020-05-01,8826.96,26.6,2020-06-14,9342.1,5.835984302636483,5.735984302636483,ADX<20
long,2020-07-28,10906.27,28.3,2020-09-03,10428.216435861574,-4.383291117296992,-4.483291117296992,ATR_trail
long,2020-10-17,11360.2,25.7,2021-01-21,30173.197108060063,165.60445333761783,165.50445333761783,ATR_trail
long,2021-02-09,46420.42,25.5,2021-02-28,43872.928376404794,-5.487868536293304,-5.587868536293303,ATR_trail
long,2021-03-13,61188.39,25.0,2021-03-15,55069.551,-10.0,-10.1,SL
short,2022-04-27,39235.72,25.3,2022-07-26,21254.67,45.82826567219871,45.72826567219871,ADX<20
short,2022-09-06,18790.61,25.8,2022-09-09,20669.671000000002,-10.000000000000007,-10.100000000000007,SL
short,2022-11-10,17601.15,25.0,2022-12-21,16824.67,4.411529928442193,4.3115299284421935,ADX<20
long,2023-01-13,19930.01,25.8,2023-03-09,21103.763664981525,5.889378203932294,5.789378203932294,ATR_trail
short,2023-08-21,26126.92,27.0,2023-09-16,26559.67,-1.6563376012174418,-1.7563376012174419,ADX<20
long,2023-10-07,27956.67,25.7,2023-10-14,26852.48,-3.9496477942473076,-4.049647794247307,ADX<20
long,2023-10-18,28320.0,25.5,2024-01-05,44145.11,55.87962570621469,55.77962570621469,ADX<20
long,2024-02-14,51795.17,26.1,2024-04-05,67820.62,30.940047112501023,30.840047112501022,ADX<20
short,2024-09-08,54869.95,25.8,2024-09-13,60356.945,-10.000000000000005,-10.100000000000005,SL
long,2024-11-09,76677.46,25.2,2025-01-05,98363.61,28.28230095258762,28.182300952587617,ADX<20
long,2025-04-27,93749.3,25.2,2025-06-04,104696.86,11.677484525217785,11.577484525217786,ADX<20
long,2025-07-16,118630.43,25.1,2025-08-06,114992.27,-3.066801662945999,-3.166801662945999,ADX<20
long,2025-10-05,123482.31,26.9,2025-10-10,111134.079,-10.0,-10.1,SL
short,2026-01-12,91296.2,25.7,2026-03-23,70906.45,22.333623962443124,22.233623962443122,ADX<20
short,2026-05-31,73674.39,25.9,2026-08-07,64923.19,11.878211682512738,11.778211682512739,ADX<20
