date,btc_bh,r4_btc,r4_eth,r4_btc_v2,r4_eth_v2,adx,carry,chento_btc,chento_eth,eth_daily,ema_1w_btc,gold,cash,aux_btc_30d,aux_mode,aux_gated,aux_r4_lev,aux_ema_dir,aux_adx_dir,aux_chento_btc_dir,aux_chento_eth_dir,aux_gold_proxy
2020-01-01,0.0007810730164,0,0,-0.005068337276,0.02408964365,0,0,0,0,0,0,0,0.0001095890411,-0.02647313111,bear,0,2.5,0,0,0,0,1
2020-01-02,-0.03265447829,0,0,0,0,0,0,0,0,0,-0,0.003290556104,0.0001095890411,-0.01280866652,bear,0,2.5,0,0,0,0,1
2020-01-03,0.0544452755,0,0,0.1389527175,0.1266779297,0,0,0,0,0,0,0.01620200142,0.0001095890411,-0.04483929842,bear,0,2.5,0,0,0,0,1
2020-01-04,0.001245752189,0,0,0,0,0,0,0,0,0,0,0,0.0001095890411,0.02093874056,uncertain,0,2.5,0,0,0,0,1
2020-01-05,0.0006309397058,0,0,0,0,0,0,0,0,0,0,0,0.0001095890411,-0.004721883881,bear,0,2.5,0,0,0,0,1
2020-01-06,0.05425513844,0.004756076717,0,0,0,0,0,0,0,0,0,0.01097340597,0.0001095890411,-0.02241390534,bear,0,2.5,0,0,0,0,1
2020-01-07,0.0499200825,0,0,0,0,0,-0.0007,0,0,0,0,0.003575595601,0.0001095890411,0.03602863702,uncertain,0,2.5,0,0,0,0,1
2020-01-08,-0.01096340457,0,-0.09628439486,0.02174594354,-0.02952141276,0,0.00032514,0,0,0,-0,-0.009161486173,0.0001095890411,0.08457532579,uncertain,0,2.5,0,0,0,0,1
2020-01-09,-0.02957057987,0,0,0,0,0,0.0003,0,0,0,-0,-0.003659993035,0.0001095890411,0.09774835664,uncertain,0,2.5,0,0,0,0,1
2020-01-10,0.04851261742,0,0,0.01299976529,0.02855162786,0,0.0003,0,0,0,0,0.003737867507,0.0001095890411,0.08217321671,uncertain,0,2.5,0,0,0,0,1
2020-01-11,-0.0215944331,0,0,0,0,0,0.00037846,0,0,0,-0,0,0.0001095890411,0.1368959778,uncertain,0,2.5,0,0,0,0,1
2020-01-12,0.02056979979,0,0,0,0,0,0.0003,0,0,0,0,0,0.0001095890411,0.1141873944,uncertain,0,2.5,0,0,0,0,1
2020-01-13,-0.009119142625,-0.003135516469,0,0,0,-0.009119142625,0.0003,0,0,0,-0,-0.005842680954,0.0001095890411,0.1276438042,uncertain,0,2.5,0,1,0,0,1
2020-01-14,0.08626888638,0,0,0,0,0.08626888638,0.000459,0,0,0,0,-0.003874967648,0.0001095890411,0.14811475,uncertain,0,2.5,0,1,0,0,1
2020-01-15,0.00129398264,0,0,0,0,0.00129398264,0.00078889,0,0,0,0,0.006288868658,0.0001095890411,0.2376060428,uncertain,0,2.5,0,1,0,0,1
2020-01-16,-0.01149476104,0,0,0,0,-0.01149476104,0.00082657,0,0,0,-0,-0.001997278291,0.0001095890411,0.2800012189,uncertain,0,2.5,0,1,0,0,1
2020-01-17,0.02216396541,0,0,0,0,0.02216396541,0.00081776,0,0,0,0,0.006326693885,0.0001095890411,0.3164624039,uncertain,0,2.5,0,1,0,0,1
2020-01-18,0.0003006749479,0,0,0,0,0.0003006749479,0.00071263,0,0,0,0,0,0.0001095890411,0.2247167081,uncertain,0,2.5,0,1,0,0,1
2020-01-19,-0.0240310634,0,0,0,0,-0.0240310634,0.00151837,0,0,0,-0,0,0.0001095890411,0.2469350936,uncertain,0,2.5,0,1,0,0,1
2020-01-20,-0.006820506338,0,0,0,0,-0.006820506338,0.00050484,0,0,0,-0,0,0.0001095890411,0.2106157213,uncertain,0,2.5,0,1,0,0,1
2020-01-21,0.01083964431,0,0,0,0,0.01083964431,0.00043222,0,0,0,0,-0.001539661495,0.0001095890411,0.2116434755,uncertain,0,2.5,0,1,0,0,1
2020-01-22,-0.006143522859,0,0,0,0,-0.006143522859,0.00041392,0,0,0,-0,-0.0007067434905,0.0001095890411,0.1645804006,uncertain,0,2.5,0,1,0,0,1
2020-01-23,-0.03200051599,0,0,0,0,-0.03200051599,0.00072304,0,0,0,-0,0.005979506504,0.0001095890411,0.1865864709,uncertain,0,2.5,0,1,0,0,1
2020-01-24,0.00410255434,0,0,0,0,0.00410255434,0.00114791,0,0,0,0,0.004154416529,0.0001095890411,0.1583222732,uncertain,0,2.5,0,1,0,0,1
2020-01-25,-0.01166251926,0,0,0,0,-0.01166251926,0.0003,0,0,0,-0,0,0.0001095890411,0.171330103,uncertain,0,2.5,0,1,0,0,1
2020-01-26,0.0329017886,0,0,0,0,0.0329017886,0.0003,0,0,0,0,0,0.0001095890411,0.1580921966,uncertain,0,2.5,0,1,0,0,1
2020-01-27,0.03396053395,0,0,0,0,0.03396053395,0.0003,0,0,0,0,0.00362807799,0.0001095890411,0.1874994831,uncertain,0,2.5,0,1,0,0,1
2020-01-28,0.05238690238,0,0,0,0,0.05238690238,0.00133083,0,0,0,0,-0.004819950165,0.0001095890411,0.2175231748,uncertain,0,2.5,0,1,0,0,1
2020-01-29,-0.007753186669,0,0,0,0,-0.007753186669,0.00224211,0,0,0,-0,0.0003824226835,0.0001095890411,0.2688015008,uncertain,0,2.5,0,1,0,0,1
2020-01-30,0.02275754634,0,0,0,0,0.02275754634,0.00083329,0,0,0,0,0.008727195022,0.0001095890411,0.2836778913,uncertain,0,2.5,0,1,0,0,1
2020-01-31,-0.01685235583,0,0,0,0,-0.01685235583,0.00170563,0,0,0,-0,-0.0003788920656,0.0001095890411,0.3221550944,uncertain,0,2.5,0,1,0,0,1
2020-02-01,0.003391465098,0,0,0,0,0.003391465098,0.0018971,0,0,0,0,0,0.0001095890411,0.2988591625,uncertain,0,2.5,0,1,0,0,1
2020-02-02,-0.005658199968,0,0,0,0,-0.005658199968,0.00128703,0,0,0,-0,0,0.0001095890411,0.347258212,uncertain,0,2.5,0,1,0,0,1
2020-02-03,-0.004208322126,-0.03258224489,0,0,0,-0.004208322126,0.00106539,0,0,0,-0,-0.003601031748,0.0001095890411,0.2704643728,uncertain,0,2.5,0,1,0,0,1
2020-02-04,-0.01024726008,0,0,0,0,-0.01024726008,0.00191924,0,0,0,-0,-0.01699209205,0.0001095890411,0.2635437871,uncertain,0,2.5,0,1,0,0,1
2020-02-05,0.0451254863,0,0.1838198398,0.05298657539,0.0972507901,0.0451254863,0.00072631,0,0,0,0,0.004772977488,0.0001095890411,0.2498073722,uncertain,0,2.5,0,1,0,0,1
2020-02-06,0.01664162862,0,0,0,0,0.01664162862,0.00297988,0,0,0,0,0.004686048613,0.0001095890411,0.2389842743,uncertain,0,2.5,0,1,0,0,1
2020-02-07,0.004270364306,0,0,-0.003172277393,0.03411832413,0.004270364306,0.0008996,0,0,0,0,0.002236278867,0.0001095890411,0.1997132081,uncertain,0,2.5,0,1,0,0,1
2020-02-08,0.008286349838,0,0,0,0,0.008286349838,0.00202088,0,0,0,0,0,0.0001095890411,0.2181919518,uncertain,0,2.5,0,1,0,0,1
2020-02-09,0.02594226406,0,0,0,0,0.02594226406,0.00238271,0,0,0,0,0,0.0001095890411,0.2657142199,uncertain,0,2.5,0,1,0,0,1
2020-02-10,-0.02954367474,-0.001027776592,0,0,0,-0.02954367474,0.00329673,0,0,-0.02750873124,-0,0.003888802551,0.0001095890411,0.2384683702,strong_bull,0,2.5,0,1,0,0,1
2020-02-11,0.03768335426,0,0,0,0,0.03768335426,0.00158906,0,0,0,0,-0.005778863192,0.0001095890411,0.228406199,uncertain,0,2.5,0,1,0,0,1
2020-02-12,0.01011241231,0,0.2817153116,0.02231450356,0.119202498,0.01011241231,0.00511939,0,0,0.1212343783,0,0.001149750164,0.0001095890411,0.2490048846,strong_bull,0,2.5,0,1,0,0,1
2020-02-13,-0.0093768823,0,0,0,0,-0.0093768823,0.0024837,0,0,0.009708737864,-0,0.004912562876,0.0001095890411,0.2732462511,strong_bull,0,2.5,0,1,0,0,1
2020-02-14,0.01121545941,0,0,-0.005163434451,0.03028465347,0.01121545941,0.00193725,0,0,0.0627236136,0,0.004825075045,0.0001095890411,0.161137161,strong_bull,0,2.5,0,1,0,0,1
