date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,1.0005237,0.00052372897,0,0.18,0.3,0.08,0.39,0,0.2,0.1,2,0.00027
2020-01-02,1.0005566,3.2876712e-05,0,0.18,0.3,0,0.47,0,0,0,0,0
2020-01-03,1.0112207,0.010658103,0,0.18,0.3,0.08,0.39,0,0.2,0.1,2,0
2020-01-04,1.0112539,3.2876712e-05,0,0.18,0.3,0,0.47,0,0,0,0,0
2020-01-05,1.0112872,3.2876712e-05,0,0.18,0.3,0,0.47,0,0,0,0,0
2020-01-06,1.011609,0.00031824132,0,0.18,0.3,0.06,0.41,0,0.15,0.15,1,0
2020-01-07,1.0115856,-2.3123288e-05,0,0.18,0.3,0.08,0.39,0,0.08,0,1,0
2020-01-08,1.0054865,-0.0060291945,0,0.18,0.3,0.22,0.25,0,0.43,0.1,4,0
2020-01-09,1.0055437,5.6876712e-05,0,0.18,0.3,0.08,0.39,0,0.08,0,1,0
2020-01-10,1.0072722,0.0017189324,0,0.18,0.3,0.16,0.31,0,0.28,0.1,3,0
2020-01-11,1.0073358,6.3153512e-05,0,0.18,0.3,0.08,0.39,0,0.08,0,1,0
2020-01-12,1.0073931,5.6876712e-05,0,0.18,0.3,0.08,0.39,0,0.08,0,1,0
2020-01-13,1.0063422,-0.0010431685,0,0.18,0.3,0.24,0.23,0,0.33,0.25,3,0
2020-01-14,1.0150939,0.0086964854,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-15,1.0153227,0.00022538618,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-16,1.0142561,-0.0010504738,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-17,1.0166038,0.0023146941,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-18,1.0167257,0.00011995461,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-19,1.0144393,-0.00224876,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-20,1.0138218,-0.00060878672,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-21,1.0149891,0.0011514187,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-22,1.0144325,-0.00054836197,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-23,1.0112783,-0.0031093317,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-24,1.0118193,0.00053496495,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-25,1.0106968,-0.0011093752,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-26,1.0140797,0.0033470556,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-27,1.0175812,0.0034529301,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-28,1.0230538,0.0053780334,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-29,1.0224778,-0.00056307315,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-30,1.0249064,0.0023752945,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-01-31,1.0233528,-0.0015159085,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-01,1.0238888,0.00052379122,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-02,1.0234486,-0.00042998088,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-03,1.021138,-0.002257659,0,0.18,0.3,0.24,0.23,0,0.33,0.25,3,0
2020-02-04,1.0202819,-0.0008383101,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-05,1.0423631,0.021642215,0,0.18,0.3,0.32,0.15,0,0.53,0.2,5,0
2020-02-06,1.0443805,0.00193543,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-07,1.0462288,0.001769723,0,0.18,0.3,0.26,0.21,0,0.38,0.2,4,0
2020-02-08,1.0472993,0.0010231821,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-09,1.0502503,0.0028177199,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-10,1.0456607,-0.0043699428,0,0.18,0.3,0.3,0.17,0,0.39,0.25,4,0
2020-02-11,1.0497684,0.0039283369,0,0.18,0.3,0.18,0.29,0,0.18,0.1,2,0
2020-02-12,1.0826171,0.031291331,0,0.18,0.3,0.38,0.09,0,0.59,0.2,6,0
2020-02-13,1.0824833,-0.00012359125,0,0.18,0.3,0.24,0.23,0,0.24,0.1,3,0
