date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,1.0001172,0.0001171587,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.52592593,0.1,2,0.00064888889
2020-01-02,1.001195,0.0010776729,0.32592593,0.10666667,0.047407407,0,0.47,0,0.32592593,0,0,0
2020-01-03,1.017125,0.015911074,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.52592593,0.1,2,0
2020-01-04,1.0171303,5.1953323e-06,0.32592593,0.10666667,0.047407407,0,0.47,0,0.32592593,0,0,0
2020-01-05,1.0171356,5.1953323e-06,0.32592593,0.10666667,0.047407407,0,0.47,0,0.32592593,0,0,0
2020-01-06,1.021069,0.0038670774,0.32592593,0.10666667,0.047407407,0.06,0.41,0,0.47592593,0.15,1,0
2020-01-07,1.022207,0.0011145746,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.40592593,0,1,0
2020-01-08,1.0142402,-0.0077937447,0.15,0.18,0.15,0.22,0.25,0,0.58,0.1,4,0.00037388889
2020-01-09,1.0137244,-0.0005085606,0.15,0.18,0.15,0.08,0.39,0,0.23,0,1,0
2020-01-10,1.0160186,0.0022631742,0.15,0.18,0.15,0.16,0.31,0,0.43,0.1,3,0
2020-01-11,1.0160661,4.6715156e-05,0.15,0.18,0.15,0.08,0.39,0,0.23,0,1,0
2020-01-12,1.0161072,4.0438356e-05,0.15,0.18,0.15,0.08,0.39,0,0.23,0,1,0
2020-01-13,1.01414,-0.001936009,0.15,0.18,0.15,0.24,0.23,0,0.48,0.25,3,0
2020-01-14,1.0223533,0.0080988018,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-15,1.0235313,0.0011522781,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-16,1.0221327,-0.0013665039,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-17,1.0254518,0.0032472598,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-18,1.025558,0.00010351625,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-19,1.0232349,-0.0022651984,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-20,1.0225951,-0.00062522508,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-21,1.0235196,0.00090403116,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-22,1.022833,-0.00067081185,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-23,1.0205532,-0.0022288441,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-24,1.0217184,0.0011416891,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-25,1.0205681,-0.0011258136,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-26,1.0239673,0.0033306172,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
2020-01-27,1.0280434,0.0039807034,0.15,0.18,0.15,0.18,0.29,0,0.33,0.1,2,0
