date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,1.0005665,0.00056646869,0,0.18,0.69,0.08,0.39,0.39,0.2,0.1,2,0.00027
2020-01-02,1.0006509,8.4383562e-05,0,0.18,0.77,0,0.47,0.47,0,0,0,0
2020-01-03,1.0113587,0.010700842,0,0.18,0.69,0.08,0.39,0.39,0.2,0.1,2,0
2020-01-04,1.011444,8.4383562e-05,0,0.18,0.77,0,0.47,0.47,0,0,0,0
2020-01-05,1.0115294,8.4383562e-05,0,0.18,0.77,0,0.47,0.47,0,0,0,0
2020-01-06,1.0118968,0.00036317282,0,0.18,0.71,0.06,0.41,0.41,0.15,0.15,1,0
2020-01-07,1.0119166,1.9616438e-05,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-01-08,1.0058433,-0.0060017973,0,0.18,0.55,0.22,0.25,0.25,0.43,0.1,4,0
2020-01-09,1.0059435,9.9616438e-05,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-01-10,1.0077068,0.001752905,0,0.18,0.61,0.16,0.31,0.31,0.28,0.1,3,0
2020-01-11,1.0078135,0.00010589324,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-01-12,1.0079139,9.9616438e-05,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-01-13,1.0068879,-0.0010179631,0,0.18,0.53,0.24,0.23,0.23,0.33,0.25,3,0
2020-01-14,1.0156763,0.0087282662,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-15,1.0159375,0.000257167,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-16,1.0149026,-0.001018693,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-17,1.017284,0.0023464749,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-18,1.0174384,0.00015173543,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-19,1.0151827,-0.0022169792,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-20,1.0145969,-0.0005770059,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-21,1.0157974,0.0011831996,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-22,1.0152727,-0.00051658115,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-23,1.0121481,-0.0030775509,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-24,1.0127218,0.00056674577,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-25,1.0116305,-0.0010775944,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-26,1.0150486,0.0033788364,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-27,1.0185857,0.0034847109,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-28,1.0240961,0.0054098142,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-29,1.023552,-0.00053129233,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-30,1.0260158,0.0024070754,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-01-31,1.024493,-0.0014841276,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-01,1.0250622,0.00055557204,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-02,1.024654,-0.00039820006,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-03,1.0223665,-0.0022324535,0,0.18,0.53,0.24,0.23,0.23,0.33,0.25,3,0
2020-02-04,1.021542,-0.00080652927,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-05,1.0436672,0.021658654,0,0.18,0.45,0.32,0.15,0.15,0.53,0.2,5,0
2020-02-06,1.0457203,0.0019672108,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-07,1.047595,0.0017927367,0,0.18,0.51,0.26,0.21,0.21,0.38,0.2,4,0
2020-02-08,1.0487002,0.0010549629,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-09,1.0516885,0.0028495007,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-10,1.0471122,-0.0043513127,0,0.18,0.47,0.3,0.17,0.17,0.39,0.25,4,0
2020-02-11,1.0512589,0.0039601178,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-12,1.0841646,0.031301194,0,0.18,0.39,0.38,0.09,0.09,0.59,0.2,6,0
2020-02-13,1.0840579,-9.8385766e-05,0,0.18,0.53,0.24,0.23,0.23,0.24,0.1,3,0
2020-02-14,1.0906643,0.0060941066,0,0.18,0.45,0.32,0.15,0.15,0.44,0.2,5,0
2020-02-15,1.0815546,-0.0083524133,0,0.18,0.53,0.24,0.23,0.23,0.24,0.1,3,0
2020-02-16,1.0818905,0.0003105824,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-17,1.0798246,-0.0019094946,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-18,1.0850587,0.0048471681,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-19,1.0733754,-0.010767424,0,0.18,0.53,0.24,0.23,0.23,0.24,0.1,3,0
2020-02-20,1.0735,0.0001160711,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-21,1.0744972,0.0009288667,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-22,1.0743036,-0.0001801884,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-23,1.0776667,0.0031305424,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-24,1.0747599,-0.0026972929,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-25,1.0711336,-0.0033740643,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-26,1.0671783,-0.0036926583,0,0.18,0.59,0.18,0.29,0.29,0.18,0.1,2,0
2020-02-27,1.0672909,0.00010550684,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-02-28,1.0674102,0.00011182684,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-02-29,1.0676481,0.00022285404,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-01,1.0678213,0.00016224284,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-02,1.071579,0.003518988,0,0.18,0.63,0.14,0.33,0.33,0.23,0.15,2,0
2020-03-03,1.0716857,9.9616438e-05,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-04,1.0692171,-0.0023034574,0,0.18,0.55,0.22,0.25,0.25,0.43,0.1,4,0
2020-03-05,1.0693433,0.00011801804,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-06,1.0728999,0.0033259362,0,0.18,0.61,0.16,0.31,0.31,0.28,0.1,3,0
2020-03-07,1.0730705,0.00015903724,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-08,1.0732782,0.00019349884,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-09,1.0716764,-0.0014924109,0,0.18,0.63,0.14,0.33,0.33,0.14,0.06,2,0
2020-03-10,1.0717832,9.9616438e-05,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-11,1.0662779,-0.0051365137,0,0.18,0.55,0.22,0.25,0.25,0.22,0.04,4,0
2020-03-12,1.0663632,7.9954838e-05,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-13,1.0722919,0.0055597188,0,0.18,0.61,0.16,0.31,0.31,0.16,0.04,3,0
2020-03-14,1.07226,-2.9737162e-05,0,0.18,0.69,0.08,0.39,0.39,0.08,0,1,0
2020-03-15,1.0647744,-0.0069810988,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-03-16,1.0767446,0.011242013,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-17,1.065903,-0.010068908,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-18,1.0630893,-0.0026396858,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-19,1.0358816,-0.025593045,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-20,1.0345775,-0.0012589632,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-21,1.0353061,0.00070425741,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-22,1.0465619,0.010871908,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-23,1.025561,-0.02006654,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-24,1.0177292,-0.00763657,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-25,1.0196427,0.0018801883,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-26,1.0180816,-0.0015311182,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-03-27,1.0283762,0.010111774,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-03-28,1.0319568,0.0034818578,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-03-29,1.0425506,0.010265728,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-03-30,1.0260913,-0.015787537,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-03-31,1.025714,-0.00036770093,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-01,1.0156357,-0.0098256535,0,0.18,0.63,0.14,0.33,0.33,0.32,-0.14,3,0
2020-04-02,1.0115612,-0.004011797,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-03,1.0139878,0.0023988919,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.14,2,0
2020-04-04,1.0107426,-0.0032004206,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-05,1.0130622,0.0022949453,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-06,0.99988344,-0.013008845,0,0.18,0.71,0.06,0.41,0.41,0.24,-0.12,1,0
2020-04-07,1.0032232,0.0033401442,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-08,0.99745048,-0.0057541727,0,0.18,0.63,0.14,0.33,0.33,0.32,-0.14,3,0
2020-04-09,0.99933511,0.0018894486,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-04-10,1.0068879,0.0075577718,0,0.18,0.61,0.16,0.31,0.31,0.34,-0.14,3,0
2020-04-11,1.0065149,-0.00037039925,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-04-12,1.0059037,-0.00060729514,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-04-13,1.0081456,0.0022287817,0,0.18,0.63,0.14,0.33,0.33,0.32,-0.12,2,0
2020-04-14,1.007392,-0.00074754878,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-04-15,1.0139087,0.0064689053,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2020-04-16,1.0007445,-0.012983561,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-17,1.0027158,0.001969812,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-18,0.99712319,-0.0055774758,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-19,1.0003733,0.0032594519,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-20,1.00789,0.0075139204,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-21,1.0075886,-0.00029898617,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-22,1.0001509,-0.0073817526,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2020-04-23,0.99120882,-0.0089407023,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
