date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,0.99953216,-0.0004678413,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.68192593,0.1,2,0.0012338889
2020-01-02,1.0011224,0.0015909996,0.48192593,0.34066667,0.047407407,0,0.47,0.39,0.48192593,0,0,0
2020-01-03,1.0199806,0.01883705,0.51392593,0.38866667,0.047407407,0.08,0.39,0.47,0.71392593,0.1,2,0.00012
2020-01-04,1.0198635,-0.00011480467,0.48192593,0.34066667,0.047407407,0,0.47,0.39,0.48192593,0,0,0.00012
2020-01-05,1.0197464,-0.00011480467,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,0.00012
2020-01-06,1.0257936,0.0059300778,0.51392593,0.38866667,0.047407407,0.06,0.41,0.47,0.66392593,0.15,1,0
2020-01-07,1.0274461,0.0016109723,0.48992593,0.35266667,0.047407407,0.08,0.39,0.41,0.56992593,0,1,9e-05
2020-01-08,1.0179762,-0.0092169366,0.306,0.414,0.15,0.22,0.25,0.39,0.736,0.1,4,0.00036788889
2020-01-09,1.0168722,-0.0010845599,0.25,0.33,0.15,0.08,0.39,0.25,0.33,0,1,0.00021
2020-01-10,1.0195529,0.0026362815,0.306,0.414,0.15,0.16,0.31,0.39,0.586,0.1,3,0.00021
2020-01-11,1.0194782,-7.3284844e-05,0.274,0.366,0.15,0.08,0.39,0.31,0.354,0,1,0.00012
2020-01-12,1.0193971,-7.9561644e-05,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,0.00012
2020-01-13,1.0164944,-0.0028474673,0.306,0.414,0.15,0.24,0.23,0.39,0.636,0.25,3,0
2020-01-14,1.0241204,0.0075023048,0.242,0.318,0.15,0.18,0.29,0.23,0.422,0.1,2,0.00024
2020-01-15,1.0259555,0.0017917869,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,9e-05
2020-01-16,1.0243158,-0.0015981882,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-17,1.0283937,0.0039811563,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-18,1.0285002,0.00010351625,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-19,1.0261704,-0.0022651984,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-20,1.0255289,-0.00062522508,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-21,1.0262728,0.00072543043,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-22,1.0255002,-0.0007527941,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-23,1.0239259,-0.0015352213,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-24,1.0255883,0.0016236014,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-25,1.0244337,-0.0011258136,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-26,1.0278457,0.0033306172,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-27,1.0323698,0.0044015605,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-28,1.0365813,0.0040794883,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-29,1.0360861,-0.00047778708,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-30,1.0409353,0.0046802901,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-31,1.0392353,-0.0016331321,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-01,1.0397625,0.00050735287,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-02,1.0392984,-0.00044641924,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-03,1.0359394,-0.0032319718,0.266,0.354,0.15,0.24,0.23,0.29,0.596,0.25,3,0
2020-02-04,1.0307008,-0.0050568347,0.242,0.318,0.15,0.18,0.29,0.23,0.422,0.1,2,9e-05
2020-02-05,1.0542063,0.022805389,0.266,0.354,0.15,0.32,0.15,0.29,0.796,0.2,5,9e-05
2020-02-06,1.0570454,0.0026930618,0.21,0.27,0.15,0.18,0.29,0.15,0.39,0.1,2,0.00021
2020-02-07,1.0593055,0.0021381348,0.266,0.354,0.15,0.26,0.21,0.29,0.646,0.2,4,0.00021
2020-02-08,1.0602448,0.00088674374,0.234,0.306,0.15,0.18,0.29,0.21,0.414,0.1,2,0.00012
