date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,1.0003079,0.00030786139,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.68192593,0.1,2,0.000511
2020-01-02,1.0002974,-1.0484018e-05,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,7.2e-05
2020-01-03,1.0109118,0.010611235,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.68192593,0.1,2,7.2e-05
2020-01-04,1.0109012,-1.0484018e-05,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,7.2e-05
2020-01-05,1.0109634,6.1515982e-05,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,0
2020-01-06,1.0112568,0.00029025045,0.48992593,0.35266667,0.047407407,0.06,0.41,0.41,0.63992593,0.15,1,5.4e-05
2020-01-07,1.0112406,-1.5990868e-05,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,1.8e-05
2020-01-08,1.0051386,-0.0060342356,0.25,0.33,0.15,0.22,0.25,0.25,0.68,0.1,4,1.6e-05
2020-01-09,1.0050863,-5.2027397e-05,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,0.000126
2020-01-10,1.0067552,0.0016605215,0.274,0.366,0.15,0.16,0.31,0.31,0.554,0.1,3,7.2e-05
2020-01-11,1.0067635,8.2494027e-06,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,7.2e-05
2020-01-12,1.006838,7.3972603e-05,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,0
2020-01-13,1.0056529,-0.0011770863,0.242,0.318,0.15,0.24,0.23,0.23,0.572,0.25,3,0.000144
2020-01-14,1.014357,0.0086551977,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,5.4e-05
2020-01-15,1.0145985,0.00023809851,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-16,1.0135456,-0.0010377615,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-17,1.0159045,0.0023274064,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-18,1.0160393,0.00013266694,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-19,1.0137674,-0.0022360477,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-20,1.0131631,-0.00059607439,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-21,1.0143426,0.0011641311,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-22,1.0137992,-0.00053564964,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-23,1.0106599,-0.0030966194,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-24,1.0112134,0.00054767728,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-25,1.0101044,-0.0010966629,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-26,1.0134982,0.0033597679,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-27,1.0170106,0.0034656424,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-28,1.022493,0.0053907457,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-29,1.0219303,-0.00055036083,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-30,1.0243707,0.0023880069,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-31,1.0228308,-0.0015031961,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-01,1.0233796,0.00053650355,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-02,1.0229526,-0.00041726856,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-03,1.0205982,-0.0023015768,0.242,0.318,0.15,0.24,0.23,0.23,0.572,0.25,3,5.4e-05
2020-02-04,1.0197004,-0.00087959777,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,5.4e-05
2020-02-05,1.0416472,0.02152279,0.21,0.27,0.15,0.32,0.15,0.15,0.74,0.2,5,0.000126
2020-02-06,1.0435453,0.0018221423,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0.000126
2020-02-07,1.0453265,0.0017069285,0.234,0.306,0.15,0.26,0.21,0.21,0.614,0.2,4,7.2e-05
2020-02-08,1.0463341,0.00096389442,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,7.2e-05
2020-02-09,1.0492957,0.0028304322,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-10,1.0446048,-0.0044704908,0.218,0.282,0.15,0.3,0.17,0.17,0.608,0.25,4,0.000108
2020-02-11,1.0486088,0.0038330493,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0.000108
2020-02-12,1.0812366,0.031115276,0.186,0.234,0.15,0.38,0.09,0.09,0.776,0.2,6,0.00018
2020-02-13,1.0809776,-0.00023950905,0.242,0.318,0.15,0.24,0.23,0.23,0.482,0.1,3,0.000126
2020-02-14,1.0874767,0.0060122436,0.21,0.27,0.15,0.32,0.15,0.15,0.65,0.2,5,7.2e-05
2020-02-15,1.0782989,-0.0084395365,0.242,0.318,0.15,0.24,0.23,0.23,0.482,0.1,3,7.2e-05
2020-02-16,1.078555,0.00023751391,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,5.4e-05
2020-02-17,1.076475,-0.0019285631,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-18,1.0816723,0.0048280996,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-19,1.0699507,-0.010836547,0.242,0.318,0.15,0.24,0.23,0.23,0.482,0.1,3,5.4e-05
2020-02-20,1.0699967,4.3002608e-05,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,5.4e-05
2020-02-21,1.0709702,0.0009097982,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-22,1.0707568,-0.00019925689,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-23,1.0740884,0.0031114739,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-24,1.0711708,-0.0027163614,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-25,1.0675362,-0.0033931328,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-26,1.0635738,-0.0037117268,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-02-27,1.063646,6.7899532e-05,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,2e-05
2020-02-28,1.0637462,9.4219532e-05,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,0
2020-02-29,1.0639646,0.00020524673,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,0
2020-03-01,1.0638877,-7.2268577e-05,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0.000234
2020-03-02,1.0674254,0.0033253259,0.45792593,0.30466667,0.047407407,0.14,0.33,0.33,0.68792593,0.15,2,0.00018
2020-03-03,1.0674553,2.8009132e-05,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,5.4e-05
2020-03-04,1.064853,-0.0024378593,0.42592593,0.25666667,0.047407407,0.22,0.25,0.25,0.85592593,0.1,4,0.000126
2020-03-05,1.0648258,-2.5589268e-05,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,0.000126
2020-03-06,1.0682775,0.0032415891,0.44992593,0.29266667,0.047407407,0.16,0.31,0.31,0.72992593,0.1,3,7.2e-05
2020-03-07,1.0683517,6.9429932e-05,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,7.2e-05
2020-03-08,1.0685396,0.00017589153,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.56192593,0,1,0
2020-03-09,1.0666765,-0.0017436072,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.72992593,0.06,2,0.000252
2020-03-10,1.066763,8.1105023e-05,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,1.8e-05
2020-03-11,1.0612415,-0.0051759566,0.52592593,0.15666667,0.047407407,0.22,0.25,0.25,0.74592593,0.04,4,4.2e-05
2020-03-12,1.0612812,3.7443423e-05,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,4.2e-05
2020-03-13,1.0671575,0.0055369608,0.57392593,0.16866667,0.047407407,0.16,0.31,0.31,0.73392593,0.04,3,2.4e-05
