date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,1.0003079,0.00030786139,0.48192593,0.34066667,0.047407407,0.08,0.39,0.39,0.68192593,0.1,2,0.000511
2020-01-02,1.0003659,5.8009132e-05,0.48192593,0.34066667,0.047407407,0,0.47,0.39,0.48192593,0,0,0
2020-01-03,1.0109845,0.010614742,0.51392593,0.38866667,0.047407407,0.08,0.39,0.47,0.71392593,0.1,2,7.2e-05
2020-01-04,1.0109704,-1.3990868e-05,0.48192593,0.34066667,0.047407407,0,0.47,0.39,0.48192593,0,0,7.2e-05
2020-01-05,1.0109598,-1.0484018e-05,0.51392593,0.38866667,0.047407407,0,0.47,0.47,0.51392593,0,0,7.2e-05
2020-01-06,1.0113105,0.00034688058,0.51392593,0.38866667,0.047407407,0.06,0.41,0.47,0.66392593,0.15,1,0
2020-01-07,1.0112588,-5.1114155e-05,0.48992593,0.35266667,0.047407407,0.08,0.39,0.41,0.56992593,0,1,5.4e-05
2020-01-08,1.0050859,-0.0061040987,0.306,0.414,0.15,0.22,0.25,0.39,0.736,0.1,4,9.2e-05
2020-01-09,1.0050275,-5.8164384e-05,0.25,0.33,0.15,0.08,0.39,0.25,0.33,0,1,0.000126
2020-01-10,1.0066456,0.0016100283,0.306,0.414,0.15,0.16,0.31,0.39,0.586,0.1,3,0.000126
2020-01-11,1.0066504,4.7425534e-06,0.274,0.366,0.15,0.08,0.39,0.31,0.354,0,1,7.2e-05
2020-01-12,1.0066524,1.9726027e-06,0.306,0.414,0.15,0.08,0.39,0.39,0.386,0,1,7.2e-05
2020-01-13,1.0056195,-0.0010260726,0.306,0.414,0.15,0.24,0.23,0.39,0.636,0.25,3,0
2020-01-14,1.0142301,0.0085625675,0.242,0.318,0.15,0.18,0.29,0.23,0.422,0.1,2,0.000144
2020-01-15,1.0144169,0.00018409851,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,5.4e-05
2020-01-16,1.0133641,-0.0010377615,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-17,1.0157227,0.0023274064,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-18,1.0158574,0.00013266694,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-19,1.0135859,-0.0022360477,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-20,1.0129817,-0.00059607439,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-21,1.014161,0.0011641311,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-22,1.0136177,-0.00053564964,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-23,1.0104789,-0.0030966194,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-24,1.0110324,0.00054767728,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-25,1.0099236,-0.0010966629,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-26,1.0133167,0.0033597679,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-27,1.0168285,0.0034656424,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
2020-01-28,1.02231,0.0053907457,0.266,0.354,0.15,0.18,0.29,0.29,0.446,0.1,2,0
