date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2020-01-01,0.99953216,-0.0004678413,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.83792593,0.1,2,0.0012338889
2020-01-02,1.0017261,0.002194922,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.70192593,0,0,0.00012
2020-01-03,1.0226081,0.020846098,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.83792593,0.1,2,0.00012
2020-01-04,1.0224907,-0.00011480467,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.70192593,0,0,0.00012
2020-01-05,1.022496,5.1953323e-06,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.70192593,0,0,0
2020-01-06,1.0300383,0.0073763546,0.65392593,0.18866667,0.047407407,0.06,0.41,0.41,0.80392593,0.15,1,9e-05
2020-01-07,1.0323046,0.0022001605,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,3e-05
2020-01-08,1.0222375,-0.009752042,0.35,0.23,0.15,0.22,0.25,0.25,0.78,0.1,4,0.00049988889
2020-01-09,1.0203357,-0.0018604784,0.462,0.258,0.15,0.08,0.39,0.39,0.542,0,1,0.00021
2020-01-10,1.0234683,0.0030701653,0.398,0.242,0.15,0.16,0.31,0.31,0.678,0.1,3,0.00012
2020-01-11,1.0233933,-7.3284844e-05,0.462,0.258,0.15,0.08,0.39,0.39,0.542,0,1,0.00012
2020-01-12,1.0234346,4.0438356e-05,0.462,0.258,0.15,0.08,0.39,0.39,0.542,0,1,0
2020-01-13,1.0201074,-0.0032510623,0.334,0.226,0.15,0.24,0.23,0.23,0.664,0.25,3,0.00024
2020-01-14,1.0273602,0.0071098094,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,9e-05
2020-01-15,1.0300429,0.0026112956,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-16,1.0281581,-0.0018298725,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-17,1.0330059,0.0047150528,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-18,1.0331128,0.00010351625,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-19,1.0307726,-0.0022651984,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-20,1.0301281,-0.00062522508,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-21,1.0306914,0.0005468297,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-22,1.029831,-0.00083477634,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-23,1.0289643,-0.00084159856,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-24,1.0311308,0.0021055137,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-25,1.02997,-0.0011258136,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-26,1.0334004,0.0033306172,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-27,1.0383839,0.0048224175,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-28,1.0420394,0.003520374,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-29,1.0415878,-0.00043342605,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-30,1.0475171,0.0056926447,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-01-31,1.0457604,-0.0016770836,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-01,1.0462909,0.00050735287,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-02,1.0458239,-0.00044641924,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-03,1.0420936,-0.003566842,0.334,0.226,0.15,0.24,0.23,0.23,0.664,0.25,3,9e-05
2020-02-04,1.0343448,-0.0074357276,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,9e-05
2020-02-05,1.0578291,0.022704481,0.27,0.21,0.15,0.32,0.15,0.15,0.8,0.2,5,0.00021
2020-02-06,1.0615305,0.0034990622,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0.00021
2020-02-07,1.0640192,0.0023444213,0.318,0.222,0.15,0.26,0.21,0.21,0.698,0.2,4,0.00012
2020-02-08,1.0649627,0.00088674374,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0.00012
2020-02-09,1.067946,0.0028012816,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-10,1.0642571,-0.0034541837,0.286,0.214,0.15,0.3,0.17,0.17,0.676,0.25,4,0.00018
2020-02-11,1.0658794,0.0015243728,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0.00018
2020-02-12,1.099167,0.031230137,0.222,0.198,0.15,0.38,0.09,0.09,0.812,0.2,6,0.0003
2020-02-13,1.1005857,0.0012907664,0.334,0.226,0.15,0.24,0.23,0.23,0.574,0.1,3,0.00021
2020-02-14,1.1085584,0.0072440001,0.27,0.21,0.15,0.32,0.15,0.15,0.71,0.2,5,0.00012
2020-02-15,1.09912,-0.0085140571,0.334,0.226,0.15,0.24,0.23,0.23,0.574,0.1,3,0.00012
2020-02-16,1.0993095,0.00017236322,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,9e-05
2020-02-17,1.0971574,-0.0019577138,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-18,1.1070038,0.0089744837,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-19,1.0966716,-0.0093334424,0.334,0.226,0.15,0.24,0.23,0.23,0.574,0.1,3,9e-05
2020-02-20,1.0990189,0.0021403345,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,9e-05
2020-02-21,1.1072582,0.0074970029,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-22,1.1070053,-0.00022840757,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-23,1.1104175,0.0030823232,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-24,1.1145391,0.0037117534,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-25,1.1042331,-0.0092468469,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-26,1.098335,-0.0053413446,0.382,0.238,0.15,0.18,0.29,0.29,0.562,0.1,2,0
2020-02-27,1.097864,-0.00042880316,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0.00046388889
2020-02-28,1.0654967,-0.029482127,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0
2020-02-29,1.0656591,0.00015243293,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0
2020-03-01,1.0657569,9.1821732e-05,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0
2020-03-02,1.0806789,0.014001262,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.81992593,0.15,2,9e-05
2020-03-03,1.1021742,0.019890626,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,9e-05
2020-03-04,1.0989903,-0.0028888125,0.52592593,0.15666667,0.047407407,0.22,0.25,0.25,0.95592593,0.1,4,0.00021
2020-03-05,1.1096199,0.009672194,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0.00021
2020-03-06,1.1147904,0.0046596975,0.57392593,0.16866667,0.047407407,0.16,0.31,0.31,0.85392593,0.1,3,0.00012
2020-03-07,1.1147554,-3.1383868e-05,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0.00012
2020-03-08,1.1148926,0.00012307773,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0
2020-03-09,1.1145137,-0.00033987825,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.72992593,0.06,2,9e-05
2020-03-10,1.1079072,-0.0059276753,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,9e-05
2020-03-11,1.0957065,-0.011012383,0.52592593,0.15666667,0.047407407,0.22,0.25,0.25,0.74592593,0.04,4,0.00021
2020-03-12,1.0733004,-0.020448989,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0.00021
2020-03-13,1.0505461,-0.021200305,0.57392593,0.16866667,0.047407407,0.16,0.31,0.31,0.73392593,0.04,3,0.00012
2020-03-14,1.0503148,-0.00022015827,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.71792593,0,1,0.00012
2020-03-15,1.0427218,-0.0072292682,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,-0.18466667,1,0
2020-03-16,1.0411822,-0.0014765637,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0.00012
2020-03-17,1.0485844,0.0071094075,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-18,1.0224302,-0.024942357,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-19,0.99379938,-0.028002734,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-20,0.99486387,0.0010711301,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-21,0.99555653,0.00069623988,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-22,1.0075344,0.012031288,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-23,1.0244602,0.016799308,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-24,1.058417,0.033145983,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-25,1.0480564,-0.0097887825,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-26,1.0541965,0.005858581,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0
2020-03-27,1.0542539,5.4491778e-05,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,-0.18466667,1,0.00012
2020-03-28,1.0579452,0.0035013046,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,-0.18466667,1,0
2020-03-29,1.0690125,0.010461113,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,-0.18466667,1,0
2020-03-30,1.0508271,-0.017011368,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,-0.18466667,1,0
2020-03-31,1.0326236,-0.017323064,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0.00012
2020-04-01,1.0204686,-0.011770936,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.90259259,-0.13266667,3,0.00021
2020-04-02,1.0371584,0.016354985,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,-0.20066667,0,0.00021
