variant,2020,2021,2022,2023,2024,2025,2026
baseline,0.43855,0.22573,0.20999,0.076304,0.30314,0.21655,0.054646
baseline_gold,0.5491,0.23138,0.14187,0.12109,0.30955,0.37356,0.086034
overflow,0.66969,0.22101,0.23874,0.1161,0.40126,0.41828,0.029356
overflow_no_gold,0.52624,0.28661,0.34596,0.096369,0.32256,0.19185,0.013962
overflow_cash_only,0.45664,0.24298,0.22614,0.090001,0.32028,0.23284,0.063777
overflow_split40_60_gross1.5x,0.57261,0.11982,0.24351,0.11174,0.44462,0.40183,0.049315
overflow_split40_60_gross2x,0.57261,0.11982,0.24351,0.11174,0.44462,0.40183,0.049315
overflow_split80_20_gross1.5x,0.64846,0.17069,0.15258,0.12719,0.42128,0.52036,0.064598
overflow_split80_20_gross2x,0.64846,0.17069,0.15258,0.12719,0.42128,0.52036,0.064598
overflow_claimlag1,0.69,0.20585,0.28568,0.11789,0.41673,0.44284,0.028612
overflow_no_gold_claimlag1,0.55424,0.27033,0.37371,0.096575,0.34247,0.20683,0.0058528
btc_bh (reference),3.0198,0.5979,-0.64207,1.5561,1.2131,-0.063347,-0.08336
