variant,sleeve,sum_contrib_pct,avg_weight_when_held_pct,days_held
baseline,r4_btc,4.6044,5.9985,160
baseline,r4_eth,20.167,6,160
baseline,r4_btc_v2,7.6752,4,322
baseline,r4_eth_v2,11.471,4,321
baseline,adx,28.369,9.9996,875
baseline,carry,5.9003,8,2212
baseline,chento_btc,1.2248,7.9979,148
baseline,chento_eth,1.8739,6,196
baseline,eth_daily,10.712,6,280
baseline,gold,0,0,2441
baseline,ema_1w_btc,41.177,18,2441
baseline,cash,8.0252,30,2441
baseline_gold,r4_btc,4.6044,5.9985,160
baseline_gold,r4_eth,20.167,6,160
baseline_gold,r4_btc_v2,7.6752,4,322
baseline_gold,r4_eth_v2,11.471,4,321
baseline_gold,adx,28.369,9.9996,875
baseline_gold,carry,5.9003,8,2212
baseline_gold,chento_btc,1.2248,7.9979,148
baseline_gold,chento_eth,1.8739,6,196
baseline_gold,eth_daily,10.712,6,280
baseline_gold,gold,32.435,25.133,2441
baseline_gold,ema_1w_btc,41.616,13.776,2441
baseline_gold,cash,2.4318,9.0907,2441
overflow,r4_btc,4.3976,5.8864,160
overflow,r4_eth,20.167,6,160
overflow,r4_btc_v2,7.6657,3.9961,322
overflow,r4_eth_v2,11.471,4,321
overflow,adx,27.998,9.97,875
overflow,carry,5.9003,8,2212
overflow,chento_btc,1.1952,7.9789,148
overflow,chento_eth,1.8739,6,196
overflow,eth_daily,10.712,6,280
overflow,gold,49.289,40.872,2441
overflow,ema_1w_btc,74.321,30.663,2441
overflow,cash,2.4318,9.0907,2441
overflow_no_gold,r4_btc,4.3976,5.8864,160
overflow_no_gold,r4_eth,20.167,6,160
overflow_no_gold,r4_btc_v2,7.6657,3.9961,322
overflow_no_gold,r4_eth_v2,11.471,4,321
overflow_no_gold,adx,27.998,9.97,875
overflow_no_gold,carry,5.9003,8,2212
overflow_no_gold,chento_btc,1.1952,7.9789,148
overflow_no_gold,chento_eth,1.8739,6,196
overflow_no_gold,eth_daily,10.712,6,280
overflow_no_gold,gold,10.934,40.872,2441
overflow_no_gold,ema_1w_btc,74.321,30.663,2441
overflow_no_gold,cash,2.4318,9.0907,2441
overflow_cash_only,r4_btc,4.6044,5.9985,160
overflow_cash_only,r4_eth,20.167,6,160
overflow_cash_only,r4_btc_v2,7.6752,4,322
overflow_cash_only,r4_eth_v2,11.471,4,321
overflow_cash_only,adx,28.369,9.9996,875
overflow_cash_only,carry,5.9003,8,2212
overflow_cash_only,chento_btc,1.2248,7.9979,148
overflow_cash_only,chento_eth,1.8739,6,196
overflow_cash_only,eth_daily,10.712,6,280
overflow_cash_only,gold,0,0,2441
overflow_cash_only,ema_1w_btc,41.177,18,2441
overflow_cash_only,cash,16.765,62.671,2441
overflow_split40_60_gross1.5x,r4_btc,4.3976,5.8864,160
overflow_split40_60_gross1.5x,r4_eth,20.167,6,160
overflow_split40_60_gross1.5x,r4_btc_v2,7.6657,3.9961,322
overflow_split40_60_gross1.5x,r4_eth_v2,11.471,4,321
overflow_split40_60_gross1.5x,adx,27.998,9.97,875
overflow_split40_60_gross1.5x,carry,5.9003,8,2212
overflow_split40_60_gross1.5x,chento_btc,1.1952,7.9789,148
overflow_split40_60_gross1.5x,chento_eth,1.8739,6,196
overflow_split40_60_gross1.5x,eth_daily,10.712,6,280
overflow_split40_60_gross1.5x,gold,48.396,38.201,2441
overflow_split40_60_gross1.5x,ema_1w_btc,61.038,33.334,2441
overflow_split40_60_gross1.5x,cash,2.4318,9.0907,2441
