variant,group,sharpe,cagr,mdd,calmar,ret_2022,sharpe_post_etf,mean_idle_pct,mean_anchor_pct,mean_gross,ann_vol,total_ret,sharpe_2022,mdd_2022,cagr_post_etf,mdd_post_etf,mean_tactical_pct,mean_routed_pct,mean_gold_pct,mean_ema_pct,mean_cash_pct,mean_net_btc,max_net_btc,max_gross,days_net_cap_bound,days_gross_cap_bound,mean_freed_by_net_cap_pct,turnover_cost_pa_pct,n_days,d_sharpe_vs_baseline,d_mdd_pp_vs_baseline,d_sharpe_post_etf_vs_baseline
baseline,core,1.58371,0.222826,0.148399,1.50153,0.209986,1.72564,32.6706,47.9997,0.338476,0.140699,2.83942,1.58745,0.0560036,0.20762,0.0958095,14.329,0,0,17.9997,30,0.0653298,0.5,0.79,2,0,0.000674748,0.00435393,2441,0,0,0
baseline_gold,core,1.97018,0.263171,0.109084,2.41254,0.141872,2.37583,32.6706,47.9997,0.54829,0.133577,3.77029,1.35264,0.0646981,0.28568,0.0671431,14.329,0,25.1332,13.7758,9.09073,0.0675529,0.5,1.02259,2,0,0.000674748,0.932488,2441,0.386466,-3.93151,0.650192
overflow,core,1.35587,0.299494,0.214067,1.39907,0.238741,1.55146,32.6706,80.6259,0.86902,0.220887,4.76615,1.28177,0.10426,0.300589,0.156493,14.3094,32.6706,40.872,30.6631,9.09073,0.109068,0.5,1.11259,57,0,0.0647566,3.86889,2441,-0.227835,6.56679,-0.174185
overflow_no_gold,core,1.26054,0.257603,0.232178,1.10951,0.345964,1.06103,32.6706,80.6259,0.86902,0.204359,3.63143,1.97908,0.0807703,0.182832,0.179142,14.3094,32.6706,40.872,30.6631,9.09073,0.109068,0.5,1.11259,57,0,0.0647566,1.76507,2441,-0.323169,8.37784,-0.664614
overflow_cash_only,core,1.69821,0.238905,0.145343,1.64373,0.226143,1.85778,32.6706,80.6703,0.338476,0.140681,3.18994,1.70973,0.055181,0.223484,0.088358,14.329,32.6706,0,17.9997,62.6706,0.0653298,0.5,0.79,2,0,0.000674748,0.00435393,2441,0.114495,-0.30565,0.132139
overflow_split40_60_gross1.5x,sensitivity,1.20365,0.278587,0.268699,1.0368,0.243506,1.61199,32.6706,80.6259,0.868618,0.231452,4.17341,1.15742,0.112393,0.319324,0.14992,14.3094,32.6706,38.2015,33.3337,9.09073,0.0978954,0.5,1.11259,57,0,0.0647566,3.13195,2441,-0.380063,12.03,-0.113649
overflow_split40_60_gross2x,sensitivity,1.20365,0.278587,0.268699,1.0368,0.243506,1.61199,32.6706,80.6259,0.868618,0.231452,4.17341,1.15742,0.112393,0.319324,0.14992,14.3094,32.6706,38.2015,33.3337,9.09073,0.0978954,0.5,1.11259,57,0,0.0647566,3.13195,2441,-0.380063,12.03,-0.113649
overflow_split80_20_gross1.5x,sensitivity,1.63082,0.299546,0.164159,1.82473,0.152579,2.11469,32.6706,80.6696,0.873103,0.183678,4.76767,0.996799,0.0928524,0.365383,0.130479,14.3281,32.6706,51.2697,20.3091,9.09073,0.0779003,0.5,1.11259,2,0,0.00231711,3.1015,2441,0.0471071,1.57597,0.389048
overflow_split80_20_gross2x,sensitivity,1.63082,0.299546,0.164159,1.82473,0.152579,2.11469,32.6706,80.6696,0.873103,0.183678,4.76767,0.996799,0.0928524,0.365383,0.130479,14.3281,32.6706,51.2697,20.3091,9.09073,0.0779003,0.5,1.11259,2,0,0.00231711,3.1015,2441,0.0471071,1.57597,0.389048
overflow_claimlag1,diagnostic,1.40869,0.312347,0.222925,1.40113,0.285676,1.61485,32.6706,80.5315,0.867582,0.221729,5.15843,1.51303,0.108805,0.314678,0.157281,14.2776,32.6747,40.8592,30.5815,9.09073,0.107522,0.5,1.35259,117,0,0.194976,3.77707,2441,-0.175021,7.45251,-0.11079
overflow_no_gold_claimlag1,diagnostic,1.29603,0.266179,0.224518,1.18556,0.373711,1.10337,32.6706,80.5315,0.867582,0.205381,3.84679,2.11205,0.0851737,0.191719,0.200209,14.2776,32.6747,40.8592,30.5815,9.09073,0.107522,0.5,1.35259,117,0,0.194976,1.72995,2441,-0.287684,7.61183,-0.622271
btc_bh (reference),reference,0.719647,0.434468,0.766293,0.566974,-0.642071,0.480484,,,,0.603724,10.166,-1.00872,0.669312,0.226942,0.529718,,,,,,,,,,,,,2441,-0.864064,61.7893,-1.24516
