asset,rule_delivery,rule_utc,detected_jump_utc,offset_hours,jump_size,confirmed
BTC,1616745600,2021-03-26 08:00,2021-03-26 09:00,1.0,0.06056162947224856,True
BTC,1624608000,2021-06-25 08:00,2021-06-25 09:00,1.0,0.015291676803729346,True
BTC,1632470400,2021-09-24 08:00,2021-09-24 09:00,1.0,0.031564961945259935,True
BTC,1640937600,2021-12-31 08:00,2021-12-31 09:00,1.0,0.026263266650268777,True
BTC,1648195200,2022-03-25 08:00,2022-03-25 09:00,1.0,0.01114887142085945,True
BTC,1656057600,2022-06-24 08:00,2022-06-24 09:00,1.0,0.003828336174675523,True
BTC,1664524800,2022-09-30 08:00,2022-09-30 09:00,1.0,0.0072510708656064165,True
BTC,1672387200,2022-12-30 08:00,2022-12-30 09:00,1.0,0.0037973445541119237,True
BTC,1680249600,2023-03-31 08:00,2023-03-31 09:00,1.0,0.009538118762682478,True
BTC,1688112000,2023-06-30 08:00,2023-06-30 09:00,1.0,0.02122990036835279,True
BTC,1695974400,2023-09-29 08:00,2023-09-29 09:00,1.0,0.013952964978565494,True
BTC,1703836800,2023-12-29 08:00,2023-12-29 07:00,-1.0,0.04086990022828468,True
BTC,1711699200,2024-03-29 08:00,2024-03-29 09:00,1.0,0.06225817317021442,True
BTC,1719561600,2024-06-28 08:00,2024-06-28 07:00,-1.0,0.02898582275496218,True
BTC,1727424000,2024-09-27 08:00,2024-09-27 07:00,-1.0,0.016131480772114886,True
BTC,1735286400,2024-12-27 08:00,2024-12-27 09:00,1.0,0.031025975034152845,True
BTC,1743148800,2025-03-28 08:00,2025-03-28 09:00,1.0,0.011242511499708174,True
BTC,1751011200,2025-06-27 08:00,2025-06-27 07:00,-1.0,0.010917447839909823,True
BTC,1758873600,2025-09-26 08:00,2025-09-26 09:00,1.0,0.019454651933775626,True
BTC,1766736000,2025-12-26 08:00,2025-12-26 07:00,-1.0,0.011835914593629699,True
BTC,1774598400,2026-03-27 08:00,2026-03-27 07:00,-1.0,0.010386339002098306,True
BTC,1782460800,2026-06-26 08:00,2026-06-26 07:00,-1.0,0.007319043892118722,True
ETH,1616745600,2021-03-26 08:00,2021-03-26 09:00,1.0,0.06793677715706904,True
ETH,1624608000,2021-06-25 08:00,2021-06-25 11:00,3.0,0.023635044631160333,False
ETH,1632470400,2021-09-24 08:00,2021-09-24 07:00,-1.0,0.010158517004242015,True
ETH,1640937600,2021-12-31 08:00,2021-12-31 09:00,1.0,0.03062706360225094,True
ETH,1648195200,2022-03-25 08:00,2022-03-25 09:00,1.0,0.012217801185721754,True
ETH,1656057600,2022-06-24 08:00,2022-06-24 09:00,1.0,0.005107289785805905,True
ETH,1664524800,2022-09-30 08:00,2022-09-30 16:00,8.0,0.0013085157332001578,False
ETH,1672387200,2022-12-30 08:00,2022-12-30 07:00,-1.0,0.0029694119045681642,True
ETH,1680249600,2023-03-31 08:00,2023-03-31 09:00,1.0,0.013701145571346166,True
ETH,1688112000,2023-06-30 08:00,2023-06-30 09:00,1.0,0.014008448761370244,True
ETH,1695974400,2023-09-29 08:00,2023-09-29 09:00,1.0,0.019318823905234393,True
ETH,1703836800,2023-12-29 08:00,2023-12-29 09:00,1.0,0.03568660796656346,True
ETH,1711699200,2024-03-29 08:00,2024-03-29 09:00,1.0,0.055540310853930575,True
ETH,1719561600,2024-06-28 08:00,2024-06-28 09:00,1.0,0.025742546409709643,True
ETH,1727424000,2024-09-27 08:00,2024-09-27 09:00,1.0,0.014506018657217557,True
ETH,1735286400,2024-12-27 08:00,2024-12-27 09:00,1.0,0.025709898086986486,True
ETH,1743148800,2025-03-28 08:00,2025-03-28 09:00,1.0,0.009297973288965023,True
ETH,1751011200,2025-06-27 08:00,2025-06-27 09:00,1.0,0.010658009820105103,True
ETH,1758873600,2025-09-26 08:00,2025-09-26 09:00,1.0,0.020869899426424775,True
ETH,1766736000,2025-12-26 08:00,2025-12-26 07:00,-1.0,0.00911261008187244,True
ETH,1774598400,2026-03-27 08:00,2026-03-27 07:00,-1.0,0.002801339961043577,True
ETH,1782460800,2026-06-26 08:00,2026-06-26 09:00,1.0,0.006119054979595237,True
