asset,year,settlements,basis_ann_mean,funding_ann_mean,carry_mean,carry_median,frac_carry_positive,frac_carry_gt_5pct
BTC,2021,911,0.18159351838197335,0.28057258320526896,-0.0989790648232956,-0.03006032095564523,0.3633369923161361,0.21405049396267836
BTC,2022,1011,0.02792201381268036,0.040751751780415436,-0.012829737967735077,-0.028100291082424077,0.3264094955489614,0.1582591493570722
BTC,2023,1011,0.06555757021436344,0.07582974643916914,-0.010272176224805703,-0.012052015620559936,0.380811078140455,0.11275964391691394
BTC,2024,1014,0.12869561347430067,0.11905977115384617,0.009635842320454517,0.017016795109182706,0.6449704142011834,0.3067061143984221
BTC,2025,1011,0.06862597892902626,0.05254456602373887,0.016081412905287383,0.012834546787274484,0.6142433234421365,0.20870425321463898
BTC,2026,713,0.0348192666380385,0.02805959768583451,0.006759668952203996,0.001778477692603097,0.5189340813464236,0.19214586255259467
BTC,ALL|basis>=8%,2098,0.15659961143096415,0.19825651937559582,-0.04165690794463165,-8.489112150333877e-05,0.4990467111534795,0.22402287893231648
BTC,ALL,5671,0.08546004383185098,0.10003900111973196,-0.014578957287880999,-0.003865071997936141,0.4745194850996297,0.19890671839181803
ETH,2021,908,0.19333597133815728,0.3256346696035243,-0.13229869826536694,-0.039874165673929214,0.32158590308370044,0.1618942731277533
ETH,2022,1011,0.0026524401181112806,0.0060639172106825,-0.003411477092571211,-0.03607892827239671,0.34619188921859545,0.20474777448071216
ETH,2023,1011,0.05261879148967172,0.07873241706231456,-0.026113625572642827,-0.029391316063958978,0.28486646884273,0.06726013847675569
ETH,2024,1014,0.13014699835147694,0.1299695347633136,0.00017746358816330744,0.011237921243988279,0.6252465483234714,0.23274161735700197
ETH,2025,1011,0.06285385531337737,0.05176240459940653,0.011091450713970835,0.008907010825509987,0.5687438180019783,0.18199802176063304
ETH,2026,712,0.026656998416959562,0.017690893820224717,0.008966104596734843,-0.0015014409004847282,0.4901685393258427,0.21910112359550563
ETH,ALL|basis>=8%,1816,0.1735016926495646,0.2424350139317181,-0.06893332128215346,-0.001252831236929805,0.4933920704845815,0.18116740088105726
ETH,ALL,5667,0.07868755321221331,0.10201556196400212,-0.023328008751788823,-0.009498841057747662,0.4390329980589377,0.17610728780659962
