source,asset,slot,trigger,cycles_available,cycles_closable,n_trades,R_ann,gross_ann_pooled,fees_ann_pooled,funding_ann_pooled,mean_net_ann,win_rate,total_hold_days,n_funding_incomplete,mean_hold_days,n_long_basis,n_reverse
preregistered,BTC,CURRENT_QUARTER,0.08,23,22,19,-0.05974231483244698,0.11240809828680996,-0.011416495529744317,-0.1607339175895126,-0.07008628409022083,0.3684210526315789,1263.2083333333333,0,66.48464912280701,19,0
preregistered,BTC,CURRENT_QUARTER,0.06,23,22,22,-0.050550916664122134,0.09348849067546293,-0.0101068205959358,-0.13393258674364925,-0.04633768034446914,0.45454545454545453,1651.25,0,75.05681818181819,20,2
preregistered,BTC,CURRENT_QUARTER,0.05,23,22,22,-0.04752221774805122,0.0880896352255355,-0.009230378064106216,-0.1263814749094805,-0.03951574519645332,0.4090909090909091,1800.7916666666667,0,81.85416666666667,20,2
preregistered,BTC,NEXT_QUARTER,0.08,23,21,19,-0.011969766910175483,0.09681365243480419,-0.00444418123146865,-0.10433923811351101,-0.014008158473122978,0.5789473684210527,3246.958333333333,0,170.8925438596491,17,2
preregistered,BTC,NEXT_QUARTER,0.06,23,21,20,-0.018187489075129216,0.08526703482999391,-0.004457153792762918,-0.09899737011236022,-0.019916732890199535,0.45,3439.208333333333,0,171.96041666666665,17,3
preregistered,BTC,NEXT_QUARTER,0.05,23,21,21,-0.021112415505138996,0.0806502740068366,-0.004423807887690779,-0.0973388816242848,-0.021045347038884554,0.47619047619047616,3649.5,0,173.78571428571428,18,3
preregistered,ETH,CURRENT_QUARTER,0.08,23,22,20,-0.08382763199786865,0.1223090492351128,-0.012501518665583836,-0.19363516256739763,-0.07344677175519994,0.45,1192.25,0,59.61250000000001,19,1
preregistered,ETH,CURRENT_QUARTER,0.06,23,22,21,-0.06756647626986932,0.10532151839316893,-0.01010970135282641,-0.16277829331021187,-0.06874437708000182,0.38095238095238093,1536.875,0,73.18452380952381,20,1
preregistered,ETH,CURRENT_QUARTER,0.05,23,22,22,-0.06243174575416758,0.10058193790538399,-0.009952051265007233,-0.15306163239454434,-0.05503797211555825,0.45454545454545453,1647.6666666666667,0,74.89393939393939,20,2
preregistered,ETH,NEXT_QUARTER,0.08,23,21,18,-0.009979938042761441,0.11781282477405351,-0.004632126566766019,-0.12316063625004893,-0.0161928786858428,0.6666666666666666,3028.125,0,168.22916666666666,14,4
preregistered,ETH,NEXT_QUARTER,0.06,23,21,20,-0.029652488003282677,0.1007271531588952,-0.004593956315527023,-0.12578568484665087,-0.034602435835780314,0.55,3385.5,0,169.27499999999998,17,3
preregistered,ETH,NEXT_QUARTER,0.05,23,21,21,-0.036930053656073276,0.09511725866105378,-0.0046511943471258975,-0.12739611797000117,-0.039991358200455386,0.5714285714285714,3538.2916666666665,0,168.49007936507937,20,1
all_15m,BTC,CURRENT_QUARTER,0.08,23,22,19,-0.059742292944832194,0.11240809828680996,-0.011416495529744317,-0.16073389570189786,-0.07008626654597748,0.3684210526315789,1263.2083333333333,0,66.48464912280701,19,0
all_15m,BTC,CURRENT_QUARTER,0.06,23,22,22,-0.054689879145873026,0.0903060356718024,-0.01017309390530852,-0.13482282091236691,-0.060862176235995345,0.4090909090909091,1644.0833333333335,0,74.73106060606062,21,1
all_15m,BTC,CURRENT_QUARTER,0.05,23,22,22,-0.05105061715440201,0.085022579644568,-0.009254605814853302,-0.1268185909841167,-0.051935598103044024,0.36363636363636365,1798.75,0,81.76136363636364,21,1
all_15m,BTC,NEXT_QUARTER,0.08,23,21,19,-0.0119697539676462,0.09681365243480419,-0.00444418123146865,-0.10433922517098172,-0.014008145439762053,0.5789473684210527,3246.958333333333,0,170.8925438596491,17,2
all_15m,BTC,NEXT_QUARTER,0.06,23,21,20,-0.01818747566798901,0.08526703482999391,-0.004457153792762918,-0.09899735670522,-0.019916720231679143,0.45,3439.208333333333,0,171.96041666666665,17,3
all_15m,BTC,NEXT_QUARTER,0.05,23,21,21,-0.021112404756645407,0.0806502740068366,-0.004423807887690779,-0.09733887087579121,-0.021045336787053986,0.47619047619047616,3649.5,0,173.78571428571428,18,3
all_15m,ETH,CURRENT_QUARTER,0.08,23,22,20,-0.08382763199786865,0.1223090492351128,-0.012501518665583836,-0.19363516256739763,-0.07344677175519994,0.45,1192.25,0,59.61250000000001,19,1
all_15m,ETH,CURRENT_QUARTER,0.06,23,22,21,-0.06756647626986932,0.10532151839316893,-0.01010970135282641,-0.16277829331021187,-0.06874437708000182,0.38095238095238093,1536.875,0,73.18452380952381,20,1
all_15m,ETH,CURRENT_QUARTER,0.05,23,22,22,-0.06243174575416758,0.10058193790538399,-0.009952051265007233,-0.15306163239454434,-0.05503797211555825,0.45454545454545453,1647.6666666666667,0,74.89393939393939,20,2
all_15m,ETH,NEXT_QUARTER,0.08,23,21,18,-0.009979938042761441,0.11781282477405351,-0.004632126566766019,-0.12316063625004893,-0.0161928786858428,0.6666666666666666,3028.125,0,168.22916666666666,14,4
all_15m,ETH,NEXT_QUARTER,0.06,23,21,20,-0.029652488003282677,0.1007271531588952,-0.004593956315527023,-0.12578568484665087,-0.034602435835780314,0.55,3385.5,0,169.27499999999998,17,3
all_15m,ETH,NEXT_QUARTER,0.05,23,21,21,-0.036930053656073276,0.09511725866105378,-0.0046511943471258975,-0.12739611797000117,-0.039991358200455386,0.5714285714285714,3538.2916666666665,0,168.49007936507937,20,1
