asset,entry_utc,exit_utc,entry_qtr_volume,exit_qtr_volume,zero_volume_fill
BTC,2021-02-03 08:00,2021-03-26 07:00,4.483,25.466,False
ETH,2021-02-04 07:00,2021-03-26 07:00,7009.538,142.374,False
BTC,2021-03-26 09:00,2021-06-25 07:00,23.295,125.045,False
ETH,2021-03-26 09:00,2021-06-25 07:00,110.451,681.002,False
BTC,2021-06-25 09:00,2021-09-24 07:00,0.0,230.796,True
ETH,2021-06-25 09:00,2021-09-24 07:00,0.0,2130.015,True
ETH,2021-09-24 10:00,2021-12-31 07:00,5558.002,751.291,False
BTC,2021-09-26 17:00,2021-12-31 07:00,32.442,80.191,False
BTC,2021-12-31 09:00,2022-03-25 07:00,99.091,68.742,False
ETH,2021-12-31 09:00,2022-03-25 07:00,810.246,794.631,False
ETH,2022-06-16 09:00,2022-06-24 07:00,4623.185,2613.154,False
BTC,2022-06-16 13:00,2022-06-24 07:00,278.442,91.722,False
ETH,2022-08-09 11:00,2022-09-30 07:00,5228.263,1355.45,False
BTC,2023-02-20 11:00,2023-03-31 07:00,136.897,299.997,False
ETH,2023-02-20 13:00,2023-03-31 07:00,639.346,2680.897,False
BTC,2023-06-22 02:00,2023-06-30 07:00,166.075,73.633,False
ETH,2023-06-22 02:00,2023-06-30 07:00,1200.777,922.406,False
BTC,2023-07-04 11:00,2023-09-29 07:00,33.767,69.8,False
BTC,2023-10-26 22:00,2023-12-29 07:00,10.191,38.916,False
ETH,2023-11-09 14:00,2023-12-29 07:00,2685.081,775.199,False
BTC,2023-12-29 09:00,2024-03-29 07:00,21.262,134.861,False
ETH,2023-12-29 09:00,2024-03-29 07:00,447.391,1415.669,False
BTC,2024-03-29 09:00,2024-06-28 07:00,35.767,14.613,False
ETH,2024-03-29 09:00,2024-06-28 07:00,617.714,350.072,False
BTC,2024-06-28 09:00,2024-09-27 07:00,47.282,28.87,False
ETH,2024-06-28 09:00,2024-09-27 07:00,370.611,273.325,False
BTC,2024-09-27 14:00,2024-12-27 07:00,89.411,105.931,False
ETH,2024-10-12 00:00,2024-12-27 07:00,162.199,619.68,False
BTC,2024-12-27 09:00,2025-03-28 07:00,78.865,25.997,False
ETH,2024-12-27 09:00,2025-03-28 07:00,732.575,760.266,False
BTC,2025-05-30 08:00,2025-06-27 07:00,30.968,7.526,False
ETH,2025-06-15 12:00,2025-06-27 07:00,539.829,216.899,False
BTC,2025-07-20 07:00,2025-09-26 07:00,2.905,5.803,False
ETH,2025-07-20 08:00,2025-09-26 07:00,409.577,463.03,False
ETH,2025-10-02 21:00,2025-12-26 07:00,60.278,282.528,False
BTC,2025-10-04 11:00,2025-12-26 07:00,1.501,13.049,False
BTC,2026-03-14 13:00,2026-03-27 07:00,4.44,16.104,False
ETH,2026-03-18 21:00,2026-03-27 07:00,86.784,258.654,False
ETH,2026-06-16 15:00,2026-06-26 07:00,118.779,865.414,False
