asset,slot,trigger,delivery,delivery_utc,entry_ts,entry_utc,exit_ts,exit_utc,direction,hold_days,entry_dtd,entry_basis,entry_basis_ann,exit_basis,Q0,P0,Q1,P1,gross,fees,funding,net,net_ann,gross_ann,funding_ann,funding_settlements_found,funding_settlements_expected,funding_incomplete
BTC,CURRENT_QUARTER,0.08,1616745600,2021-03-26 08:00,1612339200,2021-02-03 08:00,1616742000,2021-03-26 07:00,short_qtr_long_perp,50.958333333333336,51.0,0.09666970110967436,0.691851782451591,-0.005898164959348933,39550.0,36063.73,53258.3,53574.29,0.10543168995553134,0.0025294987512384324,-0.1320714790367275,-0.029169287832434596,-0.2089312848831783,0.7551771087575262,-0.9459903159131094,152,152,False
ETH,CURRENT_QUARTER,0.08,1616745600,2021-03-26 08:00,1612422000,2021-02-04 07:00,1616742000,2021-03-26 07:00,short_qtr_long_perp,50.0,50.041666666666664,0.051113661353217314,0.3728190453407025,-0.001422789157365348,1749.4,1664.33,1628.28,1630.6,0.052507615677179466,0.002004593440002884,-0.11849709074378277,-0.06799406850660619,-0.4963567000982252,0.3833055944434101,-0.8650287624296142,150,150,False
BTC,CURRENT_QUARTER,0.08,1624608000,2021-06-25 08:00,1616749200,2021-03-26 09:00,1624604400,2021-06-25 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.05466346451289963,0.21935499273156245,0.006619737095948907,56254.8,53339.1,34489.5,34262.69,0.050411236785022746,0.0016718138288797525,-0.0803137506786729,-0.0315743277225299,-0.1267603624424207,0.20238425033767152,-0.32243283957157404,272,272,False
ETH,CURRENT_QUARTER,0.08,1624608000,2021-06-25 08:00,1616749200,2021-03-26 09:00,1624604400,2021-06-25 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.06651398799970369,0.2669090860638591,0.002053726303652961,1727.71,1619.96,1946.8,1942.81,0.0640509642213388,0.0022337835502111167,-0.1394709649193806,-0.07765378424825292,-0.3117539642597138,0.25714319274927944,-0.5599292633793648,272,272,False
BTC,CURRENT_QUARTER,0.08,1632470400,2021-09-24 08:00,1624611600,2021-06-25 09:00,1632466800,2021-09-24 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.021911413899678253,0.08792669984479226,-0.013040300761348541,34489.5,33749.99,44201.0,44785.01,0.039215419026790946,0.002329267356819958,-0.02848485818956391,0.008401293480407076,0.0337283826252823,0.15743678766026062,-0.11435717586644356,272,272,False
ETH,CURRENT_QUARTER,0.08,1632470400,2021-09-24 08:00,1624611600,2021-06-25 09:00,1632466800,2021-09-24 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.02140608604407133,0.0858989068923797,0.012530053334543052,1946.8,1906.0,3124.85,3086.18,0.001117523609653663,0.002640039349422875,-0.06056095493677862,-0.06208347067654783,-0.24924436440263933,0.004486483419141195,-0.24313197307341003,272,272,False
ETH,CURRENT_QUARTER,0.08,1640937600,2021-12-31 08:00,1632477600,2021-09-24 10:00,1640934000,2021-12-31 07:00,short_qtr_long_perp,97.875,97.91666666666667,0.021585578080489706,0.08046368680216588,-0.006295701657428808,2894.06,2832.91,3695.0,3718.41,0.02984916569887499,0.0023192371095446026,-0.06693471276531908,-0.039404784175988694,-0.14695015299346997,0.11131489634829497,-0.2496160424964645,293,293,False
BTC,CURRENT_QUARTER,0.08,1640937600,2021-12-31 08:00,1632675600,2021-09-26 17:00,1640934000,2021-12-31 07:00,short_qtr_long_perp,95.58333333333333,95.625,0.020983158663024505,0.08009257947193668,-0.0031575863269346803,44035.8,43130.78,47020.0,47168.94,0.024436376991095604,0.002102390914330787,-0.07040160115759556,-0.04806761508083074,-0.18355375244467187,0.09331415102092307,-0.26883959291217835,286,286,False
BTC,CURRENT_QUARTER,0.08,1648195200,2022-03-25 08:00,1640941200,2021-12-31 09:00,1648191600,2022-03-25 07:00,short_qtr_long_perp,83.91666666666667,83.95833333333333,0.023105680323334096,0.10044950850243509,0.004088614745435329,49395.0,48279.47,44081.9,43902.4,0.019387743900254058,0.0019227507054240653,-0.009871879002331637,0.007593114192498357,0.03302665358802662,0.08432802212821526,-0.04293826219484862,251,251,False
ETH,CURRENT_QUARTER,0.08,1648195200,2022-03-25 08:00,1640941200,2021-12-31 09:00,1648191600,2022-03-25 07:00,short_qtr_long_perp,83.91666666666667,83.95833333333333,0.02433136194482213,0.10577803009262624,0.0032800406648315584,3886.6,3794.28,3138.27,3128.01,0.02162729160736686,0.0018379191836132283,-0.008161851021484975,0.011627521402268658,0.05057452208732544,0.09406905386322428,-0.035500404641612894,251,251,False
ETH,CURRENT_QUARTER,0.08,1656057600,2022-06-24 08:00,1655370000,2022-06-16 09:00,1656054000,2022-06-24 07:00,short_qtr_long_perp,7.916666666666667,7.958333333333333,0.0018720112143230149,0.08585768710717073,0.0024826865281588127,1129.24,1127.13,1150.8,1147.95,-0.0006565347386725658,0.002020671972177122,0.0010311579194059244,-0.0016460487914437634,-0.0758915127002493,-0.030269706898798293,0.04754180723155736,23,23,False
BTC,CURRENT_QUARTER,0.08,1656057600,2022-06-24 08:00,1655384400,2022-06-16 13:00,1656054000,2022-06-24 07:00,short_qtr_long_perp,7.75,7.791666666666667,0.0021709633649931465,0.10169860469165756,-7.654074120150703e-05,21050.1,21004.5,20902.3,20903.9,0.002247137518150907,0.0019962579447261298,-0.000304345607465067,-5.346603404028985e-05,-0.0025180777322201028,0.105832928274204,-0.014333696351580574,23,23,False
ETH,CURRENT_QUARTER,0.08,1664524800,2022-09-30 08:00,1660042800,2022-08-09 11:00,1664521200,2022-09-30 07:00,long_qtr_short_perp,51.833333333333336,51.875,-0.012197556964998815,-0.08582377430794347,-0.0008434913075608987,1682.03,1702.8,1338.54,1339.67,0.011533944092083552,0.0017803147756636128,-0.015512853239957719,-0.00575922392353778,-0.04055530672844932,0.08121973492496135,-0.10923841992124567,155,155,False
BTC,CURRENT_QUARTER,0.08,1680249600,2023-03-31 08:00,1676890800,2023-02-20 11:00,1680246000,2023-03-31 07:00,short_qtr_long_perp,38.833333333333336,38.875,0.008961314915307281,0.08413839084468573,0.002686301305650608,25119.0,24895.9,27807.8,27733.3,0.00596885430934405,0.0021199474612285554,-0.006607187795219295,-0.0027582809471038004,-0.02592547327964516,0.05610210702774022,-0.06210189386922857,116,116,False
