cell,entry_date,entry_ts,exit_ts,side,p_entry,p_exit,gross,net,note
EMA_ETH,2021-07-14,2021-07-14T00:00:00+00:00,2021-08-04T00:00:00+00:00,-1,1940.44,2508.51,-0.2927531899981448,-0.29455318999814484,wk 80->83
EMA_ETH,2021-08-04,2021-08-04T00:00:00+00:00,2022-01-19T00:00:00+00:00,1,2508.51,3159.85,0.2596521441014785,0.2578521441014785,wk 83->107
EMA_ETH,2022-01-19,2022-01-19T00:00:00+00:00,2023-01-25T00:00:00+00:00,-1,3159.85,1555.97,0.5075810560627878,0.5057810560627878,wk 107->160
EMA_ETH,2023-01-25,2023-01-25T00:00:00+00:00,2023-08-23T00:00:00+00:00,1,1555.97,1635.0,0.050791467701819526,0.04899146770181952,wk 160->190
EMA_ETH,2023-08-23,2023-08-23T00:00:00+00:00,2023-11-08T00:00:00+00:00,-1,1635.0,1885.26,-0.1530642201834862,-0.1548642201834862,wk 190->201
EMA_ETH,2023-11-08,2023-11-08T00:00:00+00:00,2024-08-07T00:00:00+00:00,1,1885.26,2461.33,0.30556528012051376,0.30376528012051374,wk 201->240
EMA_ETH,2024-08-07,2024-08-07T00:00:00+00:00,2024-11-13T00:00:00+00:00,-1,2461.33,3243.79,-0.31790129726611216,-0.3197012972661122,wk 240->254
EMA_ETH,2024-11-13,2024-11-13T00:00:00+00:00,2025-02-05T00:00:00+00:00,1,3243.79,2731.19,-0.15802502628098614,-0.15982502628098613,wk 254->266
EMA_ETH,2025-02-05,2025-02-05T00:00:00+00:00,2025-05-28T00:00:00+00:00,-1,2731.19,2660.81,0.025768987144797695,0.023968987144797695,wk 266->282
EMA_ETH,2025-05-28,2025-05-28T00:00:00+00:00,2025-11-12T00:00:00+00:00,1,2660.81,3417.76,0.28448104148736664,0.2826810414873666,wk 282->306
EMA_ETH,2025-11-12,2025-11-12T00:00:00+00:00,2026-08-26T00:00:00+00:00,-1,3417.76,2442.65,0.2853067506202893,0.2835067506202893,wk 306->347
