cell,entry_date,entry_ts,exit_ts,side,p_entry,p_exit,gross,net,note
HIGH52,2021-01-02,2021-01-02T00:00:00+00:00,2021-01-07T00:00:00+00:00,1,29331.7,36769.36,0.25357071018727173,0.2517707101872717,
HIGH52,2021-01-07,2021-01-07T00:00:00+00:00,2021-01-12T00:00:00+00:00,1,36769.36,35410.37,-0.03695984917877271,-0.03875984917877271,
HIGH52,2021-02-09,2021-02-09T00:00:00+00:00,2021-02-14T00:00:00+00:00,1,46374.86,47156.78,0.01686085952604488,0.01506085952604488,
HIGH52,2021-02-15,2021-02-15T00:00:00+00:00,2021-02-20T00:00:00+00:00,1,48580.47,55906.0,0.15079166586902093,0.14899166586902093,
HIGH52,2021-02-20,2021-02-20T00:00:00+00:00,2021-02-25T00:00:00+00:00,1,55906.0,49676.21,-0.11143329875147567,-0.11323329875147567,
HIGH52,2021-03-12,2021-03-12T00:00:00+00:00,2021-03-17T00:00:00+00:00,1,57773.15,56900.74,-0.015100613347203695,-0.016900613347203695,
HIGH52,2021-04-14,2021-04-14T00:00:00+00:00,2021-04-19T00:00:00+00:00,1,63575.01,56150.01,-0.11679117313548204,-0.11859117313548204,
HIGH52,2021-10-20,2021-10-20T00:00:00+00:00,2021-10-25T00:00:00+00:00,1,64280.59,60852.22,-0.05333445134837744,-0.055134451348377446,
HIGH52,2021-11-09,2021-11-09T00:00:00+00:00,2021-11-14T00:00:00+00:00,1,67525.82,64380.01,-0.04658677228947394,-0.048386772289473946,
HIGH52,2023-06-24,2023-06-24T00:00:00+00:00,2023-06-29T00:00:00+00:00,1,30688.51,30077.4,-0.019913316091266675,-0.021713316091266675,
HIGH52,2023-07-04,2023-07-04T00:00:00+00:00,2023-07-09T00:00:00+00:00,1,31156.2,30284.63,-0.027974207380874416,-0.029774207380874416,
HIGH52,2023-07-14,2023-07-14T00:00:00+00:00,2023-07-19T00:00:00+00:00,1,31454.23,29859.14,-0.050711462337498014,-0.05251146233749802,
HIGH52,2023-10-24,2023-10-24T00:00:00+00:00,2023-10-29T00:00:00+00:00,1,33069.99,34081.01,0.03057212899066508,0.028772128990665082,
