cell,entry_date,entry_ts,exit_ts,side,p_entry,p_exit,gross,net,note
NFP_R4_COVERED,2020-01-03,2020-01-03T12:30:00+00:00,2020-01-03T14:00:00+00:00,1,7338.43,7348.36,0.0013531504695145635,-0.0004468495304854364,
NFP_R4_COVERED,2020-02-07,2020-02-07T12:30:00+00:00,2020-02-07T14:00:00+00:00,1,9774.21,9782.84,0.000882935807599905,-0.000917064192400095,
NFP_R4_COVERED,2020-03-06,2020-03-06T12:30:00+00:00,2020-03-06T14:00:00+00:00,1,9100.44,9060.97,-0.004337152928869492,-0.006137152928869492,
NFP_R4_COVERED,2020-04-03,2020-04-03T12:30:00+00:00,2020-04-03T14:00:00+00:00,1,6986.23,6843.65,-0.02040871829298485,-0.02220871829298485,
NFP_R4_COVERED,2020-05-01,2020-05-01T12:30:00+00:00,2020-05-01T14:00:00+00:00,1,8907.99,8792.2,-0.012998442970860835,-0.014798442970860835,
NFP_R4_COVERED,2020-06-05,2020-06-05T12:30:00+00:00,2020-06-05T14:00:00+00:00,1,9661.42,9713.15,0.00535428539490046,0.00355428539490046,
NFP_R4_COVERED,2020-07-03,2020-07-03T12:30:00+00:00,2020-07-03T14:00:00+00:00,1,9094.32,9088.24,-0.0006685491603550808,-0.0024685491603550808,
NFP_R4_COVERED,2020-08-07,2020-08-07T12:30:00+00:00,2020-08-07T14:00:00+00:00,1,11712.27,11737.98,0.0021951338211976257,0.00039513382119762573,
NFP_R4_COVERED,2020-09-04,2020-09-04T12:30:00+00:00,2020-09-04T14:00:00+00:00,1,10384.94,10372.85,-0.001164185830635489,-0.002964185830635489,
NFP_R4_COVERED,2020-10-02,2020-10-02T12:30:00+00:00,2020-10-02T14:00:00+00:00,1,10484.86,10530.42,0.0043453131467658945,0.0025453131467658946,
NFP_R4_COVERED,2020-11-06,2020-11-06T12:30:00+00:00,2020-11-06T14:00:00+00:00,1,15466.22,15685.03,0.014147606848990968,0.012347606848990968,
NFP_R4_COVERED,2020-12-04,2020-12-04T12:30:00+00:00,2020-12-04T14:00:00+00:00,1,18856.05,19005.34,0.00791735278597594,0.00611735278597594,
NFP_R4_COVERED,2021-01-01,2021-01-01T12:30:00+00:00,2021-01-01T14:00:00+00:00,1,29443.65,29464.79,0.0007179816361082558,-0.0010820183638917441,
NFP_R4_COVERED,2021-02-05,2021-02-05T12:30:00+00:00,2021-02-05T14:00:00+00:00,1,37934.91,38272.33,0.008894709385101951,0.0070947093851019515,
NFP_R4_COVERED,2021-03-05,2021-03-05T12:30:00+00:00,2021-03-05T14:00:00+00:00,1,47241.64,48061.21,0.01734846631065312,0.015548466310653122,
NFP_R4_COVERED,2021-04-02,2021-04-02T12:30:00+00:00,2021-04-02T14:00:00+00:00,1,59378.58,59205.0,-0.002923276373399286,-0.004723276373399286,
NFP_R4_COVERED,2021-05-07,2021-05-07T12:30:00+00:00,2021-05-07T14:00:00+00:00,1,56464.09,56997.47,0.009446357853283516,0.007646357853283516,
NFP_R4_COVERED,2021-06-04,2021-06-04T12:30:00+00:00,2021-06-04T14:00:00+00:00,1,35794.3,36729.32,0.026122036190119546,0.024322036190119547,
NFP_R4_COVERED,2021-07-02,2021-07-02T12:30:00+00:00,2021-07-02T14:00:00+00:00,1,32927.65,33480.0,0.016774655950242412,0.014974655950242412,
NFP_R4_COVERED,2021-08-06,2021-08-06T12:30:00+00:00,2021-08-06T14:00:00+00:00,1,40962.26,40924.08,-0.0009320774781469421,-0.002732077478146942,
NFP_R4_COVERED,2021-09-03,2021-09-03T12:30:00+00:00,2021-09-03T14:00:00+00:00,1,50083.24,50713.19,0.012578060045636219,0.01077806004563622,
NFP_R4_COVERED,2021-10-01,2021-10-01T12:30:00+00:00,2021-10-01T14:00:00+00:00,1,47685.09,46980.94,-0.01476667025269307,-0.01656667025269307,
NFP_R4_COVERED,2021-11-05,2021-11-05T12:30:00+00:00,2021-11-05T14:00:00+00:00,1,61317.5,61773.25,0.00743262527011046,0.0056326252701104605,
NFP_R4_COVERED,2021-12-03,2021-12-03T12:30:00+00:00,2021-12-03T14:00:00+00:00,1,56930.6,56863.2,-0.0011838975875890778,-0.0029838975875890778,
NFP_R4_COVERED,2022-01-07,2022-01-07T12:30:00+00:00,2022-01-07T14:00:00+00:00,1,42439.99,41489.19,-0.022403398304287947,-0.024203398304287947,
NFP_R4_COVERED,2022-02-04,2022-02-04T12:30:00+00:00,2022-02-04T14:00:00+00:00,1,38006.27,37421.41,-0.015388513526846892,-0.01718851352684689,
NFP_R4_COVERED,2022-03-04,2022-03-04T12:30:00+00:00,2022-03-04T14:00:00+00:00,1,41394.49,41315.75,-0.0019021855324222736,-0.0037021855324222736,
NFP_R4_COVERED,2022-04-01,2022-04-01T12:30:00+00:00,2022-04-01T14:00:00+00:00,1,44852.01,45430.12,0.012889277425916834,0.011089277425916835,
