cell,entry_date,entry_ts,exit_ts,side,p_entry,p_exit,gross,net,note
QTR_END,2020-03-31,2020-03-31T00:00:00+00:00,2020-04-03T00:00:00+00:00,1,6394.45,6793.86,0.062461978747194724,0.06066197874719472,
QTR_END,2020-06-30,2020-06-30T00:00:00+00:00,2020-07-03T00:00:00+00:00,1,9192.93,9086.54,-0.011573024052179193,-0.013373024052179192,
QTR_END,2020-09-30,2020-09-30T00:00:00+00:00,2020-10-03T00:00:00+00:00,1,10840.58,10570.4,-0.024923020723983447,-0.026723020723983446,
QTR_END,2020-12-31,2020-12-31T00:00:00+00:00,2021-01-03T00:00:00+00:00,1,28875.55,32176.45,0.11431470569391755,0.11251470569391755,
QTR_END,2021-03-31,2021-03-31T00:00:00+00:00,2021-04-03T00:00:00+00:00,1,58746.57,58950.01,0.003463010691517887,0.0016630106915178871,
QTR_END,2021-06-30,2021-06-30T00:00:00+00:00,2021-07-03T00:00:00+00:00,1,35911.72,33786.54,-0.05917789512727323,-0.06097789512727323,
QTR_END,2021-09-30,2021-09-30T00:00:00+00:00,2021-10-03T00:00:00+00:00,1,41524.29,47634.89,0.14715724218282844,0.14535724218282844,
QTR_END,2021-12-31,2021-12-31T00:00:00+00:00,2022-01-03T00:00:00+00:00,1,47120.88,47286.18,0.0035079990017163887,0.0017079990017163887,
QTR_END,2022-03-31,2022-03-31T00:00:00+00:00,2022-04-03T00:00:00+00:00,1,47067.99,45810.99,-0.026706047995675997,-0.028506047995675996,
QTR_END,2022-06-30,2022-06-30T00:00:00+00:00,2022-07-03T00:00:00+00:00,1,20123.0,19252.82,-0.04324305521045568,-0.045043055210455686,
QTR_END,2022-09-30,2022-09-30T00:00:00+00:00,2022-10-03T00:00:00+00:00,1,19590.54,19057.74,-0.027196800088205797,-0.028996800088205796,
QTR_END,2022-12-31,2022-12-31T00:00:00+00:00,2023-01-03T00:00:00+00:00,1,16607.48,16672.78,0.003931963187671972,0.002131963187671972,
QTR_END,2023-03-31,2023-03-31T00:00:00+00:00,2023-04-03T00:00:00+00:00,1,28028.53,28171.87,0.005114074837317517,0.003314074837317517,
QTR_END,2023-06-30,2023-06-30T00:00:00+00:00,2023-07-03T00:00:00+00:00,1,30447.31,30617.02,0.0055738914209497725,0.0037738914209497726,
QTR_END,2023-09-30,2023-09-30T00:00:00+00:00,2023-10-03T00:00:00+00:00,1,26906.96,27494.51,0.021836357581830113,0.020036357581830113,
QTR_END,2023-12-31,2023-12-31T00:00:00+00:00,2024-01-03T00:00:00+00:00,1,42140.29,44946.91,0.06660181977864887,0.06480181977864888,
QTR_END,2024-03-31,2024-03-31T00:00:00+00:00,2024-04-03T00:00:00+00:00,1,69582.17,65463.99,-0.05918441462805779,-0.060984414628057794,
QTR_END,2024-06-30,2024-06-30T00:00:00+00:00,2024-07-03T00:00:00+00:00,1,60986.68,62135.46,0.018836572182647116,0.017036572182647116,
QTR_END,2024-09-30,2024-09-30T00:00:00+00:00,2024-10-03T00:00:00+00:00,1,65602.01,60649.27,-0.07549677212634187,-0.07729677212634187,
QTR_END,2024-12-31,2024-12-31T00:00:00+00:00,2025-01-03T00:00:00+00:00,1,92792.05,96984.79,0.0451842587807898,0.043384258780789796,
QTR_END,2025-03-31,2025-03-31T00:00:00+00:00,2025-04-03T00:00:00+00:00,1,82390.0,82516.28,0.001532710280373717,-0.000267289719626283,
QTR_END,2025-06-30,2025-06-30T00:00:00+00:00,2025-07-03T00:00:00+00:00,1,108356.93,108849.59,0.004546640440994398,0.0027466404409943984,
QTR_END,2025-09-30,2025-09-30T00:00:00+00:00,2025-10-03T00:00:00+00:00,1,114311.97,120529.35,0.05438957967393976,0.052589579673939756,
QTR_END,2025-12-31,2025-12-31T00:00:00+00:00,2026-01-03T00:00:00+00:00,1,88485.5,89995.14,0.017060874380548263,0.015260874380548264,
QTR_END,2026-03-31,2026-03-31T00:00:00+00:00,2026-04-03T00:00:00+00:00,1,66797.38,66901.99,0.0015660793881435708,-0.0002339206118564291,
QTR_END,2026-06-30,2026-06-30T00:00:00+00:00,2026-07-03T00:00:00+00:00,1,60260.2,61560.0,0.021569792333911986,0.019769792333911986,
