cell,entry_date,entry_ts,exit_ts,side,p_entry,p_exit,gross,net,note
WKND_FADE,2020-01-05,2020-01-05T22:00:00+00:00,2020-01-06T22:00:00+00:00,-1,7367.62,7578.42,-0.028611681927135146,-0.030411681927135146,gap=0.006917
WKND_FADE,2020-01-12,2020-01-12T22:00:00+00:00,2020-01-13T22:00:00+00:00,-1,8102.21,8136.0,-0.004170467070095718,-0.0059704670700957176,gap=0.003494
WKND_FADE,2020-01-19,2020-01-19T22:00:00+00:00,2020-01-20T22:00:00+00:00,1,8722.15,8692.44,-0.0034062702430018854,-0.005206270243001885,gap=-0.017747
WKND_FADE,2020-01-26,2020-01-26T22:00:00+00:00,2020-01-27T22:00:00+00:00,-1,8600.88,8964.73,-0.04230381077285128,-0.04410381077285128,gap=0.013462
WKND_FADE,2020-02-02,2020-02-02T22:00:00+00:00,2020-02-03T22:00:00+00:00,-1,9440.62,9286.47,0.01632837673796861,0.014528376737968609,gap=0.012833
WKND_FADE,2020-02-09,2020-02-09T22:00:00+00:00,2020-02-10T22:00:00+00:00,-1,10084.88,9870.41,0.02126649003260317,0.01946649003260317,gap=0.035345
WKND_FADE,2020-02-16,2020-02-16T22:00:00+00:00,2020-02-17T22:00:00+00:00,1,9759.49,9631.95,-0.013068305823357496,-0.014868305823357495,gap=-0.057423
WKND_FADE,2020-02-23,2020-02-23T22:00:00+00:00,2020-02-24T22:00:00+00:00,-1,9859.38,9609.61,0.0253332359641274,0.0235332359641274,gap=0.016909
WKND_FADE,2020-03-01,2020-03-01T22:00:00+00:00,2020-03-02T22:00:00+00:00,1,8526.41,8935.75,0.04800848188158913,0.046208481881589124,gap=-0.010186
WKND_FADE,2020-03-08,2020-03-08T22:00:00+00:00,2020-03-09T22:00:00+00:00,1,8247.94,7830.38,-0.05062597448575046,-0.05242597448575046,gap=-0.093451
WKND_FADE,2020-03-15,2020-03-15T22:00:00+00:00,2020-03-16T22:00:00+00:00,-1,5906.85,4962.01,0.1599566604874002,0.1581566604874002,gap=0.102670
WKND_FADE,2020-03-22,2020-03-22T22:00:00+00:00,2020-03-23T22:00:00+00:00,-1,6050.36,6444.97,-0.06522091247462969,-0.06702091247462968,gap=0.013445
WKND_FADE,2020-03-29,2020-03-29T22:00:00+00:00,2020-03-30T22:00:00+00:00,1,5895.21,6529.24,0.10755002790401025,0.10575002790401025,gap=-0.117053
WKND_FADE,2020-04-05,2020-04-05T22:00:00+00:00,2020-04-06T22:00:00+00:00,-1,6758.0,7287.45,-0.0783441846700208,-0.0801441846700208,gap=0.009523
WKND_FADE,2020-04-12,2020-04-12T22:00:00+00:00,2020-04-13T22:00:00+00:00,-1,7112.17,6827.08,0.040084812370907885,0.03828481237090788,gap=0.029259
WKND_FADE,2020-04-19,2020-04-19T22:00:00+00:00,2020-04-20T22:00:00+00:00,-1,7184.71,6841.39,0.047784809686125085,0.04598480968612508,gap=0.018514
WKND_FADE,2020-04-26,2020-04-26T22:00:00+00:00,2020-04-27T22:00:00+00:00,-1,7624.62,7723.49,-0.012967203611458755,-0.014767203611458755,gap=0.013199
WKND_FADE,2020-05-03,2020-05-03T22:00:00+00:00,2020-05-04T22:00:00+00:00,-1,8856.28,8936.56,-0.009064754050233104,-0.010864754050233103,gap=0.014478
WKND_FADE,2020-05-10,2020-05-10T22:00:00+00:00,2020-05-11T22:00:00+00:00,1,8717.55,8589.84,-0.014649758246296218,-0.016449758246296218,gap=-0.126480
WKND_FADE,2020-05-17,2020-05-17T22:00:00+00:00,2020-05-18T22:00:00+00:00,-1,9764.62,9686.23,0.008027962173643322,0.006227962173643322,gap=0.055602
WKND_FADE,2020-05-24,2020-05-24T22:00:00+00:00,2020-05-25T22:00:00+00:00,1,9054.21,8899.42,-0.0170959144972338,-0.0188959144972338,gap=-0.013410
WKND_FADE,2020-05-31,2020-05-31T22:00:00+00:00,2020-06-01T22:00:00+00:00,-1,9469.35,9653.0,-0.01939415060167793,-0.021194150601677928,gap=0.005134
WKND_FADE,2020-06-07,2020-06-07T22:00:00+00:00,2020-06-08T22:00:00+00:00,1,9706.84,9710.99,0.00042753357426295047,-0.0013724664257370495,gap=-0.000760
WKND_FADE,2020-06-14,2020-06-14T22:00:00+00:00,2020-06-15T22:00:00+00:00,1,9346.09,9434.23,0.00943068170753758,0.007630681707537581,gap=-0.012701
WKND_FADE,2020-06-21,2020-06-21T22:00:00+00:00,2020-06-22T22:00:00+00:00,-1,9333.7,9688.58,-0.03802136344643592,-0.03982136344643592,gap=0.001012
WKND_FADE,2020-06-28,2020-06-28T22:00:00+00:00,2020-06-29T22:00:00+00:00,1,9128.77,9210.46,0.008948631633834525,0.007148631633834526,gap=-0.007065
WKND_FADE,2020-07-05,2020-07-05T22:00:00+00:00,2020-07-06T22:00:00+00:00,1,9031.79,9272.11,0.026608236019659337,0.024808236019659338,gap=-0.006240
WKND_FADE,2020-07-12,2020-07-12T22:00:00+00:00,2020-07-13T22:00:00+00:00,-1,9260.62,9252.61,0.0008649528865237732,-0.0009350471134762267,gap=0.003086
WKND_FADE,2020-07-19,2020-07-19T22:00:00+00:00,2020-07-20T22:00:00+00:00,-1,9170.0,9167.47,0.0002758996728463581,-0.0015241003271536419,gap=0.001589
WKND_FADE,2020-07-26,2020-07-26T22:00:00+00:00,2020-07-27T22:00:00+00:00,-1,9879.98,11088.67,-0.12233729218075351,-0.1241372921807535,gap=0.027525
WKND_FADE,2020-08-02,2020-08-02T22:00:00+00:00,2020-08-03T22:00:00+00:00,1,11132.76,11190.74,0.005208052630255144,0.0034080526302551445,gap=-0.017115
WKND_FADE,2020-08-09,2020-08-09T22:00:00+00:00,2020-08-10T22:00:00+00:00,-1,11648.22,11834.35,-0.015979265501510298,-0.017779265501510298,gap=0.007592
WKND_FADE,2020-08-16,2020-08-16T22:00:00+00:00,2020-08-17T22:00:00+00:00,-1,11854.74,12315.55,-0.038871371282710454,-0.04067137128271046,gap=0.007881
WKND_FADE,2020-08-23,2020-08-23T22:00:00+00:00,2020-08-24T22:00:00+00:00,-1,11670.12,11755.11,-0.007282701463223962,-0.009082701463223961,gap=0.004699
WKND_FADE,2020-08-30,2020-08-30T22:00:00+00:00,2020-08-31T22:00:00+00:00,-1,11601.74,11632.61,-0.0026608077753855763,-0.004460807775385576,gap=0.009300
WKND_FADE,2020-09-06,2020-09-06T22:00:00+00:00,2020-09-07T22:00:00+00:00,1,10318.38,10157.21,-0.015619699991665348,-0.017419699991665347,gap=-0.025316
WKND_FADE,2020-09-13,2020-09-13T22:00:00+00:00,2020-09-14T22:00:00+00:00,1,10296.87,10717.35,0.04083571026923716,0.039035710269237155,gap=-0.002489
WKND_FADE,2020-09-20,2020-09-20T22:00:00+00:00,2020-09-21T22:00:00+00:00,1,10871.66,10504.0,-0.03381820255600343,-0.03561820255600343,gap=-0.001390
WKND_FADE,2020-09-27,2020-09-27T22:00:00+00:00,2020-09-28T22:00:00+00:00,-1,10716.84,10885.08,-0.015698657440066377,-0.017498657440066376,gap=0.000843
WKND_FADE,2020-10-04,2020-10-04T22:00:00+00:00,2020-10-05T22:00:00+00:00,-1,10645.01,10739.82,-0.008906520519943006,-0.010706520519943006,gap=0.009895
WKND_FADE,2020-10-11,2020-10-11T22:00:00+00:00,2020-10-12T22:00:00+00:00,-1,11328.22,11684.16,-0.03142064684478241,-0.03322064684478241,gap=0.026972
