symbol,rule,year,n,share_held,round_trips,net_ann_pct
ETHUSDT,CUM30D,2020,902,1.0,1,22.76871861419069
ETHUSDT,CUM30D,2021,1095,1.0,0,37.537255
ETHUSDT,CUM30D,2022,1095,0.9342465753424658,8,0.3551819999999997
ETHUSDT,CUM30D,2023,1095,1.0,0,8.259507000000003
ETHUSDT,CUM30D,2024,1098,1.0,0,12.961408292349727
ETHUSDT,CUM30D,2025,1095,1.0,0,4.928719
ETHUSDT,CUM30D,2026,783,1.0,0,1.5751777777777778
ETHUSDT,ALWAYS_ON,2020,902,1.0,1,22.76871861419069
ETHUSDT,ALWAYS_ON,2021,1095,1.0,0,37.537255
ETHUSDT,ALWAYS_ON,2022,1095,1.0,0,0.7872559999999997
ETHUSDT,ALWAYS_ON,2023,1095,1.0,0,8.259507000000003
ETHUSDT,ALWAYS_ON,2024,1098,1.0,0,12.961408292349727
ETHUSDT,ALWAYS_ON,2025,1095,1.0,0,4.928719
ETHUSDT,ALWAYS_ON,2026,783,1.0,0,1.5751777777777778
ETHUSDT,LIVE,2020,902,1.0,1,22.76871861419069
ETHUSDT,LIVE,2021,1095,0.9972602739726028,1,37.32358
ETHUSDT,LIVE,2022,1095,0.7150684931506849,9,0.806627
ETHUSDT,LIVE,2023,1095,0.9726027397260274,3,7.655220000000002
ETHUSDT,LIVE,2024,1098,0.994535519125683,2,12.57115448087432
ETHUSDT,LIVE,2025,1095,0.989041095890411,4,4.098557
ETHUSDT,LIVE,2026,783,0.6704980842911877,5,0.7333689080459771
BTCUSDT,CUM30D,2020,1098,0.9699453551912568,4,16.44601143442623
BTCUSDT,CUM30D,2021,1095,1.0,0,30.608423000000002
BTCUSDT,CUM30D,2022,1095,1.0,0,4.164925
BTCUSDT,CUM30D,2023,1095,1.0,0,7.865712000000001
BTCUSDT,CUM30D,2024,1098,1.0,0,11.924213920765029
BTCUSDT,CUM30D,2025,1095,1.0,0,5.126428
BTCUSDT,CUM30D,2026,783,1.0,0,2.7197142911877394
BTCUSDT,ALWAYS_ON,2020,1098,1.0,0,17.192615942622947
BTCUSDT,ALWAYS_ON,2021,1095,1.0,0,30.608423000000002
BTCUSDT,ALWAYS_ON,2022,1095,1.0,0,4.164925
BTCUSDT,ALWAYS_ON,2023,1095,1.0,0,7.865712000000001
BTCUSDT,ALWAYS_ON,2024,1098,1.0,0,11.924213920765029
BTCUSDT,ALWAYS_ON,2025,1095,1.0,0,5.126428
BTCUSDT,ALWAYS_ON,2026,783,1.0,0,2.7197142911877394
BTCUSDT,LIVE,2020,1098,0.8661202185792349,6,16.324720737704915
BTCUSDT,LIVE,2021,1095,0.9397260273972603,3,30.080262999999995
BTCUSDT,LIVE,2022,1095,0.8876712328767123,8,2.487841
BTCUSDT,LIVE,2023,1095,0.9835616438356164,3,7.237679
BTCUSDT,LIVE,2024,1098,0.9453551912568307,2,11.533537267759563
BTCUSDT,LIVE,2025,1095,0.9424657534246575,3,4.512276
BTCUSDT,LIVE,2026,783,0.7432950191570882,5,1.696608103448276
