rule,year,n,share_held,round_trips,net_ann_pct
LIVE,2020,1098,0.8661202185792349,6,16.324720737704915
LIVE,2021,1095,0.9397260273972603,3,30.080262999999995
LIVE,2022,1095,0.8876712328767123,8,2.487841
LIVE,2023,1095,0.9835616438356164,3,7.237679
LIVE,2024,1098,0.9453551912568307,2,11.533537267759563
LIVE,2025,1095,0.9424657534246575,3,4.512276
LIVE,2026,762,0.7362204724409449,5,1.5610245275590553
ALWAYS_ON,2020,1098,1.0,0,17.192615942622947
ALWAYS_ON,2021,1095,1.0,0,30.608423000000002
ALWAYS_ON,2022,1095,1.0,0,4.164925
ALWAYS_ON,2023,1095,1.0,0,7.865712000000001
ALWAYS_ON,2024,1098,1.0,0,11.924213920765029
ALWAYS_ON,2025,1095,1.0,0,5.126428
ALWAYS_ON,2026,762,1.0,0,2.61232655511811
SYMMETRIC_7D,2020,1098,0.855191256830601,6,16.76092964480874
SYMMETRIC_7D,2021,1095,0.9205479452054794,3,30.180806
SYMMETRIC_7D,2022,1095,0.8849315068493151,9,2.2850390000000003
SYMMETRIC_7D,2023,1095,0.9835616438356164,3,7.229976000000001
SYMMETRIC_7D,2024,1098,0.9453551912568307,2,11.533537267759563
SYMMETRIC_7D,2025,1095,0.947945205479452,2,4.7058469999999994
SYMMETRIC_7D,2026,762,0.6968503937007874,6,1.3306146850393703
LIVE_MINHOLD21,2020,1098,0.9098360655737705,4,16.625020000000003
LIVE_MINHOLD21,2021,1095,0.9506849315068493,3,29.965288
LIVE_MINHOLD21,2022,1095,0.9205479452054794,6,2.876297
LIVE_MINHOLD21,2023,1095,0.9835616438356164,3,7.237679
LIVE_MINHOLD21,2024,1098,0.9699453551912568,1,11.728242827868852
LIVE_MINHOLD21,2025,1095,0.9643835616438357,2,4.718197
LIVE_MINHOLD21,2026,762,0.8149606299212598,4,1.710027874015748
CUM30D,2020,1098,0.9699453551912568,4,16.44601143442623
CUM30D,2021,1095,1.0,0,30.608423000000002
CUM30D,2022,1095,1.0,0,4.164925
CUM30D,2023,1095,1.0,0,7.865712000000001
CUM30D,2024,1098,1.0,0,11.924213920765029
CUM30D,2025,1095,1.0,0,5.126428
CUM30D,2026,762,1.0,0,2.61232655511811
