fire_ts,fire_dt,entry_ts,entry_dt,exit_ts,exit_dt,date,year,z,premium_bp,entry_px,exit_px,sl_px,atr,risk_frac,gross_ret,net_ret,R,reason,bars_held,hours_held
1580252400,2020-01-28 23:00,1580252400,2020-01-28 23:00,1580342400,2020-01-30 00:00,2020-01-28,2020,3.964393710478686,19.92712366203728,175.64,172.03108844966545,172.03108844966545,1.8044557751672745,0.020547207642533302,-0.02054720764253325,-0.02234720764253325,-1.0876031444912202,SL,25,25
1580540400,2020-02-01 07:00,1580540400,2020-02-01 07:00,1580616000,2020-02-02 04:00,2020-02-01,2020,2.1721602384257426,1.638180527494192,183.13,179.3697681392115,179.3697681392115,1.880115930394251,0.020533128710689137,-0.020533128710689172,-0.02233312871068917,-1.0876632112602982,SL,21,21
1580918400,2020-02-05 16:00,1580918400,2020-02-05 16:00,1581091200,2020-02-07 16:00,2020-02-05,2020,2.071768863728401,2.000600180053618,199.94,221.74,195.94405095814986,1.9979745209250677,0.019985740931530136,0.10903270981294394,0.10723270981294394,5.365460814303374,TIME,48,48
1581130800,2020-02-08 03:00,1581130800,2020-02-08 03:00,1581307200,2020-02-10 04:00,2020-02-08,2020,2.0867884037141664,5.521811154058741,217.32,224.43,211.07302925887456,3.123485370562722,0.028745493931186472,0.03271673108779686,0.03091673108779686,1.0755331309250795,TIME,48,49
1581318000,2020-02-10 07:00,1581318000,2020-02-10 07:00,1581325200,2020-02-10 09:00,2020-02-10,2020,2.1763411601826004,15.203004829189924,223.64,218.45287850003797,218.45287850003797,2.593560749981014,0.02319406859221082,-0.02319406859221078,-0.024994068592210778,-1.0776060479791996,SL,2,2
1581490800,2020-02-12 07:00,1581490800,2020-02-12 07:00,1581663600,2020-02-14 07:00,2020-02-12,2020,2.9399070822614726,42.24740395625195,253.27,262.86,246.03564028859716,3.6171798557014156,0.028563824027333796,0.03786472934022981,0.036064729340229806,1.2626015797365966,TIME,48,48
1581706800,2020-02-14 19:00,1581706800,2020-02-14 19:00,1581778800,2020-02-15 15:00,2020-02-14,2020,2.0013838168994837,33.27433628318576,282.5,273.52636209332627,273.52636209332627,4.486818953336865,0.03176508993512825,-0.03176508993512825,-0.03356508993512825,-1.0566659815437647,SL,20,20
1582038000,2020-02-18 15:00,1582038000,2020-02-18 15:00,1582146000,2020-02-19 21:00,2020-02-18,2020,2.0564323203360875,39.099612658042574,273.66,263.26295655225607,263.26295655225607,5.198521723871989,0.03799255809304969,-0.0379925580930496,-0.0397925580930496,-1.0473776994850263,SL,24,30
1583596800,2020-03-07 16:00,1583596800,2020-03-07 16:00,1583600400,2020-03-07 17:00,2020-03-07,2020,2.1812344621614437,37.12618824201365,245.11,239.4197897984289,239.4197897984289,2.8451051007855597,0.023214924734083143,-0.023214924734083143,-0.025014924734083142,-1.0775363271954665,SL,1,1
1583956800,2020-03-11 20:00,1583956800,2020-03-11 20:00,1583974800,2020-03-12 01:00,2020-03-11,2020,2.110176416595887,29.564315352696738,192.8,185.18256596986333,185.18256596986333,3.8087170150683436,0.039509512604443395,-0.03950951260444335,-0.041309512604443356,-1.045558648572079,SL,5,5
1584129600,2020-03-13 20:00,1584129600,2020-03-13 20:00,1584302400,2020-03-15 20:00,2020-03-13,2020,2.591702389447715,156.8411097099629,126.88,120.48,105.28010364915407,10.79994817542296,0.1702387795621526,-0.05044136191677169,-0.05224136191677169,-0.3068711021726918,TIME,48,48
1586710800,2020-04-12 17:00,1586710800,2020-04-12 17:00,1586732400,2020-04-12 23:00,2020-04-12,2020,3.2130607520591608,44.810017801239326,162.91,159.43602050910022,159.43602050910022,1.7369897454498884,0.021324531894296096,-0.02132453189429611,-0.02312453189429611,-1.0844098247465623,SL,6,6
1588154400,2020-04-29 10:00,1588154400,2020-04-29 10:00,1588240800,2020-04-30 10:00,2020-04-29,2020,2.2460821164713334,26.954177897574233,207.76,203.75462384394376,203.75462384394376,2.0026880780281187,0.019278860974471686,-0.019278860974471648,-0.021078860974471647,-1.0933665117655784,SL,24,24
1588597200,2020-05-04 13:00,1588597200,2020-05-04 13:00,1588770000,2020-05-06 13:00,2020-05-04,2020,2.104774465169122,25.29182879377482,205.6,207.77,199.22106290727385,3.1894685463630723,0.031025958622208874,0.010554474708171283,0.008754474708171284,0.2821661311023825,TIME,48,48
1589068800,2020-05-10 00:00,1589068800,2020-05-10 00:00,1589079600,2020-05-10 03:00,2020-05-10,2020,2.880030658371285,29.62885954880929,192.38,184.32236483610123,184.32236483610123,4.028817581949377,0.041883954485387016,-0.04188395448538708,-0.04368395448538708,-1.0429758847299881,SL,3,3
1589371200,2020-05-13 12:00,1589371200,2020-05-13 12:00,1589544000,2020-05-15 12:00,2020-05-13,2020,3.484254247475447,32.48092390183519,193.96,199.5,190.43670959945078,1.7616452002746175,0.01816503609274714,0.028562590224788575,0.026762590224788576,1.47330234237598,TIME,48,48
1590624000,2020-05-28 00:00,1590624000,2020-05-28 00:00,1590638400,2020-05-28 04:00,2020-05-28,2020,3.036219102450306,18.214936247722914,208.62,205.7741721045509,205.7741721045509,1.422913947724549,0.013641203601999318,-0.013641203601999352,-0.015441203601999352,-1.1319531657555655,SL,4,4
1591048800,2020-06-01 22:00,1591048800,2020-06-01 22:00,1591106400,2020-06-02 14:00,2020-06-01,2020,2.529333621775916,13.43812354929399,245.57,239.77946863121747,239.77946863121747,2.895265684391263,0.023579962409017902,-0.023579962409017895,-0.025379962409017895,-1.0763359995566237,SL,16,16
1591563600,2020-06-07 21:00,1591563600,2020-06-07 21:00,1591736400,2020-06-09 21:00,2020-06-07,2020,2.1063525913040153,9.505310575690778,241.97,244.37,237.72799409025941,2.1210029548702862,0.017531123320000713,0.009918584948547363,0.008118584948547364,0.4630955358853202,TIME,48,48
1591736400,2020-06-09 21:00,1591736400,2020-06-09 21:00,1591880400,2020-06-11 13:00,2020-06-09,2020,2.7268798076376815,14.731759217579295,244.37,241.38936636161839,241.38936636161839,1.4903168191908074,0.012197215854571408,-0.012197215854571423,-0.013997215854571423,-1.1475746614195887,SL,40,40
1593576000,2020-07-01 04:00,1593576000,2020-07-01 04:00,1593705600,2020-07-02 16:00,2020-07-01,2020,2.2135914720504934,4.432231185178367,225.62,222.93734679928127,222.93734679928127,1.341326600359364,0.011890139175244783,-0.011890139175244802,-0.013690139175244802,-1.151385948765647,SL,36,36
1593817200,2020-07-03 23:00,1593817200,2020-07-03 23:00,1593990000,2020-07-05 23:00,2020-07-03,2020,2.1243068974547463,8.449326277404621,224.87,227.56,222.44382655721765,1.21308672139118,0.010789226854548672,0.011962467203272991,0.010162467203272992,0.9419087521538726,TIME,48,48
1594170000,2020-07-08 01:00,1594170000,2020-07-08 01:00,1594342800,2020-07-10 01:00,2020-07-08,2020,2.4832132662112265,14.159586873230193,240.12,240.91,236.58763209385353,1.766183953073241,0.01471084418685025,0.0032900216558387142,0.0014900216558387143,0.10128729778612006,TIME,48,48
1595106000,2020-07-18 21:00,1595106000,2020-07-18 21:00,1595134800,2020-07-19 05:00,2020-07-18,2020,2.079997090621286,10.597261667585096,235.91,234.1192828171228,234.1192828171228,0.8953585914386009,0.0075906794238362165,-0.0075906794238361575,-0.009390679423836158,-1.237132923088227,SL,8,8
1595329200,2020-07-21 11:00,1595329200,2020-07-21 11:00,1595502000,2020-07-23 11:00,2020-07-21,2020,2.26375136085363,11.934156378600495,243.0,264.25,240.39284173216933,1.3035791339153353,0.01072904636967354,0.0874485596707819,0.0856485596707819,7.982867882170219,TIME,48,48
1595520000,2020-07-23 16:00,1595520000,2020-07-23 16:00,1595534400,2020-07-23 20:00,2020-07-23,2020,10.06328694638678,71.13239919931402,279.76,272.75239613813324,272.75239613813324,3.503801930933364,0.02504862690115359,-0.025048626901153687,-0.026848626901153687,-1.0718602263949726,SL,4,4
1595696400,2020-07-25 17:00,1595696400,2020-07-25 17:00,1595869200,2020-07-27 17:00,2020-07-25,2020,4.636922836140201,45.50510668419341,296.67,323.71,289.3332803192993,3.668359840350349,0.02473023790980112,0.09114504331411993,0.08934504331411994,3.6127854345756454,TIME,48,48
1595869200,2020-07-27 17:00,1595869200,2020-07-27 17:00,1595926800,2020-07-28 09:00,2020-07-27,2020,2.142968962551542,26.25807049519702,323.71,312.3862616755054,312.3862616755054,5.6618691622472905,0.03498111990514529,-0.034981119905145255,-0.03678111990514526,-1.051456328581842,SL,16,16
1596304800,2020-08-01 18:00,1596304800,2020-08-01 18:00,1596340800,2020-08-02 04:00,2020-08-01,2020,2.460899903693224,29.633620689655785,371.2,361.1238600975354,361.1238600975354,5.038069951232315,0.027144773444139632,-0.02714477344413956,-0.02894477344413956,-1.066311107871432,SL,10,10
1596870000,2020-08-08 07:00,1596870000,2020-08-08 07:00,1597042800,2020-08-10 07:00,2020-08-08,2020,6.157478231214618,53.16209174408458,379.97,395.02,371.37667113241406,4.296664433792997,0.022615808794341642,0.03960839013606325,0.03780839013606325,1.6717682077999665,TIME,48,48
1597348800,2020-08-13 20:00,1597348800,2020-08-13 20:00,1597521600,2020-08-15 20:00,2020-08-13,2020,2.1324661998363066,23.42148921635551,409.88,432.09,397.75538068218464,6.062309658907674,0.0295809000629827,0.054186591197423584,0.05238659119742358,1.7709600142620319,TIME,48,48
1597680000,2020-08-17 16:00,1597680000,2020-08-17 16:00,1597723200,2020-08-18 04:00,2020-08-17,2020,2.1573905559919426,22.321936997472115,439.03,427.1867408509675,427.1867408509675,5.921629574516218,0.02697596781320738,-0.026975967813207442,-0.028775967813207442,-1.066726058262821,SL,12,12
1598666400,2020-08-29 02:00,1598666400,2020-08-29 02:00,1598839200,2020-08-31 02:00,2020-08-29,2020,2.1922232140895463,14.768415960073945,392.73,425.39,385.8526733627011,3.4386633186494486,0.017511589736711984,0.08316145952690135,0.08136145952690135,4.646149250306612,TIME,48,48
1598950800,2020-09-01 09:00,1598950800,2020-09-01 09:00,1599044400,2020-09-02 11:00,2020-09-01,2020,2.9418183106519957,15.52101715816593,470.33,456.86443277112073,456.86443277112073,6.7327836144396125,0.028630041096420016,-0.028630041096420072,-0.03043004109642007,-1.0628710239687758,SL,26,26
1599127200,2020-09-03 10:00,1599127200,2020-09-03 10:00,1599134400,2020-09-03 12:00,2020-09-03,2020,3.5543962496420187,21.427898653102766,424.68,407.10399655720227,407.10399655720227,8.788001721398874,0.04138646379108446,-0.041386463791084446,-0.04318646379108445,-1.0434924812394275,SL,2,2
1601067600,2020-09-25 21:00,1601067600,2020-09-25 21:00,1601114400,2020-09-26 10:00,2020-09-25,2020,2.043944651982991,9.522475843718667,357.05,348.68125991712935,348.68125991712935,4.184370041435316,0.023438566259265176,-0.023438566259265253,-0.025238566259265252,-1.0767965062405873,SL,13,13
1601694000,2020-10-03 03:00,1601694000,2020-10-03 03:00,1601866800,2020-10-05 03:00,2020-10-03,2020,2.210081344213843,10.055737516520795,348.06,352.01,341.3387780768985,3.3606109615507562,0.019310526699711294,0.011348618054358411,0.009548618054358412,0.4944773492118768,TIME,48,48
