year,asset,n,mean_R,total_R,win_rate,mean_net_ret_pct
2020,BTC,49,0.5991243292245579,29.35709213200334,0.4489795918367347,0.6707180571938125
2021,BTC,47,-0.09597977946568573,-4.511049634887229,0.3191489361702128,0.08424230086372973
2022,BTC,50,0.1597216411599346,7.98608205799673,0.42,0.06383667919242067
2023,BTC,47,0.5594449890675846,26.293914486176476,0.3404255319148936,0.6746098535971575
2024,BTC,41,0.22798260148009905,9.34728666068406,0.3902439024390244,0.1226256057391214
2025,BTC,43,-0.26732154960332394,-11.49482663294293,0.27906976744186046,-0.2769412775888183
2026,BTC,25,-0.4082355733100749,-10.205889332751871,0.32,-0.44062117337954193
2020,ETH,51,0.2575669466766841,13.13591428051089,0.37254901960784315,0.15255578427185418
2021,ETH,51,0.21808439870851368,11.122304334134197,0.43137254901960786,1.5036159510040885
2022,ETH,56,0.34866216012597145,19.5250809670544,0.44642857142857145,0.7370974783328726
2023,ETH,40,0.7442782009543111,29.771128038172442,0.4,0.7924926367911861
2024,ETH,39,-0.05690405830018985,-2.2192582737074042,0.38461538461538464,0.08173166217258071
2025,ETH,45,-0.12191133807142523,-5.4860102132141355,0.3333333333333333,-0.3393569912018595
2026,ETH,30,0.07948979455887258,2.384693836766177,0.36666666666666664,0.1668504687573746
