bucket,asset,era,n,mean_fwd48_bp,excess_vs_uncond_bp,win_rate
<-2,BTC,all,2652,-30.489171107835148,-58.12455097977655,0.505656108597285
-2..-1,BTC,all,8260,-18.696522658092086,-46.33190253003349,0.4872881355932203
-1..0,BTC,all,18429,14.913406975298342,-12.721972896643061,0.5256389386293342
0..1,BTC,all,18403,48.183069968371235,20.547690096429832,0.5436070205944683
1..2,BTC,all,8486,53.59791184643374,25.962531974492336,0.5371199622908319
>=2,BTC,all,1995,114.27391392133423,86.63853404939283,0.5604010025062657
<-2,BTC,pre_etf,1317,-52.19851562266235,-86.93491987617173,0.489749430523918
-2..-1,BTC,pre_etf,4295,-3.3152587010126315,-38.05166295452202,0.5215366705471478
-1..0,BTC,pre_etf,12154,25.70073372832564,-9.03567052518375,0.5346388020404805
0..1,BTC,pre_etf,11473,49.523102360984616,14.786698107475225,0.5393532641854789
1..2,BTC,pre_etf,4588,49.47814128162663,14.741737028117235,0.5106800348735833
>=2,BTC,pre_etf,1135,167.3019060663802,132.56550181287082,0.5770925110132159
<-2,BTC,post_etf,1335,-9.072536856129213,-26.035775799197296,0.5213483146067416
-2..-1,BTC,post_etf,3965,-35.35794225346566,-52.32118119653374,0.4501891551071879
-1..0,BTC,post_etf,6275,-5.980484555585136,-22.94372349865322,0.508207171314741
0..1,BTC,post_etf,6930,45.96457189615576,29.001332953087676,0.5506493506493506
1..2,BTC,post_etf,3898,58.44693887345657,41.48369993038848,0.5682401231400719
>=2,BTC,post_etf,860,44.28929638107009,27.326057438002003,0.5383720930232558
<-2,ETH,all,2715,-16.06054415840618,-55.19327160138533,0.512707182320442
-2..-1,ETH,all,8509,-30.887425704211793,-70.02015314719094,0.49042190621694676
-1..0,ETH,all,17918,22.386584176050736,-16.74614326692841,0.5231052572831789
0..1,ETH,all,18422,67.94814161592596,28.815414172946817,0.5391922701118228
1..2,ETH,all,8581,73.97113522458959,34.83840778161044,0.5342034727887193
>=2,ETH,all,2042,144.8735078132078,105.74078037022865,0.5763956904995103
<-2,ETH,pre_etf,1583,10.471811361541105,-44.957439950231375,0.5464308275426406
-2..-1,ETH,pre_etf,5254,-17.54418916222211,-72.9734404739946,0.4986676817662733
-1..0,ETH,pre_etf,13031,30.776521725220615,-24.652729586551867,0.5217558130611618
0..1,ETH,pre_etf,12877,83.85128603946897,28.42203472769649,0.5428282985167353
1..2,ETH,pre_etf,5520,98.2940152426573,42.86476393088481,0.5483695652173913
>=2,ETH,pre_etf,1316,187.05217292796502,131.62292161619254,0.5881458966565349
<-2,ETH,post_etf,1132,-53.16365262843847,-57.62838527131502,0.465547703180212
-2..-1,ETH,post_etf,3255,-52.425172183970254,-56.8899048268468,0.4771121351766513
-1..0,ETH,post_etf,4887,0.015134165158021762,-4.449598477718527,0.5267034990791897
0..1,ETH,post_etf,5545,31.016709561469078,26.55197691859253,0.5307484220018034
1..2,ETH,post_etf,3061,30.108901412197,25.64416876932045,0.508657301535446
>=2,ETH,post_etf,726,68.4174151258517,63.952682482975156,0.5550964187327824
