bucket,asset,n,mean_fwd48_bp,win_rate
<-3,BTC,516,-28.862232303625454,0.5116279069767442
-3..-2,BTC,2136,-30.88219565042513,0.5042134831460674
-2..-1,BTC,8260,-18.696522658092086,0.4872881355932203
-1..0,BTC,18429,14.913406975298342,0.5256389386293342
0..1,BTC,18403,48.183069968371235,0.5436070205944683
1..2,BTC,8486,53.59791184643374,0.5371199622908319
2..3,BTC,1590,76.30062701072384,0.5484276729559748
>=3,BTC,405,263.3542254963232,0.6074074074074074
<-3,ETH,512,-15.104221491160207,0.505859375
-3..-2,ETH,2203,-16.28280344375795,0.5142986836132547
-2..-1,ETH,8509,-30.887425704211793,0.49042190621694676
-1..0,ETH,17918,22.386584176050736,0.5231052572831789
0..1,ETH,18422,67.94814161592596,0.5391922701118228
1..2,ETH,8581,73.97113522458959,0.5342034727887193
2..3,ETH,1663,114.64600935233042,0.5646422128683103
>=3,ETH,379,277.50762375104176,0.6279683377308707
