asset,decile,n,z_lo,z_hi,mean_fwd48_bp,median_fwd48_bp,pct_positive
BTC,1,5823,-30.434846725258016,-1.4831025846250805,-28.920318919579987,-5.760658533882079,49.09840288511077
BTC,2,5823,-1.4830368380182624,-0.9490626191128231,-13.252868284266727,-4.800472853582205,49.287308947278035
BTC,3,5822,-0.949055205197242,-0.5899679442288335,-5.975288788360209,8.9471495322746,51.21951219512195
BTC,4,5823,-0.5898639622619435,-0.2908389258090678,20.00497653839069,14.697860548960051,51.8976472608621
BTC,5,5822,-0.2907873047419807,-0.010265901845427403,31.639518114380305,31.44355755605566,54.72346272758502
BTC,6,5823,-0.010105225800462941,0.27004216890489585,43.16213012360964,26.406605552304896,54.216039842005834
BTC,7,5822,0.2704025851663783,0.5721581141944981,44.75421617514313,25.752396465801297,54.22535211267606
BTC,8,5823,0.5722256610673637,0.9211327702120599,51.99086049909301,31.582733812949293,54.88579769878069
BTC,9,5822,0.9211547867526222,1.3969382013269844,59.357661594816584,20.98835485668471,53.64136035726554
BTC,10,5823,1.3969844449136546,33.80901575488265,73.56474471532606,30.90883828024804,54.62819852309806
ETH,1,5820,-32.53929530172067,-1.4882155345530375,-25.555560977342033,-0.5704496198044584,49.896907216494846
ETH,2,5819,-1.4880711758396146,-0.960732290951747,-37.08767797828099,-12.248976565775171,48.59941570716618
ETH,3,5820,-0.9607095619652906,-0.5951864759008183,5.3211089157099165,12.215824808370357,51.5979381443299
ETH,4,5819,-0.5951303407806183,-0.2865508849938079,19.344833677751435,15.783481680811118,52.10517271008764
ETH,5,5820,-0.28651442842496394,-0.0024359828067330933,53.85013222926628,37.01753392893692,54.22680412371134
ETH,6,5819,-0.002423099516208313,0.27460634857527944,67.22187997234289,33.461292386436355,53.56590479463825
ETH,7,5819,0.2746189658772793,0.5825149605592626,71.35644901361826,41.405237889602375,53.85805121154837
ETH,8,5820,0.5825558412662518,0.9242217216852467,62.80580093773517,37.18350100211598,53.88316151202749
ETH,9,5819,0.9242580726936489,1.3922554524912705,88.73334619163516,45.8200688221111,55.33596837944664
ETH,10,5820,1.3925900863369904,49.90247123333076,85.32086480400328,28.667637814662193,53.470790378006875
