decile,asset,n,z_lo,z_hi,z_mid,mean_fwd48_bp,median_fwd48_bp,win_rate,mean_R_equiv
0,BTC,5823,-30.434846725258016,-1.4831025846250805,-1.9413107925051045,-28.92031891957999,-5.760658533881789,0.4909840288511077,-0.26492552781077683
1,BTC,5822,-1.4830368380182624,-0.9490713591210251,-1.1808908216105443,-13.316715970337027,-4.870666237065365,0.4927859841978702,-0.27280263316131254
2,BTC,5823,-0.9490626191128231,-0.5899679442288335,-0.7595758994378963,-5.912701866016857,9.149573998106337,0.5122788940408725,-0.2228887002370523
3,BTC,5822,-0.5898639622619435,-0.2908672497136154,-0.4333743492297912,20.0173484254506,14.703349629071301,0.5190656131913431,-0.01277305142659897
4,BTC,5823,-0.2908389258090678,-0.010265901845427403,-0.14736936520900465,31.625150319766057,31.437028778845445,0.5471406491499228,0.049210296956574265
5,BTC,5822,-0.010105225800462941,0.269965099115469,0.1265021357496621,43.16796653172547,26.483555032490845,0.5420817588457575,0.11359876331905848
6,BTC,5822,0.27004216890489585,0.5721581141944981,0.4182259104286214,44.7825222425901,25.75239646580061,0.5424252834077636,0.11771313116465466
7,BTC,5823,0.5722256610673637,0.9211327702120599,0.7383406722132777,51.990860499093,31.58273381294994,0.5488579769878069,0.231861339036354
8,BTC,5822,0.9211547867526222,1.3969382013269844,1.1349804761649913,59.357661594816584,20.988354856684975,0.5364136035726554,0.3343066935925346
9,BTC,5823,1.3969844449136546,33.80901575488265,1.7943220967485525,73.56474471532606,30.90883828024729,0.5462819852309806,0.3187906450272672
0,ETH,5819,-32.53929530172067,-1.4954687467168284,-1.9598741592484266,-19.852827891373327,2.4521022690109753,0.5035229420862691,-0.17295340940644086
1,ETH,5819,-1.4954048317626076,-0.9686297093188256,-1.195108152551965,-35.74167998519105,-10.681622900458189,0.4880563670733803,-0.35083440399941884
2,ETH,5818,-0.9686141193962229,-0.5989170354954736,-0.7704292084442201,-1.8883811963410864,8.288824004482011,0.5097971811619113,-0.2331304398527597
3,ETH,5819,-0.5988294752258496,-0.28852767097721216,-0.43744190822768236,18.509230737537983,15.1159576282647,0.5198487712665406,-0.03241849365306731
4,ETH,5819,-0.28845674609623195,-0.0021921485122086233,-0.14231699672297726,55.62276713320512,37.74255139647415,0.5425330812854442,0.16469556257648071
5,ETH,5818,-0.0021840488884859195,0.27554168024315784,0.13424411331400055,65.37116660011083,32.170628296624294,0.5347198349948435,0.1890351508498081
6,ETH,5819,0.27556236760855246,0.5845435306918432,0.4217859124564959,70.21999612961213,42.4314189855925,0.5397834679498196,0.2422393809379366
7,ETH,5818,0.584566041341178,0.9267653272902557,0.7485363070946409,63.7633293563777,36.704454280080434,0.5383293227913373,0.21065320408446214
8,ETH,5819,0.9268145568511028,1.3954367548030924,1.1374577478387011,84.41731206716199,44.65053691506188,0.5514693246262244,0.3519889184134178
9,ETH,5819,1.395453932880973,49.90247123333076,1.798456389592364,90.90805385408753,29.884607862311253,0.5363464512802887,0.3189170386322322
