timestamp,utc,rate_bp_binance,rate_bp_okx,rate_bp_bybit,spread_bp,argmin,argmax
1780905600,2026-06-08 08:00,0.3454,0.4246,0.2491,0.1755,bybit,okx
1780934400,2026-06-08 16:00,0.0122,-0.7555,0.3697,1.1252,okx,bybit
1780963200,2026-06-09 00:00,-0.1565,-0.1252,0.1644,0.3209,binance,bybit
1780992000,2026-06-09 08:00,0.3041,-0.0770,0.3712,0.4482,okx,bybit
1781020800,2026-06-09 16:00,0.0606,0.3635,0.1714,0.3029,binance,okx
1781049600,2026-06-10 00:00,0.0365,0.4761,0.4476,0.4396,binance,okx
1781078400,2026-06-10 08:00,-0.3385,-0.1593,-0.4518,0.2925,bybit,okx
1781107200,2026-06-10 16:00,0.2542,-0.0878,0.3639,0.4517,okx,bybit
1781136000,2026-06-11 00:00,-0.0811,-0.4346,-0.0813,0.3535,okx,binance
1781164800,2026-06-11 08:00,0.2525,-0.6032,0.9561,1.5593,okx,bybit
1781193600,2026-06-11 16:00,0.2736,-0.2396,0.6345,0.8741,okx,bybit
1781222400,2026-06-12 00:00,-0.1303,-0.0495,0.8605,0.9908,binance,bybit
1781251200,2026-06-12 08:00,0.2446,0.1338,0.2498,0.1160,okx,bybit
1781280000,2026-06-12 16:00,0.0840,-0.2236,0.5088,0.7324,okx,bybit
1781308800,2026-06-13 00:00,0.5357,0.0911,0.2880,0.4446,okx,binance
1781337600,2026-06-13 08:00,0.0060,0.0869,0.1355,0.1295,binance,bybit
1781366400,2026-06-13 16:00,0.0938,-0.6396,0.1254,0.7650,okx,bybit
1781395200,2026-06-14 00:00,-0.4510,-0.3129,0.0480,0.4990,binance,bybit
1781424000,2026-06-14 08:00,-0.4657,-0.3390,0.0632,0.5289,binance,bybit
1781452800,2026-06-14 16:00,-0.3265,-0.7591,0.1454,0.9045,okx,bybit
1781481600,2026-06-15 00:00,0.2808,-0.5835,0.2186,0.8643,okx,binance
1781510400,2026-06-15 08:00,0.0621,-0.6892,0.1124,0.8016,okx,bybit
1781539200,2026-06-15 16:00,-0.6079,-0.7390,-0.1115,0.6275,okx,bybit
1781568000,2026-06-16 00:00,-0.0428,-0.1310,0.2767,0.4077,okx,bybit
1781596800,2026-06-16 08:00,-0.1110,-0.5923,-0.4695,0.4813,okx,binance
1781625600,2026-06-16 16:00,0.0246,-0.1086,0.4902,0.5988,okx,bybit
1781654400,2026-06-17 00:00,0.1957,0.3599,0.5459,0.3502,binance,bybit
1781683200,2026-06-17 08:00,-0.6685,-0.2490,0.1567,0.8252,binance,bybit
1781712000,2026-06-17 16:00,-0.2582,-0.3424,0.0360,0.3784,okx,bybit
1781740800,2026-06-18 00:00,0.2636,0.0500,-0.0327,0.2963,bybit,binance
1781769600,2026-06-18 08:00,0.1896,0.2712,-0.1297,0.4009,bybit,okx
1781798400,2026-06-18 16:00,0.0872,0.3565,-0.2986,0.6551,bybit,okx
1781827200,2026-06-19 00:00,0.6039,0.0134,-0.4690,1.0729,bybit,binance
1781856000,2026-06-19 08:00,0.1984,0.3245,-0.3489,0.6734,bybit,okx
1781884800,2026-06-19 16:00,0.2823,-0.0499,-0.5782,0.8605,bybit,binance
1781913600,2026-06-20 00:00,0.5814,0.2059,0.1592,0.4222,bybit,binance
1781942400,2026-06-20 08:00,0.2633,-0.1883,0.0203,0.4516,okx,binance
1781971200,2026-06-20 16:00,0.3985,0.0208,0.4672,0.4464,okx,bybit
1782000000,2026-06-21 00:00,0.0778,-0.0883,0.1095,0.1978,okx,bybit
1782028800,2026-06-21 08:00,0.3034,-0.1492,-0.0258,0.4526,okx,binance
1782057600,2026-06-21 16:00,0.4189,-0.1192,-0.3646,0.7835,bybit,binance
1782086400,2026-06-22 00:00,0.6572,-0.2885,-0.1456,0.9457,okx,binance
1782115200,2026-06-22 08:00,0.1514,0.2875,0.1727,0.1361,binance,okx
1782144000,2026-06-22 16:00,0.4813,0.4146,0.4573,0.0667,okx,binance
1782172800,2026-06-23 00:00,0.4041,0.4866,0.0279,0.4587,bybit,okx
1782201600,2026-06-23 08:00,0.1655,0.1063,0.1158,0.0592,okx,binance
1782230400,2026-06-23 16:00,-0.1889,0.2752,-0.2607,0.5359,bybit,okx
1782259200,2026-06-24 00:00,0.2154,0.2599,-0.1764,0.4363,bybit,okx
1782288000,2026-06-24 08:00,0.2134,0.8328,0.3367,0.6194,binance,okx
1782316800,2026-06-24 16:00,0.0027,0.4325,-0.5744,1.0069,bybit,okx
1782345600,2026-06-25 00:00,-0.1423,-0.4593,-0.3746,0.3170,okx,binance
1782374400,2026-06-25 08:00,-0.1803,-0.7799,-0.1995,0.5996,okx,binance
1782403200,2026-06-25 16:00,0.1580,-0.3443,-0.7541,0.9121,bybit,binance
1782432000,2026-06-26 00:00,0.5298,0.0134,0.2172,0.5164,okx,binance
1782460800,2026-06-26 08:00,0.5904,0.0966,-0.1395,0.7299,bybit,binance
1782489600,2026-06-26 16:00,0.7308,0.8207,0.3099,0.5108,bybit,okx
1782518400,2026-06-27 00:00,0.5255,0.4063,0.2108,0.3147,bybit,binance
1782547200,2026-06-27 08:00,0.4284,0.5055,0.0701,0.4354,bybit,okx
1782576000,2026-06-27 16:00,0.3742,0.3227,-0.0889,0.4631,bybit,binance
1782604800,2026-06-28 00:00,0.4258,0.4023,-0.3417,0.7675,bybit,binance
1782633600,2026-06-28 08:00,0.1355,0.3200,-0.1071,0.4271,bybit,okx
1782662400,2026-06-28 16:00,0.4430,0.3954,0.2349,0.2081,bybit,binance
1782691200,2026-06-29 00:00,0.3112,0.0466,0.1585,0.2646,okx,binance
1782720000,2026-06-29 08:00,0.7444,0.5036,0.1680,0.5764,bybit,binance
1782748800,2026-06-29 16:00,0.8658,0.7180,0.7079,0.1579,bybit,binance
1782777600,2026-06-30 00:00,0.6175,0.8458,1.0000,0.3825,binance,bybit
1782806400,2026-06-30 08:00,0.8349,0.5219,-0.1072,0.9421,bybit,binance
1782835200,2026-06-30 16:00,0.3327,0.6412,0.3036,0.3376,bybit,okx
1782864000,2026-07-01 00:00,0.5532,0.4771,0.4036,0.1496,bybit,binance
1782892800,2026-07-01 08:00,0.1853,0.1304,0.9078,0.7774,okx,bybit
1782921600,2026-07-01 16:00,0.7073,0.3770,0.8186,0.4416,okx,bybit
1782950400,2026-07-02 00:00,0.8001,0.9034,0.8594,0.1033,binance,okx
1782979200,2026-07-02 08:00,0.5238,1.0000,1.0000,0.4762,binance,okx
1783008000,2026-07-02 16:00,0.5261,0.3115,0.5972,0.2857,okx,bybit
1783036800,2026-07-03 00:00,1.0000,1.0000,0.5107,0.4893,bybit,binance
1783065600,2026-07-03 08:00,1.0000,1.0000,0.7429,0.2571,bybit,binance
1783094400,2026-07-03 16:00,0.3740,0.5383,0.2602,0.2781,bybit,okx
1783123200,2026-07-04 00:00,1.0000,0.4078,0.3466,0.6534,bybit,binance
1783152000,2026-07-04 08:00,1.0000,0.6090,0.7537,0.3910,okx,binance
1783180800,2026-07-04 16:00,0.9480,0.6444,0.5205,0.4275,bybit,binance
1783209600,2026-07-05 00:00,0.9533,1.0000,0.3282,0.6718,bybit,okx
1783238400,2026-07-05 08:00,0.8873,0.7361,0.3719,0.5154,bybit,binance
1783267200,2026-07-05 16:00,0.8608,0.2115,0.3106,0.6493,okx,binance
1783296000,2026-07-06 00:00,0.7700,0.6177,0.5565,0.2135,bybit,binance
1783324800,2026-07-06 08:00,0.6120,0.9825,-0.0755,1.0580,bybit,okx
1783353600,2026-07-06 16:00,1.0000,0.4357,0.9435,0.5643,okx,binance
1783382400,2026-07-07 00:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1783411200,2026-07-07 08:00,0.5792,0.6781,0.3220,0.3561,bybit,okx
1783440000,2026-07-07 16:00,0.6825,0.5896,1.0000,0.4104,okx,bybit
1783468800,2026-07-08 00:00,0.4846,0.5688,0.4550,0.1138,bybit,okx
1783497600,2026-07-08 08:00,0.0724,0.4446,0.3534,0.3722,binance,okx
1783526400,2026-07-08 16:00,0.7171,0.8516,0.6329,0.2187,bybit,okx
1783555200,2026-07-09 00:00,0.6160,0.7234,0.8991,0.2831,binance,bybit
1783584000,2026-07-09 08:00,0.6615,0.0131,0.5552,0.6484,okx,binance
1783612800,2026-07-09 16:00,0.4912,0.3518,0.5343,0.1825,okx,bybit
1783641600,2026-07-10 00:00,0.9058,0.7324,0.7151,0.1907,bybit,binance
1783670400,2026-07-10 08:00,0.7247,0.8409,1.0000,0.2753,binance,bybit
1783699200,2026-07-10 16:00,0.9508,0.7550,1.0000,0.2450,okx,bybit
1783728000,2026-07-11 00:00,1.0000,0.8225,1.0000,0.1775,okx,binance
1783756800,2026-07-11 08:00,0.0942,-0.2152,0.7282,0.9434,okx,bybit
1783785600,2026-07-11 16:00,0.4156,0.3403,0.8697,0.5294,okx,bybit
1783814400,2026-07-12 00:00,0.4651,0.6652,0.6748,0.2097,binance,bybit
1783843200,2026-07-12 08:00,0.6315,0.6277,0.1256,0.5059,bybit,binance
1783872000,2026-07-12 16:00,0.7578,0.5646,0.4795,0.2783,bybit,binance
1783900800,2026-07-13 00:00,0.1521,0.6710,0.2717,0.5189,binance,okx
1783929600,2026-07-13 08:00,0.4856,0.0702,-0.4260,0.9116,bybit,binance
1783958400,2026-07-13 16:00,1.0000,0.8855,0.3144,0.6856,bybit,binance
1783987200,2026-07-14 00:00,0.8256,0.6660,0.2559,0.5697,bybit,binance
1784016000,2026-07-14 08:00,0.3489,0.1570,0.6919,0.5349,okx,bybit
1784044800,2026-07-14 16:00,0.5590,0.7995,1.0000,0.4410,binance,bybit
1784073600,2026-07-15 00:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1784102400,2026-07-15 08:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1784131200,2026-07-15 16:00,0.4457,0.2957,0.3971,0.1500,okx,binance
1784160000,2026-07-16 00:00,0.2426,0.8113,0.5402,0.5687,binance,okx
1784188800,2026-07-16 08:00,0.7584,0.3781,0.3810,0.3803,okx,binance
1784217600,2026-07-16 16:00,0.6102,0.1499,0.3123,0.4603,okx,binance
1784246400,2026-07-17 00:00,0.7639,0.5377,0.1171,0.6468,bybit,binance
1784275200,2026-07-17 08:00,0.1520,0.2956,-0.1184,0.4140,bybit,okx
1784304000,2026-07-17 16:00,0.6045,0.5463,0.3690,0.2355,bybit,binance
1784332800,2026-07-18 00:00,0.3074,0.3802,0.2879,0.0923,bybit,okx
1784361600,2026-07-18 08:00,0.6955,0.5080,0.2942,0.4013,bybit,binance
1784390400,2026-07-18 16:00,0.3326,0.8637,-0.0626,0.9263,bybit,okx
1784419200,2026-07-19 00:00,0.0406,0.1668,0.2913,0.2507,binance,bybit
1784448000,2026-07-19 08:00,0.6905,0.5948,1.0000,0.4052,okx,bybit
1784476800,2026-07-19 16:00,0.5235,0.4221,0.6601,0.2380,okx,bybit
1784505600,2026-07-20 00:00,0.4890,0.1491,0.3147,0.3399,okx,binance
1784534400,2026-07-20 08:00,0.5278,-0.0106,0.1131,0.5384,okx,binance
1784563200,2026-07-20 16:00,0.6518,0.1511,0.3778,0.5007,okx,binance
1784592000,2026-07-21 00:00,0.5400,0.0786,0.3242,0.4614,okx,binance
1784620800,2026-07-21 08:00,0.8926,0.1707,0.6956,0.7219,okx,binance
1784649600,2026-07-21 16:00,0.1894,-0.3865,0.4234,0.8099,okx,bybit
1784678400,2026-07-22 00:00,0.3928,0.6460,0.3311,0.3149,bybit,okx
1784707200,2026-07-22 08:00,0.5448,-0.0461,0.1733,0.5909,okx,binance
1784736000,2026-07-22 16:00,0.1443,0.0723,-0.2153,0.3596,bybit,binance
1784764800,2026-07-23 00:00,-0.0343,0.3453,-0.2066,0.5519,bybit,okx
1784793600,2026-07-23 08:00,0.0271,-0.3331,-0.3460,0.3731,bybit,binance
1784822400,2026-07-23 16:00,0.8458,0.3094,0.0774,0.7684,bybit,binance
1784851200,2026-07-24 00:00,0.7598,0.0015,0.1704,0.7583,okx,binance
1784880000,2026-07-24 08:00,0.5149,-0.0835,0.4542,0.5984,okx,binance
1784908800,2026-07-24 16:00,0.5879,0.4636,-0.1060,0.6939,bybit,binance
1784937600,2026-07-25 00:00,0.6074,0.2972,-0.1854,0.7928,bybit,binance
1784966400,2026-07-25 08:00,0.5425,0.2855,-0.2672,0.8097,bybit,binance
1784995200,2026-07-25 16:00,0.0729,-0.0195,-0.4668,0.5397,bybit,binance
1785024000,2026-07-26 00:00,0.3878,0.4045,-0.1212,0.5257,bybit,okx
1785052800,2026-07-26 08:00,0.5884,0.2911,0.1197,0.4687,bybit,binance
1785081600,2026-07-26 16:00,0.5819,0.1071,0.1413,0.4748,okx,binance
1785110400,2026-07-27 00:00,0.6147,0.7564,0.5050,0.2514,bybit,okx
1785139200,2026-07-27 08:00,0.6452,0.5251,0.6021,0.1201,okx,binance
1785168000,2026-07-27 16:00,0.5040,0.2283,0.3134,0.2757,okx,binance
1785196800,2026-07-28 00:00,0.4208,0.2424,0.1305,0.2903,bybit,binance
1785225600,2026-07-28 08:00,0.0125,-0.1916,-0.4604,0.4729,bybit,binance
1785254400,2026-07-28 16:00,0.6689,0.2178,0.2835,0.4511,okx,binance
1785283200,2026-07-29 00:00,1.0000,0.6305,0.5251,0.4749,bybit,binance
1785312000,2026-07-29 08:00,1.0000,0.2967,0.4340,0.7033,okx,binance
1785340800,2026-07-29 16:00,0.3665,0.8325,0.9584,0.5919,binance,bybit
1785369600,2026-07-30 00:00,0.8462,0.4043,0.4388,0.4419,okx,binance
1785398400,2026-07-30 08:00,0.7278,0.9621,0.9495,0.2343,binance,okx
1785427200,2026-07-30 16:00,0.9029,0.6542,0.7271,0.2487,okx,binance
1785456000,2026-07-31 00:00,1.0000,0.8372,1.0000,0.1628,okx,binance
1785484800,2026-07-31 08:00,0.9405,0.6146,-0.1198,1.0603,bybit,binance
1785513600,2026-07-31 16:00,0.5664,0.8530,0.1642,0.6888,bybit,okx
1785542400,2026-08-01 00:00,0.4123,0.5398,0.0284,0.5114,bybit,okx
1785571200,2026-08-01 08:00,0.3163,0.2589,-0.1066,0.4229,bybit,binance
1785600000,2026-08-01 16:00,0.3545,-0.1676,0.4871,0.6547,okx,bybit
1785628800,2026-08-02 00:00,0.4530,0.0393,0.1631,0.4137,okx,binance
1785657600,2026-08-02 08:00,0.8943,0.3866,1.0000,0.6134,okx,bybit
1785686400,2026-08-02 16:00,0.7707,0.1458,0.0008,0.7699,bybit,binance
1785715200,2026-08-03 00:00,1.0000,0.4660,0.4142,0.5858,bybit,binance
1785744000,2026-08-03 08:00,0.6364,0.5590,0.0921,0.5443,bybit,binance
1785772800,2026-08-03 16:00,0.2474,0.0939,0.4861,0.3922,okx,bybit
1785801600,2026-08-04 00:00,0.3081,0.2074,0.4654,0.2580,okx,bybit
1785830400,2026-08-04 08:00,0.6248,0.7656,1.0000,0.3752,binance,bybit
1785859200,2026-08-04 16:00,0.7684,0.8616,0.6252,0.2364,bybit,okx
1785888000,2026-08-05 00:00,0.1674,0.2472,0.3783,0.2109,binance,bybit
1785916800,2026-08-05 08:00,0.1015,0.5835,0.5918,0.4903,binance,bybit
1785945600,2026-08-05 16:00,0.2676,-0.1264,0.3528,0.4792,okx,bybit
1785974400,2026-08-06 00:00,0.6595,0.6788,-0.0488,0.7276,bybit,okx
1786003200,2026-08-06 08:00,0.2632,0.6415,0.2016,0.4399,bybit,okx
1786032000,2026-08-06 16:00,0.5939,0.5950,0.2237,0.3713,bybit,okx
1786060800,2026-08-07 00:00,0.0799,0.5170,-0.2858,0.8028,bybit,okx
1786089600,2026-08-07 08:00,0.4574,0.7328,-0.1043,0.8371,bybit,okx
1786118400,2026-08-07 16:00,0.6308,0.1187,0.7867,0.6680,okx,bybit
1786147200,2026-08-08 00:00,0.5557,0.3778,0.0335,0.5222,bybit,binance
1786176000,2026-08-08 08:00,0.5417,0.3560,0.3891,0.1857,okx,binance
1786204800,2026-08-08 16:00,0.5801,0.2511,0.2947,0.3290,okx,binance
1786233600,2026-08-09 00:00,0.4423,0.4653,-0.0648,0.5301,bybit,okx
1786262400,2026-08-09 08:00,0.6667,0.0740,0.0966,0.5927,okx,binance
1786291200,2026-08-09 16:00,0.7054,0.1043,0.7877,0.6834,okx,bybit
1786320000,2026-08-10 00:00,0.7497,0.9221,0.9822,0.2325,binance,bybit
1786348800,2026-08-10 08:00,0.7908,0.5744,0.5639,0.2269,bybit,binance
1786377600,2026-08-10 16:00,0.5057,0.9672,0.3570,0.6102,bybit,okx
1786406400,2026-08-11 00:00,0.2301,1.0000,0.4120,0.7699,binance,okx
1786435200,2026-08-11 08:00,0.1962,1.0000,0.2938,0.8038,binance,okx
1786464000,2026-08-11 16:00,0.8282,1.0000,0.3597,0.6403,bybit,okx
1786492800,2026-08-12 00:00,1.0000,0.4953,0.2343,0.7657,bybit,binance
1786521600,2026-08-12 08:00,0.8568,0.6652,0.7473,0.1916,okx,binance
1786550400,2026-08-12 16:00,0.6601,0.8871,0.4054,0.4817,bybit,okx
1786579200,2026-08-13 00:00,0.6576,1.0000,0.1930,0.8070,bybit,okx
1786608000,2026-08-13 08:00,0.7218,0.6912,0.6966,0.0306,okx,binance
1786636800,2026-08-13 16:00,0.7841,0.5591,0.5862,0.2250,okx,binance
1786665600,2026-08-14 00:00,0.8545,1.0000,0.5514,0.4486,bybit,okx
1786694400,2026-08-14 08:00,0.5999,0.8260,0.0734,0.7526,bybit,okx
1786723200,2026-08-14 16:00,0.0629,1.0000,0.0282,0.9718,bybit,okx
1786752000,2026-08-15 00:00,0.6801,0.8859,0.6855,0.2058,binance,okx
1786780800,2026-08-15 08:00,0.6523,0.7659,0.4737,0.2922,bybit,okx
1786809600,2026-08-15 16:00,0.5311,0.6474,0.4403,0.2071,bybit,okx
1786838400,2026-08-16 00:00,0.0966,0.5094,0.3010,0.4128,binance,okx
1786867200,2026-08-16 08:00,0.1839,0.4589,0.1182,0.3407,bybit,okx
1786896000,2026-08-16 16:00,0.5000,0.6569,0.3034,0.3535,bybit,okx
1786924800,2026-08-17 00:00,0.3818,1.0000,0.0656,0.9344,bybit,okx
1786953600,2026-08-17 08:00,0.7131,0.3251,0.6250,0.3880,okx,binance
1786982400,2026-08-17 16:00,0.9202,0.2340,0.5373,0.6862,okx,binance
1787011200,2026-08-18 00:00,0.5164,-0.1720,0.0787,0.6884,okx,binance
1787040000,2026-08-18 08:00,0.5020,0.5213,0.4190,0.1023,bybit,okx
1787068800,2026-08-18 16:00,0.3650,0.1969,0.3259,0.1681,okx,binance
1787097600,2026-08-19 00:00,0.1617,0.5914,0.1808,0.4297,binance,okx
1787126400,2026-08-19 08:00,0.3815,0.9584,0.2203,0.7381,bybit,okx
1787155200,2026-08-19 16:00,1.0000,0.4676,0.9074,0.5324,okx,binance
1787184000,2026-08-20 00:00,0.9655,1.0000,0.6707,0.3293,bybit,okx
1787212800,2026-08-20 08:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787241600,2026-08-20 16:00,0.9422,0.5890,0.1028,0.8394,bybit,binance
1787270400,2026-08-21 00:00,0.4964,0.1157,0.1411,0.3807,okx,binance
1787299200,2026-08-21 08:00,0.5814,0.8071,1.0000,0.4186,binance,bybit
1787328000,2026-08-21 16:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787356800,2026-08-22 00:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787385600,2026-08-22 08:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787414400,2026-08-22 16:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787443200,2026-08-23 00:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787472000,2026-08-23 08:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787500800,2026-08-23 16:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787529600,2026-08-24 00:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787558400,2026-08-24 08:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787587200,2026-08-24 16:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787616000,2026-08-25 00:00,0.5818,0.7216,0.3399,0.3817,bybit,okx
1787644800,2026-08-25 08:00,1.0000,1.0000,1.0000,0.0000,binance,binance
1787673600,2026-08-25 16:00,1.0000,0.5610,0.3529,0.6471,bybit,binance
1787702400,2026-08-26 00:00,0.7734,0.8395,0.0282,0.8113,bybit,okx
1787731200,2026-08-26 08:00,0.5927,0.6636,0.3851,0.2785,bybit,okx
1787760000,2026-08-26 16:00,0.7091,0.5660,0.2805,0.4286,bybit,binance
1787788800,2026-08-27 00:00,0.4595,0.4421,0.1149,0.3446,bybit,binance
1787817600,2026-08-27 08:00,1.0000,0.4185,0.4524,0.5815,okx,binance
1787846400,2026-08-27 16:00,0.6331,-0.0409,0.4435,0.6740,okx,binance
1787875200,2026-08-28 00:00,0.6578,0.2998,0.2538,0.4040,bybit,binance
1787904000,2026-08-28 08:00,1.0000,0.9998,0.5545,0.4455,bybit,binance
1787932800,2026-08-28 16:00,0.5913,1.0000,0.6678,0.4087,binance,okx
1787961600,2026-08-29 00:00,1.0000,1.0000,0.8981,0.1019,bybit,binance
1787990400,2026-08-29 08:00,1.0000,0.6781,0.3404,0.6596,bybit,binance
1788019200,2026-08-29 16:00,1.0000,0.4383,0.6594,0.5617,okx,binance
1788048000,2026-08-30 00:00,0.8283,0.3053,0.4222,0.5230,okx,binance
1788076800,2026-08-30 08:00,1.0000,0.6429,0.6716,0.3571,okx,binance
1788105600,2026-08-30 16:00,0.7058,0.3489,0.7004,0.3569,okx,binance
1788134400,2026-08-31 00:00,0.7271,0.6465,0.6499,0.0806,okx,binance
1788163200,2026-08-31 08:00,1.0000,0.8305,0.8566,0.1695,okx,binance
1788192000,2026-08-31 16:00,1.0000,0.7446,0.5905,0.4095,bybit,binance
1788220800,2026-09-01 00:00,0.8482,0.3006,0.2179,0.6303,bybit,binance
1788249600,2026-09-01 08:00,1.0000,0.7529,1.0000,0.2471,okx,binance
1788278400,2026-09-01 16:00,0.3844,0.5322,0.2407,0.2915,bybit,okx
1788307200,2026-09-02 00:00,0.7995,0.8803,0.2041,0.6762,bybit,okx
1788336000,2026-09-02 08:00,0.7998,0.7402,0.8602,0.1200,okx,bybit
1788364800,2026-09-02 16:00,0.3819,0.7646,0.5918,0.3827,binance,okx
1788393600,2026-09-03 00:00,0.7287,0.5832,0.6847,0.1455,okx,binance
