timestamp,utc,rate_bp_binance,rate_bp_bybit,spread_bp,argmin,argmax
1585152000,2020-03-25 16:00,0.9813,1.0000,0.0187,binance,bybit
1585180800,2020-03-26 00:00,-0.1620,1.0000,1.1620,binance,bybit
1585209600,2020-03-26 08:00,1.0000,1.0000,0.0000,binance,binance
1585238400,2020-03-26 16:00,0.1599,1.0000,0.8401,binance,bybit
1585267200,2020-03-27 00:00,0.6223,1.0000,0.3777,binance,bybit
1585296000,2020-03-27 08:00,0.6838,1.0000,0.3162,binance,bybit
1585324800,2020-03-27 16:00,0.0148,1.0000,0.9852,binance,bybit
1585353600,2020-03-28 00:00,-1.2203,1.0000,2.2203,binance,bybit
1585382400,2020-03-28 08:00,-4.1263,1.0000,5.1263,binance,bybit
1585411200,2020-03-28 16:00,-2.1650,1.0000,3.1650,binance,bybit
1585440000,2020-03-29 00:00,-2.3282,1.0000,3.3282,binance,bybit
1585468800,2020-03-29 08:00,-2.9120,1.0000,3.9120,binance,bybit
1585497600,2020-03-29 16:00,-2.5613,1.0000,3.5613,binance,bybit
1585526400,2020-03-30 00:00,-6.4310,1.0000,7.4310,binance,bybit
1585555200,2020-03-30 08:00,-3.3817,1.0000,4.3817,binance,bybit
1585584000,2020-03-30 16:00,-0.6982,1.0000,1.6982,binance,bybit
1585612800,2020-03-31 00:00,-0.5383,1.0000,1.5383,binance,bybit
1585641600,2020-03-31 08:00,-1.5273,1.0000,2.5273,binance,bybit
1585670400,2020-03-31 16:00,-1.6200,1.0000,2.6200,binance,bybit
1585699200,2020-04-01 00:00,-0.9237,1.0000,1.9237,binance,bybit
1585728000,2020-04-01 08:00,-4.8680,1.0000,5.8680,binance,bybit
1585756800,2020-04-01 16:00,-3.4983,-2.4535,1.0448,binance,bybit
1585785600,2020-04-02 00:00,-1.9330,-6.5103,4.5773,bybit,binance
1585814400,2020-04-02 08:00,0.3280,-7.6413,7.9693,bybit,binance
1585843200,2020-04-02 16:00,0.9417,-6.3135,7.2552,bybit,binance
1585872000,2020-04-03 00:00,0.9047,-19.6465,20.5512,bybit,binance
1585900800,2020-04-03 08:00,0.0079,-37.5000,37.5079,bybit,binance
1585929600,2020-04-03 16:00,1.0000,-19.8009,20.8009,bybit,binance
1585958400,2020-04-04 00:00,0.6184,-7.4680,8.0864,bybit,binance
1585987200,2020-04-04 08:00,0.5655,-2.1154,2.6809,bybit,binance
1586016000,2020-04-04 16:00,-0.7770,0.9922,1.7692,binance,bybit
