arm,asset,venues,threshold_bp,causal,cost_mode,n_intervals,n_on,on_rate,rotation_rate_on,n_cost_events,mean_gross_on_bp,mean_net_bp,ann_return_pct,total_pct,carry_bench_ann_pct
P,BTC,binance+okx+bybit,1.0,True,pair_change,279,6,0.021505376344086023,0.6,12,0.25345505824783326,-0.854764407349509,-9.359670260477124,-2.38479269650513,4.140703670212766
P,BTC,binance+okx+bybit,1.0,True,every,279,6,0.021505376344086023,0.6,12,0.25345505824783326,-0.854764407349509,-9.359670260477124,-2.38479269650513,4.140703670212766
P,BTC,binance+okx+bybit,1.0,True,zero,279,6,0.021505376344086023,0.6,0,0.25345505824783326,0.005450646413931898,0.05968457823255429,0.01520730349487,4.140703670212766
P,BTC,binance+okx+bybit,1.0,False,pair_change,279,6,0.021505376344086023,0.6,12,1.1471052911895,-0.8355461227701182,-9.149230044332796,-2.33117368252863,4.140703670212766
P,BTC,binance+okx+bybit,1.0,False,every,279,6,0.021505376344086023,0.6,12,1.1471052911895,-0.8355461227701182,-9.149230044332796,-2.33117368252863,4.140703670212766
P,BTC,binance+okx+bybit,1.0,False,zero,279,6,0.021505376344086023,0.6,0,1.1471052911895,0.02466893099332258,0.27012479437688225,0.06882631747137001,4.140703670212766
P,BTC,binance+okx+bybit,2.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,2.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,2.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,2.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,2.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,2.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,3.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,3.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,3.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,3.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,3.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,3.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,5.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,5.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,5.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,5.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,5.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,5.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,10.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,10.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,10.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,10.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,10.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P,BTC,binance+okx+bybit,10.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,1.0,True,pair_change,279,6,0.021505376344086023,1.0,12,0.25848441873600003,-0.8546562490594409,-9.358485927200878,-2.3844909348758403,4.140703670212766
P-ETH,ETH,binance+okx+bybit,1.0,True,every,279,6,0.021505376344086023,1.0,12,0.25848441873600003,-0.8546562490594409,-9.358485927200878,-2.3844909348758403,4.140703670212766
P-ETH,ETH,binance+okx+bybit,1.0,True,zero,279,6,0.021505376344086023,1.0,0,0.25848441873600003,0.005558804704,0.06086891150880001,0.01550906512416,4.140703670212766
P-ETH,ETH,binance+okx+bybit,1.0,False,pair_change,279,6,0.021505376344086023,1.0,12,1.206224225308833,-0.8342747478428206,-9.135308488878886,-2.32762654648147,4.140703670212766
P-ETH,ETH,binance+okx+bybit,1.0,False,every,279,6,0.021505376344086023,1.0,12,1.206224225308833,-0.8342747478428206,-9.135308488878886,-2.32762654648147,4.140703670212766
P-ETH,ETH,binance+okx+bybit,1.0,False,zero,279,6,0.021505376344086023,1.0,0,1.206224225308833,0.025940305920620067,0.28404634983078975,0.07237345351852999,4.140703670212766
P-ETH,ETH,binance+okx+bybit,2.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,2.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,2.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,2.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,2.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,2.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,3.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,3.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,3.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,3.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,3.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,3.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,5.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,5.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,5.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,5.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,5.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,5.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,10.0,True,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,10.0,True,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,10.0,True,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,10.0,False,pair_change,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,10.0,False,every,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
P-ETH,ETH,binance+okx+bybit,10.0,False,zero,279,0,0.0,0.0,0,nan,0.0,0.0,0.0,4.140703670212766
S,BTC,binance+bybit,1.0,True,pair_change,7076,1490,0.21057094403617863,0.2813969106783076,1429,1.6700823489932883,-3.687334270774449,-40.37631026498022,-260.915773,10.258377584745762
S,BTC,binance+bybit,1.0,True,every,7076,1490,0.21057094403617863,0.2813969106783076,2105,1.6700823489932883,-5.598018273035613,-61.29830008973997,-396.115773,10.258377584745762
S,BTC,binance+bybit,1.0,True,zero,7076,1490,0.21057094403617863,0.2813969106783076,0,1.6700823489932883,0.3516708168456755,3.850795444460147,24.884227,10.258377584745762
S,BTC,binance+bybit,1.0,False,pair_change,7076,1490,0.21057094403617863,0.2813969106783076,1429,3.3702726174496647,-3.329323600904466,-36.45609342990391,-235.58293800000004,10.258377584745762
S,BTC,binance+bybit,1.0,False,every,7076,1490,0.21057094403617863,0.2813969106783076,2105,3.3702726174496647,-5.24000760316563,-57.37808325466365,-370.782938,10.258377584745762
S,BTC,binance+bybit,1.0,False,zero,7076,1490,0.21057094403617863,0.2813969106783076,0,3.3702726174496647,0.7096814867156586,7.771012279536463,50.217062,10.258377584745762
S,BTC,binance+bybit,2.0,True,pair_change,7076,764,0.10797060486150367,0.2765399737876802,698,2.7556100785340316,-1.6753411390616169,-18.344985472724705,-118.547139,10.258377584745762
S,BTC,binance+bybit,2.0,True,every,7076,764,0.10797060486150367,0.2765399737876802,1068,2.7556100785340316,-2.721129720180893,-29.79637043598078,-192.547139,10.258377584745762
S,BTC,binance+bybit,2.0,True,zero,7076,764,0.10797060486150367,0.2765399737876802,0,2.7556100785340316,0.29752488694177504,3.257897512012437,21.052861000000004,10.258377584745762
S,BTC,binance+bybit,2.0,False,pair_change,7076,764,0.10797060486150367,0.2765399737876802,698,5.261621204188481,-1.4047656020350479,-15.382183342283776,-99.401214,10.258377584745762
S,BTC,binance+bybit,2.0,False,every,7076,764,0.10797060486150367,0.2765399737876802,1068,5.261621204188481,-2.4505541831543245,-26.833568305539856,-173.401214,10.258377584745762
S,BTC,binance+bybit,2.0,False,zero,7076,764,0.10797060486150367,0.2765399737876802,0,5.261621204188481,0.5681004239683437,6.220699642453363,40.198786,10.258377584745762
S,BTC,binance+bybit,3.0,True,pair_change,7076,497,0.07023742227247032,0.2560483870967742,469,3.545783299798792,-1.076561009044658,-11.788343049039005,-76.177457,10.258377584745762
S,BTC,binance+bybit,3.0,True,every,7076,497,0.07023742227247032,0.2560483870967742,711,3.545783299798792,-1.7605632702091574,-19.278167808790275,-124.57745699999998,10.258377584745762
S,BTC,binance+bybit,3.0,True,zero,7076,497,0.07023742227247032,0.2560483870967742,0,3.545783299798792,0.24904667891464102,2.7270611341153193,17.622543,10.258377584745762
S,BTC,binance+bybit,3.0,False,pair_change,7076,497,0.07023742227247032,0.2560483870967742,469,6.78011227364185,-0.8493900791407576,-9.300821366591295,-60.10284200000001,10.258377584745762
S,BTC,binance+bybit,3.0,False,every,7076,497,0.07023742227247032,0.2560483870967742,711,6.78011227364185,-1.5333923403052574,-16.79064612634257,-108.50284200000002,10.258377584745762
S,BTC,binance+bybit,3.0,False,zero,7076,497,0.07023742227247032,0.2560483870967742,0,6.78011227364185,0.4762176088185415,5.21458281656303,33.697158,10.258377584745762
S,BTC,binance+bybit,5.0,True,pair_change,7076,253,0.03575466365178067,0.21031746031746032,267,5.00358418972332,-0.5757621820237422,-6.304595893159977,-40.740931999999994,10.258377584745762
S,BTC,binance+bybit,5.0,True,every,7076,253,0.03575466365178067,0.21031746031746032,381,5.00358418972332,-0.8979781232334653,-9.832860449406446,-63.540932000000005,10.258377584745762
S,BTC,binance+bybit,5.0,True,zero,7076,253,0.03575466365178067,0.21031746031746032,0,5.00358418972332,0.1789014697569248,1.9589710938383267,12.659067999999998,10.258377584745762
S,BTC,binance+bybit,5.0,False,pair_change,7076,253,0.03575466365178067,0.21031746031746032,267,9.566214624505928,-0.41262686546071226,-4.5182641767947995,-29.197477,10.258377584745762
S,BTC,binance+bybit,5.0,False,every,7076,253,0.03575466365178067,0.21031746031746032,381,9.566214624505928,-0.7348428066704353,-8.046528733041267,-51.997477,10.258377584745762
S,BTC,binance+bybit,5.0,False,zero,7076,253,0.03575466365178067,0.21031746031746032,0,9.566214624505928,0.3420367863199547,3.745302810203504,24.202523,10.258377584745762
S,BTC,binance+bybit,10.0,True,pair_change,7076,80,0.011305822498586773,0.189873417721519,85,8.64721625,-0.14248483606557374,-1.5602089549180325,-10.082227,10.258377584745762
S,BTC,binance+bybit,10.0,True,every,7076,80,0.011305822498586773,0.189873417721519,121,8.64721625,-0.24423723855285473,-2.6743977621537596,-17.282227000000002,10.258377584745762
S,BTC,binance+bybit,10.0,True,zero,7076,80,0.011305822498586773,0.189873417721519,0,8.64721625,0.09776389202939512,1.0705146177218765,6.9177729999999995,10.258377584745762
S,BTC,binance+bybit,10.0,False,pair_change,7076,80,0.011305822498586773,0.189873417721519,85,15.433309999999997,-0.06576246466930469,-0.7200989881288864,-4.653352,10.258377584745762
S,BTC,binance+bybit,10.0,False,every,7076,80,0.011305822498586773,0.189873417721519,121,15.433309999999997,-0.16751486715658565,-1.834287795364613,-11.853352000000001,10.258377584745762
S,BTC,binance+bybit,10.0,False,zero,7076,80,0.011305822498586773,0.189873417721519,0,15.433309999999997,0.1744862634256642,1.9106245845110232,12.346647999999998,10.258377584745762
