arm,fill_mode,direction,filled,r,kind
d0.0,touch,short,True,-1.071418327451372,stop
d0.2,touch,short,True,2.9138078661535176,target
d0.2,through,short,True,2.9138078661535176,target
d0.4,touch,short,True,2.8914612548707708,target
d0.4,through,short,True,2.8914612548707708,target
d0.6,touch,short,True,2.853712777242311,target
d0.6,through,short,True,2.853712777242311,target
d0.8,touch,short,True,2.7762667859292627,target
d0.8,through,short,True,2.7762667859292627,target
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-1.0644814520871546,stop
d0.2,touch,short,True,2.9230688878296673,target
d0.2,through,short,True,2.9230688878296673,target
d0.4,touch,short,True,2.9047739025055446,target
d0.4,through,short,True,2.9047739025055446,target
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-1.0282113315249441,stop
d0.2,touch,short,True,-1.0347103757479355,stop
d0.2,through,short,True,-1.0347103757479355,stop
d0.4,touch,short,True,-1.044928779034227,stop
d0.4,through,short,True,-1.044928779034227,stop
d0.6,touch,short,True,-1.0633392330438118,stop
d0.6,through,short,True,-1.0633392330438118,stop
d0.8,touch,short,True,-1.1063838038854017,stop
d0.8,through,short,True,-1.1063838038854017,stop
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,long,True,2.8547580427622288,target
d0.2,touch,long,True,2.8483953732325884,target
d0.2,through,long,True,2.8483953732325884,target
d0.4,touch,long,True,2.8414454717232025,target
d0.4,through,long,True,2.8414454717232025,target
d0.6,touch,long,True,2.833823108783767,target
d0.6,through,long,True,2.833823108783767,target
d0.8,touch,long,True,2.82542572313123,target
d0.8,through,long,True,2.82542572313123,target
d1.0,touch,long,True,2.81612878003279,target
d1.0,through,long,True,2.81612878003279,target
d0.0,touch,long,True,-1.133620564650354,stop
d0.2,touch,long,True,-1.1568454991635957,stop
d0.2,through,long,True,-1.1568454991635957,stop
d0.4,touch,long,True,-1.1899318437252697,stop
d0.4,through,long,True,-1.1899318437252697,stop
d0.6,touch,long,True,-1.240853211670807,stop
d0.6,through,long,True,-1.240853211670807,stop
d0.8,touch,long,True,-1.3293512302118005,stop
d0.8,through,long,True,-1.3293512302118005,stop
d1.0,touch,long,True,-1.5213395766857738,stop
d1.0,through,long,True,-1.5213395766857738,stop
d0.0,touch,long,True,2.785855581805288,target
d0.2,touch,long,True,2.7461835107552135,target
d0.2,through,long,True,2.7461835107552135,target
d0.4,touch,long,False,,
d0.4,through,long,False,,
d0.6,touch,long,False,,
d0.6,through,long,False,,
