event,ts,cell,T,rule,fallback,filled,fill,impr_bp,r,kind,fill_delay_s,sleeve,res
0,1611922500,market,0,-,-,True,36762.3516024209,-11.907198721985184,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T60_touch_skip,60,touch,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T60_touch_market,60,touch,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T60_through_skip,60,through,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T60_through_market,60,through,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T300_touch_skip,300,touch,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T300_touch_market,300,touch,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T300_through_skip,300,through,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T300_through_market,300,through,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T900_touch_skip,900,touch,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T900_touch_market,900,touch,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T900_through_skip,900,through,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T900_through_market,900,through,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T3600_touch_skip,3600,touch,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T3600_touch_market,3600,touch,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T3600_through_skip,3600,through,skip,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
0,1611922500,T3600_through_market,3600,through,market,True,36718.63,0.0,-1.0,stop,0.0,CHENTO_BTC,1m
1,1618618500,market,0,-,-,True,61713.00000000001,12.361119921684722,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T60_touch_skip,60,touch,skip,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T60_touch_market,60,touch,market,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T60_through_skip,60,through,skip,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T60_through_market,60,through,market,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T300_touch_skip,300,touch,skip,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T300_touch_market,300,touch,market,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T300_through_skip,300,through,skip,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T300_through_market,300,through,market,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T900_touch_skip,900,touch,skip,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
1,1618618500,T900_touch_market,900,touch,market,True,61636.81,-0.0,6.0,target,0.0,CHENTO_BTC,1m
