event,ts,kind,gross_r,bp_to_r,m0_sleeve_bp,m0_research_bp,m1_bp,m2_touch_filled,m2_touch_gross_r,m2_touch_bp,m3_touch_bp,m2_touch_bp_to_r,m2_through_filled,m2_through_gross_r,m2_through_bp,m3_through_bp,m2_through_bp_to_r,sleeve
0,1611922500,stop,-1.0,0.0009012514033309399,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.0009012514033309399,True,-1.0,8.3,8.3,0.0009012514033309399,CHENTO_BTC
1,1618618500,target,6.0,0.004851244415197849,18.0,18.0,6.750525969524811,True,6.0,5.0,5.0,0.004851244415197849,True,6.0,5.0,5.0,0.004851244415197849,CHENTO_BTC
2,1623694500,stop,-1.0,0.00273873484271751,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.00273873484271751,True,-1.0,8.3,8.3,0.00273873484271751,CHENTO_BTC
3,1627319700,stop,-1.0,0.002362897763123372,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.002362897763123372,True,-1.0,8.3,8.3,0.002362897763123372,CHENTO_BTC
4,1628298900,tif,2.185125118989767,0.003238755028719033,18.0,18.0,10.050525969524811,True,2.185125118989767,8.3,6.0,0.003238755028719033,True,2.185125118989767,8.3,6.0,0.003238755028719033,CHENTO_BTC
5,1629297000,stop,-1.0,0.0039993573180149185,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.0039993573180149185,True,-1.0,8.3,8.3,0.0039993573180149185,CHENTO_BTC
6,1631086200,stop,-1.0,0.002225893330670492,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.002225893330670492,True,-1.0,8.3,8.3,0.002225893330670492,CHENTO_BTC
7,1633119300,tif,0.985236643548274,0.0033361170100788206,18.0,18.0,10.050525969524811,True,0.9852436117191143,8.3,6.0,0.0033361163132617365,True,0.9852436117191143,8.3,6.0,0.0033361163132617365,CHENTO_BTC
8,1633145400,tif,1.5353744977848631,0.0042232668668287805,18.0,18.0,10.050525969524811,True,1.5353744977848631,8.3,6.0,0.0042232668668287805,True,1.5353744977848631,8.3,6.0,0.0042232668668287805,CHENTO_BTC
9,1633171500,tif,3.293619713482586,0.006427350586257277,18.0,18.0,10.050525969524811,True,3.293619713482586,8.3,6.0,0.006427350586257277,True,3.293619713482586,8.3,6.0,0.006427350586257277,CHENTO_BTC
10,1641352500,target,6.0,0.004984062176697897,18.0,18.0,6.750525969524811,True,6.0,5.0,5.0,0.004984063249796019,True,6.0,5.0,5.0,0.004984063249796019,CHENTO_BTC
11,1643680800,stop,-1.0,0.00482886760383194,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.0048288663409929815,True,-1.0,8.3,8.3,0.0048288663409929815,CHENTO_BTC
12,1651845600,tif,1.817559159070697,0.002396536286141621,18.0,18.0,10.050525969524811,True,1.817559159070697,8.3,6.0,0.002396536286141621,True,1.817559159070697,8.3,6.0,0.002396536286141621,CHENTO_BTC
13,1652007600,target,6.0,0.004809786405950685,18.0,18.0,6.750525969524811,True,6.0,5.0,5.0,0.004809786405950685,True,6.0,5.0,5.0,0.004809786405950685,CHENTO_BTC
14,1652447700,stop,-1.0,0.002533416480850958,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.002533416480850958,True,-1.0,8.3,8.3,0.002533416480850958,CHENTO_BTC
15,1654964100,target,6.0,0.00308582926880184,18.0,18.0,6.750525969524811,True,6.0,5.0,5.0,0.00308582926880184,True,6.0,5.0,5.0,0.00308582926880184,CHENTO_BTC
16,1657296000,stop,-1.0,0.002288187381709168,18.0,18.0,10.050525969524811,True,-1.0,8.3,8.3,0.002288187381709168,True,-1.0,8.3,8.3,0.002288187381709168,CHENTO_BTC
