asset,day,open,high,low,close
BTC,2022-09-07,81.46,84.32,75.62,76.12
BTC,2022-09-08,76.12,76.14,74.09,75.72
BTC,2022-09-09,75.72,77.73,72.02,75.12
BTC,2022-09-10,75.12,79.03,72.25,78.15
BTC,2022-09-11,78.15,78.99,75.1,78.91
BTC,2022-09-12,78.91,79.35,76.34,79.15
BTC,2022-09-13,79.15,83.44,78.25,81.07
BTC,2022-09-14,81.07,81.25,76.02,78.19
BTC,2022-09-15,78.19,79.61,75.28,76.05
BTC,2022-09-16,76.05,76.54,70.57,70.57
BTC,2022-09-17,70.57,70.69,68.71,69.14
BTC,2022-09-18,69.14,75.31,67.57,74.86
BTC,2022-09-19,74.86,74.86,70.23,70.23
BTC,2022-09-20,70.23,75.86,70.23,75.86
BTC,2022-09-21,75.86,78.59,72.77,76.7
BTC,2022-09-22,76.7,77.43,74.55,74.81
BTC,2022-09-23,74.81,78.28,73.73,74.23
BTC,2022-09-24,74.23,74.56,72.19,73.21
BTC,2022-09-25,73.21,76.29,71.82,75.88
BTC,2022-09-26,75.88,77.43,74.61,76.71
BTC,2022-09-27,76.71,79.19,71.29,76.88
BTC,2022-09-28,76.88,84.19,76.1,79.4
BTC,2022-09-29,79.4,81.89,77.01,77.52
BTC,2022-09-30,77.52,77.78,71.6,74.06
BTC,2022-10-01,74.06,74.07,70.16,72.26
BTC,2022-10-02,72.26,77.52,71.73,76.42
BTC,2022-10-03,76.42,76.42,70.06,70.07
BTC,2022-10-04,70.07,72.06,69.26,69.87
BTC,2022-10-05,69.87,71.75,69.8,71.16
BTC,2022-10-06,71.16,72.25,68.67,68.73
BTC,2022-10-07,68.73,70.02,65.99,65.99
BTC,2022-10-08,65.99,66.0,63.05,64.84
BTC,2022-10-09,64.24,68.05,63.98,67.51
BTC,2022-10-10,67.51,70.59,66.52,68.98
BTC,2022-10-11,68.98,72.46,68.94,70.6
BTC,2022-10-12,70.6,71.35,69.99,70.2
BTC,2022-10-13,70.2,75.28,65.99,66.11
BTC,2022-10-14,66.11,66.22,61.84,62.08
BTC,2022-10-15,62.41,63.01,61.75,62.66
BTC,2022-10-16,62.66,63.35,61.14,63.27
BTC,2022-10-17,63.27,63.68,59.46,60.01
BTC,2022-10-18,60.01,62.96,59.21,62.26
BTC,2022-10-19,62.26,62.49,60.02,60.9
BTC,2022-10-20,60.9,62.17,59.92,61.44
BTC,2022-10-21,61.44,63.02,59.37,62.19
BTC,2022-10-22,62.19,63.37,60.37,62.14
BTC,2022-10-23,62.14,64.95,61.8,64.07
BTC,2022-10-24,64.07,65.39,62.68,64.31
BTC,2022-10-25,64.31,67.64,63.48,65.61
BTC,2022-10-26,65.61,68.51,63.78,66.28
BTC,2022-10-27,66.28,66.29,60.35,61.41
BTC,2022-10-28,61.41,61.76,54.57,55.08
BTC,2022-10-29,55.08,58.11,55.06,57.8
BTC,2022-10-30,57.8,60.65,57.49,60.36
BTC,2022-10-31,60.36,62.59,59.1,59.63
BTC,2022-11-01,59.63,60.65,59.42,59.92
BTC,2022-11-02,59.92,60.63,56.41,56.41
BTC,2022-11-03,56.41,56.41,52.98,53.98
BTC,2022-11-04,53.98,57.08,53.26,54.19
BTC,2022-11-05,54.19,55.9,53.2,55.9
BTC,2022-11-06,55.9,56.76,54.29,56.76
BTC,2022-11-07,56.76,59.69,56.31,59.48
BTC,2022-11-08,59.48,94.83,59.31,76.66
BTC,2022-11-09,76.66,122.01,75.83,114.72
BTC,2022-11-10,114.72,115.37,85.05,93.12
BTC,2022-11-11,93.12,107.16,82.51,102.11
BTC,2022-11-12,102.11,110.48,101.2,102.92
BTC,2022-11-13,102.92,110.53,100.48,107.88
BTC,2022-11-14,107.88,112.14,89.9,98.18
BTC,2022-11-15,98.18,98.18,82.7,89.99
BTC,2022-11-16,89.99,103.25,81.08,98.64
BTC,2022-11-17,98.64,98.64,75.19,76.97
BTC,2022-11-18,76.97,77.03,72.35,74.71
BTC,2022-11-19,74.71,74.78,71.89,72.41
BTC,2022-11-20,72.41,81.11,72.41,80.26
BTC,2022-11-21,80.26,82.89,79.09,80.81
BTC,2022-11-22,80.81,83.39,79.09,79.71
BTC,2022-11-23,79.71,79.88,74.5,75.27
BTC,2022-11-24,75.27,76.05,72.09,72.21
BTC,2022-11-25,72.21,73.27,64.8,64.89
BTC,2022-11-26,64.89,65.83,62.97,65.49
BTC,2022-11-27,65.49,67.12,64.0,67.12
BTC,2022-11-28,67.12,70.39,66.46,67.44
BTC,2022-11-29,67.44,68.14,64.52,64.8
BTC,2022-11-30,64.8,65.38,62.62,64.05
BTC,2022-12-01,64.05,64.38,59.68,60.05
BTC,2022-12-02,60.05,64.18,58.57,58.75
BTC,2022-12-03,58.75,61.32,58.12,61.15
BTC,2022-12-04,61.15,62.02,58.27,61.84
BTC,2022-12-05,61.84,62.0,55.17,56.01
BTC,2022-12-06,56.01,59.36,55.25,56.74
BTC,2022-12-07,56.74,61.91,56.54,61.83
BTC,2022-12-08,57.05,57.24,55.45,55.71
BTC,2022-12-09,56.63,58.86,56.39,58.71
BTC,2022-12-10,58.71,59.62,58.39,59.55
BTC,2022-12-11,59.55,61.95,59.52,61.79
BTC,2022-12-12,61.79,62.4,60.35,61.15
BTC,2022-12-13,60.25,60.73,60.08,60.66
BTC,2022-12-14,60.67,60.76,55.08,55.19
BTC,2022-12-15,55.19,57.81,52.82,57.74
BTC,2022-12-16,57.74,64.86,52.81,63.31
BTC,2022-12-17,63.31,67.9,61.67,62.29
BTC,2022-12-18,62.29,67.84,61.06,66.48
BTC,2022-12-19,66.48,66.67,60.62,63.62
BTC,2022-12-20,63.61,65.81,59.36,60.1
BTC,2022-12-21,60.1,60.34,58.83,59.12
BTC,2022-12-22,59.12,59.18,53.48,56.14
BTC,2022-12-23,56.14,56.31,52.86,53.67
BTC,2022-12-24,53.67,53.91,52.2,52.35
BTC,2022-12-25,52.35,53.8,52.23,53.68
BTC,2022-12-26,53.68,53.97,53.0,53.22
BTC,2022-12-27,53.22,54.44,53.11,54.05
BTC,2022-12-28,54.05,57.33,53.53,57.19
BTC,2022-12-29,57.19,57.29,54.54,54.59
BTC,2022-12-30,54.59,54.95,48.5,49.82
BTC,2022-12-31,49.82,50.12,47.63,48.31
BTC,2023-01-01,48.31,48.43,46.7,46.96
BTC,2023-01-02,46.96,50.02,45.8,50.02
BTC,2023-01-03,50.02,50.44,48.79,48.95
BTC,2023-01-04,48.95,48.95,41.96,46.87
BTC,2023-01-05,46.87,47.48,45.41,45.45
BTC,2023-01-06,45.45,45.56,42.71,43.61
BTC,2023-01-07,43.61,43.62,41.53,42.02
BTC,2023-01-08,42.02,43.53,41.79,42.79
BTC,2023-01-09,42.79,45.03,42.79,44.06
BTC,2023-01-10,44.06,45.47,43.01,45.47
BTC,2023-01-11,45.47,47.55,45.2,47.55
BTC,2023-01-12,47.55,52.07,43.13,51.42
BTC,2023-01-13,51.42,61.12,47.08,61.12
BTC,2023-01-14,61.12,73.8,58.78,73.62
BTC,2023-01-15,73.62,74.15,66.16,70.2
BTC,2023-01-16,70.2,71.16,63.93,64.92
BTC,2023-01-17,64.92,66.37,62.93,63.35
BTC,2023-01-18,63.35,64.55,59.36,63.34
BTC,2023-01-19,63.34,63.37,56.23,56.9
BTC,2023-01-20,56.9,59.5,53.78,59.48
BTC,2023-01-21,59.48,67.64,56.73,65.79
BTC,2023-01-22,65.79,66.22,60.54,61.99
BTC,2023-01-23,61.99,66.6,61.26,64.38
BTC,2023-01-24,64.38,65.84,61.26,61.33
BTC,2023-01-25,65.73,65.85,58.02,61.49
BTC,2023-01-26,61.49,61.52,56.59,57.0
BTC,2023-01-27,57.0,57.69,54.98,55.0
BTC,2023-01-28,55.0,55.12,53.63,54.49
BTC,2023-01-29,54.49,60.05,52.01,58.92
BTC,2023-01-30,58.92,58.92,55.41,56.4
BTC,2023-01-31,56.4,59.21,54.76,58.82
BTC,2023-02-01,58.82,60.43,56.27,58.04
BTC,2023-02-02,58.04,58.32,55.11,57.71
BTC,2023-02-03,57.71,57.82,54.14,54.25
BTC,2023-02-04,54.25,54.55,53.18,54.16
BTC,2023-02-05,54.16,55.68,53.95,55.23
BTC,2023-02-06,55.23,55.73,53.33,54.56
BTC,2023-02-07,54.56,54.66,52.82,53.31
BTC,2023-02-08,53.31,53.94,52.52,52.99
BTC,2023-02-09,52.99,53.11,49.03,51.95
BTC,2023-02-10,51.95,52.02,48.4,48.69
BTC,2023-02-11,48.7,48.83,46.67,47.13
BTC,2023-02-12,47.13,48.09,46.76,47.5
BTC,2023-02-13,47.51,51.73,47.4,50.65
