stream,lag,acf,null_lo,null_hi
S2_OI_FLUSH,1,-0.02686,-0.02686,-0.02686
S2_OI_FLUSH,2,0.02663,0.02663,0.02663
S2_OI_FLUSH,3,0.01204,0.01204,0.01204
S2_OI_FLUSH,4,-0.02102,-0.02102,-0.01519
S2_OI_FLUSH,5,0.01398,0.00229,0.01009
S2_OI_FLUSH,6,0.00329,0.00134,0.00718
S2_OI_FLUSH,7,0.0062,0.00231,0.00815
S2_OI_FLUSH,8,0.00523,0.00231,0.01109
S2_OI_FLUSH,9,-0.00158,-0.0045,0.00426
S2_OI_FLUSH,10,-0.00644,-0.00549,0.00328
S2_OI_FLUSH,11,-0.00644,-0.01033,0.00037
S2_OI_FLUSH,12,-0.00352,-0.00839,0.00036
S2_OI_FLUSH,13,0.00134,-0.00353,0.0062
S2_OI_FLUSH,14,-0.00839,-0.01228,-0.00255
S2_OI_FLUSH,15,-0.0045,-0.00841,0.00134
S2_OI_FLUSH,16,-0.0045,-0.00547,0.00425
S2_OI_FLUSH,17,-0.00061,-0.00547,0.00428
S2_OI_FLUSH,18,0.00231,-0.00939,0.00231
S2_OI_FLUSH,19,0.00717,-0.00061,0.00914
S2_OI_FLUSH,20,0.01203,-0.0045,0.00911
S2_OI_FLUSH,21,0.01397,0.0023,0.01397
S2_OI_FLUSH,22,0.01494,0.00522,0.01786
S2_OI_FLUSH,23,0.02369,0.00908,0.02078
S2_OI_FLUSH,24,0.01008,-0.00064,0.01399
S4_BTC_1M,1,0.61127,0.21984,0.24771
S4_BTC_1M,2,0.48338,0.10059,0.12472
S4_BTC_1M,3,0.44762,0.0699,0.09136
S4_BTC_1M,4,0.40822,0.04967,0.0714
S4_BTC_1M,5,0.38908,0.03718,0.05768
S4_BTC_1M,6,0.36106,0.03169,0.0534
S4_BTC_1M,7,0.35427,0.02877,0.04827
S4_BTC_1M,8,0.348,0.02502,0.04537
S4_BTC_1M,9,0.33635,0.02079,0.03782
S4_BTC_1M,10,0.33929,0.01699,0.03476
S4_BTC_1M,11,0.32157,0.01356,0.03471
S4_BTC_1M,12,0.32675,0.01329,0.03205
S4_BTC_1M,13,0.32533,0.01185,0.02903
S4_BTC_1M,14,0.29458,0.01051,0.02841
S4_BTC_1M,15,0.29092,0.0077,0.02797
S4_BTC_1M,16,0.29099,0.00876,0.0284
S4_BTC_1M,17,0.25924,0.00714,0.02705
S4_BTC_1M,18,0.24495,0.00755,0.02458
S4_BTC_1M,19,0.23302,0.0072,0.02481
S4_BTC_1M,20,0.21631,0.00789,0.02635
S4_BTC_1M,21,0.21813,0.00742,0.02433
S4_BTC_1M,22,0.20793,0.00718,0.02388
S4_BTC_1M,23,0.19687,0.00645,0.02509
S4_BTC_1M,24,0.18979,0.00735,0.0267
S4b_BTC_1M_p999,1,0.54876,0.16376,0.20353
S4b_BTC_1M_p999,2,0.40424,0.06071,0.09676
S4b_BTC_1M_p999,3,0.38247,0.04176,0.06733
S4b_BTC_1M_p999,4,0.31738,0.02712,0.05285
S4b_BTC_1M_p999,5,0.29033,0.01917,0.04361
S4b_BTC_1M_p999,6,0.25902,0.01579,0.04084
S4b_BTC_1M_p999,7,0.24539,0.01429,0.03719
S4b_BTC_1M_p999,8,0.23138,0.01332,0.03468
S4b_BTC_1M_p999,9,0.22966,0.01253,0.035
S4b_BTC_1M_p999,10,0.23064,0.01118,0.03283
S4b_BTC_1M_p999,11,0.25459,0.00959,0.02931
S4b_BTC_1M_p999,12,0.2771,0.00731,0.0271
S4b_BTC_1M_p999,13,0.2751,0.00583,0.02635
S4b_BTC_1M_p999,14,0.24316,0.00467,0.02714
S4b_BTC_1M_p999,15,0.25627,0.00454,0.02592
