variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,asset,tilt,tilt_policy,mar,n_long,mean_r_long,total_r_long,oos_n_long,oos_mean_r_long,oos_total_r_long,is_n_long,is_total_r_long,n_short,mean_r_short,total_r_short,oos_n_short,oos_mean_r_short,oos_total_r_short,is_n_short,is_total_r_short,is_n,is_mean_r,oos_n,oos_mean_r
V0_sym30,90,40,0.5350617716998569,21.402470867994275,-4.601455764965447,4.651239077630248,47.5,12.081397743258655,9.321073124735618,BTC,prod,skip_after_loss,4.651239077630248,27,0.7445913117570522,20.10396541744041,10,0.7994433641344979,7.994433641344979,17,12.109531776095436,13,0.09988503465798958,1.2985054505538645,3,0.44221316113021336,1.32663948339064,10,-0.028134032836775402,27,0.44745917567624666,13,0.7170056249796629
V0_sym30,90,90,0.293101500549545,26.379135049459048,-11.083585140545107,2.3800182625891466,43.333333333333336,24.64090926317375,1.7382257862852928,BTC,none,none,2.3800182625891466,54,0.24318570928141658,13.132028301196495,22,0.06009622888213715,1.3221170354070173,32,11.80991126578948,36,0.3679751874517376,13.247106748262553,10,0.041610875087827716,0.41610875087827714,26,12.830997997384275,58,0.4248432631581681,32,0.0543195558214154
V1_long30,133,62,0.4207520665970597,26.086628129017704,-4.4471055201221645,5.865979120797001,48.38709677419355,17.860815647739532,8.225812481278172,BTC,prod,skip_after_loss,5.865979120797001,26,0.708566045997822,18.422717195943374,10,0.8018811723700112,8.018811723700113,16,10.403905472243263,36,0.21288641480762022,7.663910933074328,11,0.01881825068891474,0.20700075757806213,25,7.456910175496266,41,0.43562964994486664,21,0.39170535625134156
V1_long30,133,133,0.28262597966517344,37.58925529546807,-10.070266688657888,3.7326971030275433,45.86466165413533,37.063233915583055,0.5260213798850175,BTC,none,none,3.7326971030275433,54,0.24318570928141658,13.132028301196495,22,0.06009622888213715,1.3221170354070173,32,11.80991126578948,79,0.3095851518262224,24.457226994271572,27,-0.02948502427859255,-0.7960956555219989,52,25.253322649793567,84,0.4412289751855126,49,0.010735130201735051
V2_noB5,199,89,0.2353160437565906,20.943127894336566,-6.697731590759504,3.1268986537517662,47.19101123595505,15.111951525009431,5.831176369327133,BTC,prod,skip_after_loss,3.1268986537517662,55,0.25158693869996906,13.8372816284983,17,0.33083385951465116,5.624175611749069,38,8.213106016749222,34,0.2089954784070079,7.105846265838269,11,0.01881825068891474,0.20700075757806213,23,6.898845508260206,61,0.24773691024605624,28,0.20825629890454045
V2_noB5,199,199,0.11569012512718814,23.02233490031044,-12.035219944815427,1.9129135159867252,44.221105527638194,25.179753912809556,-2.157419012499113,BTC,none,none,1.9129135159867252,120,-0.011957434116342794,-1.4348920939611354,38,-0.035824298867818814,-1.361323356977115,82,-0.07356873698401964,79,0.3095851518262224,24.457226994271572,27,-0.02948502427859255,-0.7960956555219989,52,25.253322649793567,134,0.18790861128962355,65,-0.03319106173075558
V3_sym90,82,38,0.4737403792203568,18.00213441037356,-4.481425279814204,4.017055576372327,50.0,12.591370762444596,5.410763647928967,BTC,prod,skip_after_loss,4.017055576372327,29,0.7399480482174745,21.45849339830676,8,0.8715742426721074,6.972593941376859,21,14.485899456929902,9,-0.3840398875481332,-3.4563589879331986,3,-0.5206100978159641,-1.5618302934478925,6,-1.8945286944853064,27,0.46634706527572584,11,0.49188760435717865
V3_sym90,82,82,0.3351115830825538,27.47914981276941,-8.35114693435646,3.2904641756117003,45.1219512195122,25.992875525886053,1.4862742868833578,BTC,none,none,3.2904641756117003,54,0.2765275542921892,14.932487931778219,18,0.04776708468096132,0.8598075242573038,36,14.072680407520911,28,0.448095067178257,12.546661880991195,11,0.05695152387509573,0.626466762626053,17,11.920195118365141,53,0.4904316136959633,29,0.051250837478736475
V4_sym365,69,38,0.708377896370238,26.918360062069038,-2.959642034788212,9.095140474984936,57.89473684210527,18.32045241503611,8.597907647032928,BTC,prod,skip_after_loss,9.095140474984936,30,0.8136834734083974,24.41050420225192,6,1.330830185819875,7.9849811149192504,24,16.42552308733267,8,0.3134819824771401,2.507855859817121,2,0.3064632660568386,0.6129265321136772,6,1.8949293277034436,30,0.6106817471678706,8,1.074738455879116
V4_sym365,69,69,0.4749438389620042,32.77112488837829,-5.1095944602126115,6.413644985636428,53.62318840579711,25.94513712383464,6.825987764543652,BTC,none,none,6.413644985636428,46,0.45841170921346114,21.08693862381921,11,0.41880368264017154,4.606840509041887,35,16.480098114777327,23,0.5080080984590905,11.68418626455908,7,0.3170210365002522,2.2191472555017655,16,9.465039009057316,51,0.5087281788987185,18,0.37922154247464734
V5_long365,125,63,0.39738015439678115,25.034949726997223,-3.736692311264668,6.699762153690478,53.96825396825397,14.341290732147092,10.693658994850132,BTC,prod,skip_after_loss,6.699762153690478,25,0.6105064042275882,15.262660105689704,4,2.0934317361464645,8.373726944585858,21,6.8889331611038465,38,0.2571655163501978,9.772289621307516,11,0.21090291366038863,2.319932050264275,27,7.452357571043242,48,0.2987768902530644,15,0.7129105996566756
V5_long365,125,125,0.3643533249447263,45.54416561809079,-8.054707402983823,5.654353825592621,50.4,41.733420764570894,3.8107448535198865,BTC,none,none,5.654353825592621,46,0.45841170921346114,21.08693862381921,11,0.41880368264017154,4.606840509041887,35,16.480098114777327,79,0.3095851518262224,24.457226994271572,27,-0.02948502427859255,-0.7960956555219989,52,25.253322649793567,87,0.4796944915467919,38,0.1002827593031549
V0_sym30,64,64,0.17782865648121732,11.381034014797908,-6.3092661042176275,1.8038601997132278,50.0,4.076935858952168,7.304098155845739,ETH,prod,half_after_loss,1.8038601997132278,35,0.11491537382234586,4.022038083782105,17,0.24725304742782567,4.2033018062730365,18,-0.1812637224909315,29,0.2537584803798552,7.358995931015801,12,0.2583996957977251,3.1007963495727013,17,4.2581995814431,35,0.11648388168434765,29,0.2518654536498531
V0_sym30,64,64,0.24365654619735655,15.59401895663082,-7.6740506265353945,2.0320453585111484,50.0,7.225441887582349,8.368577069048467,ETH,none,none,2.0320453585111484,35,0.14424949159827785,5.048732205939725,17,0.23022652411312905,3.9138509099231937,18,1.1348812960165322,29,0.3636305776100376,10.54528675069109,12,0.37122717992710624,4.454726159125275,17,6.090560591565818,35,0.2064411967880671,29,0.2885716230706368
V1_long30,124,124,0.2252989900144916,27.93707476179696,-6.420624179862826,4.351146240488074,49.193548387096776,6.263580122978233,21.67349463881873,ETH,prod,half_after_loss,4.351146240488074,35,0.08056787078282175,2.819875477398761,17,0.1144662982872233,1.945927070882796,18,0.8739484065159651,89,0.282215722296609,25.117199284398204,41,0.4811601845838032,19.72756756793593,48,5.389631716462269,66,0.09490272913603383,58,0.3736809420485988
V1_long30,124,124,0.2863705856081442,35.50995261540988,-7.47613356495383,4.749775041723613,49.193548387096776,7.9296393643150695,27.580313251094797,ETH,none,none,4.749775041723613,35,0.14424949159827785,5.048732205939725,17,0.23022652411312905,3.9138509099231937,18,1.1348812960165322,89,0.3422609034771927,30.461220409470148,41,0.5772307888090636,23.66646234117161,48,6.794758068298538,66,0.12014605097447074,58,0.4755226422602551
V2_noB5,174,174,0.26556509813647156,46.208327075746055,-6.160040414839174,7.501302583085806,48.275862068965516,22.24886205015263,23.959465025593417,ETH,prod,half_after_loss,7.501302583085806,85,0.20752301523656358,17.639456295107905,37,0.04181296353192519,1.547079650681232,48,16.09237664442667,89,0.32099854809705786,28.56887078063815,41,0.5466435457295654,22.412385374912184,48,6.156485405725965,96,0.2317589796890899,78,0.30717262853324895
V2_noB5,174,174,0.2957088826004343,51.45334557247557,-8.725502568954358,5.89689191721155,48.275862068965516,23.810842286265274,27.642503286210307,ETH,none,none,5.89689191721155,85,0.24696617838829912,20.992125163005426,37,0.10746056608212688,3.9760409450386947,48,17.016084217966736,89,0.3422609034771927,30.461220409470148,41,0.5772307888090636,23.66646234117161,48,6.794758068298538,96,0.2480296071485966,78,0.354391067771927
V3_sym90,62,62,0.6163003863097049,38.210623951201704,-3.520403638227917,10.854046262273485,54.83870967741935,28.28907788802718,9.921546063174508,ETH,prod,half_after_loss,10.854046262273485,34,0.7509391747537175,25.531931941626397,18,0.3557741635722061,6.40393494429971,16,19.12799699732669,28,0.45281042891340334,12.678692009575293,10,0.35176111188747994,3.5176111188747994,18,9.161080890700497,34,0.8320317025890347,28,0.354340930827661
V3_sym90,62,62,0.6456458505825238,40.03004273611647,-4.476401586488613,8.94246013515443,54.83870967741935,30.715034441465797,9.315008294650674,ETH,none,none,8.94246013515443,34,0.7135046371335995,24.259157662542382,18,0.22930207447241013,4.127437340503382,16,20.131720322039,28,0.5632458954847887,15.770885073574082,10,0.518757095414729,5.18757095414729,18,10.583314119426793,34,0.9033833659254646,28,0.3326788676660955
