t,direction,z_SH,sh_hour
2021-04-17T00:00:00+00:00,short,-0.82252133407705,2021-04-17T00:00:00+00:00
2021-04-26T09:00:00+00:00,long,-1.5117111879024518,2021-04-26T09:00:00+00:00
2021-04-26T15:00:00+00:00,long,0.9855886947965004,2021-04-26T15:00:00+00:00
2021-05-19T05:15:00+00:00,short,-1.0718757357293307,2021-05-19T05:00:00+00:00
2021-06-10T14:15:00+00:00,long,-0.4973682847716491,2021-06-10T14:00:00+00:00
2021-06-10T20:15:00+00:00,long,1.102608541914141,2021-06-10T20:00:00+00:00
2021-06-14T05:45:00+00:00,long,-1.2067712301809923,2021-06-14T05:00:00+00:00
2021-06-14T12:00:00+00:00,long,-0.3465356863878663,2021-06-14T12:00:00+00:00
2021-06-14T18:00:00+00:00,long,0.5077190267660622,2021-06-14T18:00:00+00:00
2021-06-18T19:15:00+00:00,short,0.6308655608002756,2021-06-18T19:00:00+00:00
2021-07-26T02:00:00+00:00,long,-0.32449593304497715,2021-07-26T02:00:00+00:00
2021-07-26T17:00:00+00:00,long,0.2708124972979409,2021-07-26T17:00:00+00:00
2021-08-07T01:00:00+00:00,long,0.409722369453825,2021-08-07T01:00:00+00:00
2021-08-09T19:15:00+00:00,long,-2.1149325235194363,2021-08-09T19:00:00+00:00
2021-08-18T14:15:00+00:00,short,-0.09004432146303949,2021-08-18T14:00:00+00:00
2021-09-08T07:15:00+00:00,short,-0.629290005147068,2021-09-08T07:00:00+00:00
2021-10-01T12:30:00+00:00,long,2.2688431728195146,2021-10-01T12:00:00+00:00
2021-10-01T20:00:00+00:00,long,1.4391693233806369,2021-10-01T20:00:00+00:00
2021-10-02T03:15:00+00:00,long,1.776353384702278,2021-10-02T03:00:00+00:00
2021-10-02T10:30:00+00:00,long,1.0301042817042954,2021-10-02T10:00:00+00:00
2021-10-06T14:15:00+00:00,long,-3.9785640592282907,2021-10-06T14:00:00+00:00
2021-10-06T20:45:00+00:00,long,-3.3260156296032504,2021-10-06T20:00:00+00:00
2021-10-22T16:15:00+00:00,short,0.20254185271526184,2021-10-22T16:00:00+00:00
2021-10-23T04:45:00+00:00,short,0.7359197745495016,2021-10-23T04:00:00+00:00
2021-11-16T19:00:00+00:00,short,1.1688101987754618,2021-11-16T19:00:00+00:00
2021-11-17T03:15:00+00:00,short,0.1961344277997664,2021-11-17T03:00:00+00:00
2021-11-17T10:00:00+00:00,short,1.519427645686598,2021-11-17T10:00:00+00:00
2021-11-18T17:15:00+00:00,short,1.7160810683775318,2021-11-18T17:00:00+00:00
2021-11-19T08:00:00+00:00,short,0.6821672581805811,2021-11-19T08:00:00+00:00
2021-11-19T14:30:00+00:00,short,0.9973034976548701,2021-11-19T14:00:00+00:00
2021-12-04T16:15:00+00:00,short,1.928599043634178,2021-12-04T16:00:00+00:00
2021-12-04T22:30:00+00:00,short,2.0110356345925635,2021-12-04T22:00:00+00:00
2022-01-05T03:00:00+00:00,short,-0.6308201715003637,2022-01-05T03:00:00+00:00
2022-01-06T04:45:00+00:00,short,1.1527109257186867,2022-01-06T04:00:00+00:00
2022-01-06T17:15:00+00:00,short,0.19300552944495783,2022-01-06T17:00:00+00:00
2022-01-26T09:45:00+00:00,long,-0.9094151891987315,2022-01-26T09:00:00+00:00
2022-01-27T10:45:00+00:00,long,0.9843838555316045,2022-01-27T10:00:00+00:00
2022-02-01T01:45:00+00:00,long,0.24599647860769927,2022-02-01T01:00:00+00:00
2022-02-01T09:15:00+00:00,long,-0.3002926932364177,2022-02-01T09:00:00+00:00
2022-02-05T09:45:00+00:00,long,0.8294536910744853,2022-02-05T09:00:00+00:00
2022-02-05T23:15:00+00:00,long,-1.5525240185310323,2022-02-05T23:00:00+00:00
2022-02-20T07:45:00+00:00,short,1.3564090368059776,2022-02-20T07:00:00+00:00
2022-04-11T20:15:00+00:00,short,-0.4729968607558442,2022-04-11T20:00:00+00:00
2022-05-05T16:30:00+00:00,long,-0.6847647457623413,2022-05-05T16:00:00+00:00
2022-05-06T07:45:00+00:00,short,2.9491198675434944,2022-05-06T07:00:00+00:00
2022-05-06T13:45:00+00:00,short,-0.33915933593703257,2022-05-06T13:00:00+00:00
2022-05-06T20:15:00+00:00,short,1.1841936040534826,2022-05-06T20:00:00+00:00
2022-05-08T10:45:00+00:00,short,-0.45603938281395023,2022-05-08T10:00:00+00:00
2022-05-13T06:45:00+00:00,long,-0.06667220184177242,2022-05-13T06:00:00+00:00
2022-05-13T13:00:00+00:00,long,0.5368339258618368,2022-05-13T13:00:00+00:00
2022-05-13T20:00:00+00:00,long,-0.6440656976541876,2022-05-13T20:00:00+00:00
2022-05-14T02:45:00+00:00,long,0.20131228292847372,2022-05-14T02:00:00+00:00
