t,direction
2021-04-17T00:00:00+00:00,short
2021-04-26T09:00:00+00:00,long
2021-04-26T15:00:00+00:00,long
2021-05-19T05:15:00+00:00,short
2021-06-10T14:15:00+00:00,long
2021-06-10T20:15:00+00:00,long
2021-06-14T05:45:00+00:00,long
2021-06-14T12:00:00+00:00,long
2021-06-14T18:00:00+00:00,long
2021-06-18T19:15:00+00:00,short
2021-07-26T02:00:00+00:00,long
2021-07-26T17:00:00+00:00,long
2021-08-07T01:00:00+00:00,long
2021-08-09T19:15:00+00:00,long
2021-08-18T14:15:00+00:00,short
2021-09-08T07:15:00+00:00,short
2021-10-01T12:30:00+00:00,long
2021-10-01T20:00:00+00:00,long
2021-10-02T03:15:00+00:00,long
2021-10-02T10:30:00+00:00,long
2021-10-06T14:15:00+00:00,long
2021-10-06T20:45:00+00:00,long
2021-10-22T16:15:00+00:00,short
2021-10-23T04:45:00+00:00,short
2021-11-16T19:00:00+00:00,short
2021-11-17T03:15:00+00:00,short
2021-11-17T10:00:00+00:00,short
2021-11-18T17:15:00+00:00,short
2021-11-19T08:00:00+00:00,short
2021-11-19T14:30:00+00:00,short
2021-12-04T16:15:00+00:00,short
2021-12-04T22:30:00+00:00,short
2022-01-05T03:00:00+00:00,short
2022-01-06T04:45:00+00:00,short
2022-01-06T17:15:00+00:00,short
2022-01-26T09:45:00+00:00,long
2022-01-27T10:45:00+00:00,long
2022-02-01T01:45:00+00:00,long
2022-02-01T09:15:00+00:00,long
2022-02-05T09:45:00+00:00,long
2022-02-05T23:15:00+00:00,long
2022-02-20T07:45:00+00:00,short
2022-04-11T20:15:00+00:00,short
2022-05-05T16:30:00+00:00,long
2022-05-06T07:45:00+00:00,short
2022-05-06T13:45:00+00:00,short
2022-05-06T20:15:00+00:00,short
2022-05-08T10:45:00+00:00,short
2022-05-13T06:45:00+00:00,long
2022-05-13T13:00:00+00:00,long
2022-05-13T20:00:00+00:00,long
2022-05-14T02:45:00+00:00,long
2022-05-20T06:15:00+00:00,long
2022-05-31T17:15:00+00:00,long
2022-06-11T04:00:00+00:00,short
2022-06-11T10:00:00+00:00,short
2022-06-11T16:00:00+00:00,short
2022-06-12T06:00:00+00:00,short
2022-06-12T21:00:00+00:00,short
2022-07-06T03:00:00+00:00,long
2022-07-06T09:00:00+00:00,long
2022-07-08T09:30:00+00:00,long
2022-07-08T15:45:00+00:00,long
2022-07-08T21:45:00+00:00,long
2022-07-29T00:15:00+00:00,long
2022-07-29T12:30:00+00:00,long
2022-07-30T22:45:00+00:00,long
2022-08-05T10:30:00+00:00,short
2022-08-05T16:30:00+00:00,short
2022-08-10T02:45:00+00:00,short
2022-08-10T08:45:00+00:00,short
2022-08-10T14:45:00+00:00,short
2022-08-18T11:45:00+00:00,short
2022-08-19T07:45:00+00:00,short
2022-08-19T20:45:00+00:00,short
2022-08-20T04:45:00+00:00,short
2022-08-20T10:45:00+00:00,short
2022-09-07T00:45:00+00:00,short
2022-09-07T06:45:00+00:00,short
2022-09-07T12:45:00+00:00,short
2022-09-07T18:45:00+00:00,short
2022-09-10T08:45:00+00:00,long
2022-09-11T00:00:00+00:00,long
2022-09-11T06:15:00+00:00,long
2022-10-05T04:15:00+00:00,long
2022-10-21T12:45:00+00:00,short
2022-10-26T01:45:00+00:00,long
2022-10-26T08:00:00+00:00,long
2022-10-27T08:30:00+00:00,long
2022-10-27T14:30:00+00:00,long
2022-11-09T05:15:00+00:00,short
2022-12-14T09:15:00+00:00,long
2022-12-15T07:45:00+00:00,long
2022-12-15T14:30:00+00:00,long
2023-01-12T16:00:00+00:00,long
2023-01-13T05:00:00+00:00,long
2023-01-13T11:15:00+00:00,long
2023-01-13T18:15:00+00:00,long
2023-01-14T14:15:00+00:00,long
2023-01-14T21:15:00+00:00,long
2023-02-06T14:15:00+00:00,short
2023-02-07T05:15:00+00:00,short
2023-02-09T05:30:00+00:00,short
2023-02-17T06:30:00+00:00,long
2023-02-24T02:15:00+00:00,short
2023-02-24T08:15:00+00:00,short
2023-02-24T22:00:00+00:00,short
2023-02-25T11:15:00+00:00,short
2023-03-03T08:45:00+00:00,short
2023-03-04T00:15:00+00:00,short
2023-03-10T05:15:00+00:00,short
2023-03-14T01:30:00+00:00,long
2023-03-14T09:15:00+00:00,long
2023-03-15T00:00:00+00:00,long
2023-03-18T11:30:00+00:00,long
2023-03-30T03:00:00+00:00,long
2023-04-11T02:30:00+00:00,long
2023-04-11T08:30:00+00:00,long
2023-04-11T14:30:00+00:00,long
2023-04-20T04:00:00+00:00,short
2023-04-20T17:15:00+00:00,short
2023-04-21T20:15:00+00:00,short
2023-05-09T01:45:00+00:00,short
2023-05-09T07:45:00+00:00,short
2023-05-12T06:45:00+00:00,short
2023-05-12T13:45:00+00:00,short
2023-05-25T03:00:00+00:00,short
2023-05-25T11:45:00+00:00,short
2023-06-01T04:30:00+00:00,short
2023-06-01T11:30:00+00:00,short
2023-06-01T18:00:00+00:00,short
2023-06-06T04:45:00+00:00,short
2023-06-15T08:00:00+00:00,short
2023-06-17T14:15:00+00:00,long
2023-06-20T19:00:00+00:00,long
2023-06-21T17:00:00+00:00,long
2023-06-21T23:45:00+00:00,long
2023-06-22T07:15:00+00:00,long
2023-06-22T13:30:00+00:00,long
2023-06-24T04:00:00+00:00,long
2023-08-09T05:30:00+00:00,long
2023-08-17T03:15:00+00:00,short
2023-08-17T09:15:00+00:00,short
2023-08-17T16:30:00+00:00,short
2023-08-18T00:00:00+00:00,short
2023-08-18T19:45:00+00:00,short
2023-09-13T10:15:00+00:00,long
2023-09-19T05:30:00+00:00,long
2023-09-29T02:00:00+00:00,long
2023-09-29T08:15:00+00:00,long
2023-10-02T08:30:00+00:00,long
2023-10-02T21:00:00+00:00,long
2023-10-03T03:00:00+00:00,long
2023-10-07T05:45:00+00:00,long
2023-10-07T11:45:00+00:00,long
2023-10-07T18:30:00+00:00,long
