t,direction
2021-04-18T20:00:00+00:00,short
2021-05-11T19:30:00+00:00,short
2021-06-23T06:00:00+00:00,long
2021-06-28T09:00:00+00:00,long
2021-06-28T16:15:00+00:00,long
2021-07-01T03:45:00+00:00,long
2021-07-01T09:45:00+00:00,long
2021-07-01T16:00:00+00:00,long
2021-07-04T16:45:00+00:00,long
2021-07-13T06:00:00+00:00,short
2021-07-13T12:00:00+00:00,short
2021-07-20T04:30:00+00:00,short
2021-07-20T11:30:00+00:00,short
2021-07-20T17:45:00+00:00,short
2021-07-26T02:00:00+00:00,long
2021-08-17T03:30:00+00:00,short
2021-08-17T22:45:00+00:00,short
2021-08-18T05:15:00+00:00,short
2021-08-18T12:15:00+00:00,short
2021-09-01T14:45:00+00:00,long
2021-09-20T16:00:00+00:00,short
2021-09-20T22:00:00+00:00,short
2021-10-19T16:45:00+00:00,short
2021-10-19T23:45:00+00:00,short
2021-10-22T07:30:00+00:00,short
2021-10-22T15:30:00+00:00,short
2021-10-23T04:00:00+00:00,short
2021-10-23T11:00:00+00:00,short
2021-11-16T06:45:00+00:00,short
2021-11-16T13:15:00+00:00,short
2021-11-16T20:00:00+00:00,short
2021-11-27T04:00:00+00:00,short
2021-11-27T10:15:00+00:00,short
2021-12-04T13:00:00+00:00,short
2022-01-25T06:15:00+00:00,long
2022-01-25T12:45:00+00:00,long
2022-01-27T05:30:00+00:00,long
2022-01-27T12:15:00+00:00,long
2022-02-01T06:00:00+00:00,long
2022-02-01T19:45:00+00:00,long
2022-02-05T04:30:00+00:00,long
2022-02-05T11:15:00+00:00,long
2022-02-20T01:15:00+00:00,short
2022-02-20T07:15:00+00:00,short
2022-03-05T03:15:00+00:00,short
2022-03-08T10:45:00+00:00,short
2022-03-08T16:45:00+00:00,short
2022-03-19T05:45:00+00:00,long
2022-06-11T02:45:00+00:00,short
2022-06-11T10:00:00+00:00,short
2022-06-11T16:00:00+00:00,short
2022-06-20T09:15:00+00:00,long
2022-06-20T15:15:00+00:00,long
2022-06-20T21:30:00+00:00,long
2022-06-25T04:15:00+00:00,long
2022-06-25T10:15:00+00:00,long
2022-06-25T17:00:00+00:00,long
2022-07-16T17:30:00+00:00,long
2022-07-17T00:15:00+00:00,long
2022-07-17T07:30:00+00:00,long
2022-07-17T13:30:00+00:00,long
2022-07-18T01:30:00+00:00,long
2022-07-18T07:30:00+00:00,long
2022-07-18T13:30:00+00:00,long
2022-07-18T19:30:00+00:00,long
2022-07-28T10:45:00+00:00,long
2022-07-28T23:00:00+00:00,long
