asset,t,direction,entry,risk,R,R18,cost_R,kind,exit_bar_ts,exit_price,missing,max_consecutive_missing,in_on_R1,in_on_R2,z_R1,z_R2,entry_ts,entry_day
BTC,2021-04-17T00:00:00+00:00,short,61713.0,1272.10659200487,5.951487555848022,5.91267760052644,0.048512444151978536,target,2021-04-18T03:15:00+00:00,54080.36044797078,0,0,True,True,-2.8520983915942857,-1.189385573914128,1618618500,2021-04-17
BTC,2021-05-19T05:15:00+00:00,short,39737.76,3249.2783740678906,1.3204200274871116,1.310636252648454,0.012229718548322116,tif,2021-05-22T05:15:00+00:00,35407.61,0,0,True,False,-1.1985989140142326,0.5816144409578294,1621402200,2021-05-19
BTC,2021-06-14T18:00:00+00:00,long,40103.74,1464.3162738677934,-1.0273873484271747,-1.049297227168915,0.02738734842717509,stop,2021-06-16T15:00:00+00:00,38639.423726132205,0,0,True,False,0.19388120649835536,-0.7561347788045679,1623694500,2021-06-14
BTC,2021-07-26T02:00:00+00:00,long,38035.47,4908.227196625127,0.35228901612152996,0.3460895524901556,0.007749329539217949,tif,2021-07-29T02:00:00+00:00,39802.62,0,0,False,True,-0.05712626621008682,1.4236370002117644,1627265700,2021-07-26
BTC,2021-07-26T17:00:00+00:00,long,38908.28,1646.6340866381574,-1.023628977631234,-1.042532159736221,0.023628977631233727,stop,2021-07-26T21:30:00+00:00,37261.64591336184,0,0,False,False,-1.9630712072198329,-0.42931930020197095,1627319700,2021-07-26
BTC,2021-08-07T01:00:00+00:00,long,42821.59,1322.1620536375153,2.180102206132636,2.1541921659028835,0.03238755028719043,tif,2021-08-10T01:00:00+00:00,45746.86,0,0,False,True,-0.007561246417325235,0.3848141142693614,1628298900,2021-08-07
BTC,2021-08-09T19:15:00+00:00,long,46334.41,1368.9245511444183,-1.0338473073342598,-1.0609251532016684,0.033847307334260696,stop,2021-08-09T21:15:00+00:00,44965.48544885559,0,0,False,False,-2.3792298500232167,-2.023488003889461,1628537400,2021-08-09
BTC,2021-09-08T07:15:00+00:00,short,45310.01,2035.587661622204,-1.0222589333067036,-1.0400660799520676,0.02225893330670489,stop,2021-09-09T16:45:00+00:00,47345.5976616222,0,0,False,False,0.21827361148004165,1.1198278185320611,1631086200,2021-09-08
BTC,2021-10-01T20:00:00+00:00,long,47852.93,1434.3900365433944,0.9586144876699991,0.9319255515893685,0.033361170100788214,tif,2021-10-04T20:00:00+00:00,49275.81,0,0,True,True,0.9813525259570866,1.036580788723664,1633119300,2021-10-01
BTC,2021-10-02T03:15:00+00:00,long,47539.79,1125.6638876741674,1.4895922560548176,1.4558061211201871,0.04223266866828794,tif,2021-10-05T03:15:00+00:00,49264.11,0,0,True,True,1.094984214526176,1.0572350886379298,1633145400,2021-10-02
