,2020-H1,2020-H2,2021-H1,2021-H2,2022-H1,2022-H2
P0,-3.8094709707975247,-1.914630228656331,-11.31689316685478,-4.117589363833061,22.399375135454548,2.7557210172090443
CORE_NY_R5_CLOSE,-10.464999154738896,5.047885502489456,-11.977710363112292,-5.695019852152973,17.482302738479998,8.685151659013203
CORE_NY_R5_STOP,-10.749508972442351,2.1037509264978405,-8.80985418344015,0.42611269355032905,8.433364898713489,5.528887671153898
CORE_NY_R15_STOP,0.8929854036151262,0.618758288360593,-18.826285726952598,-0.0450204629185907,24.66519912861369,1.8392435122739563
CORE_NY_R30_CLOSE,2.664635208957796,-8.371466590769762,-0.021772681070327374,-4.460658327727546,24.10398660829776,17.330506665155344
CORE_NY_R30_STOP,4.088191616213116,-6.57538051410949,-13.145815278815963,3.1347267135493695,26.43051874646454,9.761011981634029
CORE_NY_R60_CLOSE,-1.095623939340102,-10.299547920865733,-9.09312132978518,3.0533804603364105,27.52838946570092,31.709672608077412
CORE_NY_R60_STOP,-0.03426550842997722,-10.615885993557283,2.5926629618947996,11.831062043650386,20.090947539382356,24.20109099172525
CORE_LDN_R5_CLOSE,-12.607240513987954,-6.7131238872399335,8.963158465383195,-15.918305398973896,-20.72398929206901,-7.931874271676069
CORE_LDN_R5_STOP,-8.239350708210845,-4.837353281991923,10.200344772324938,-13.15276903501468,-15.348538704653075,-10.587918631427126
CORE_LDN_R15_CLOSE,-17.853595590940177,-15.417999866197341,-3.496437241627001,-8.356447799887919,-13.453304062409567,-9.19275477050275
CORE_LDN_R15_STOP,-11.74856647853148,-12.20081681956154,0.663622822878356,-13.918921626148618,-7.497635391661723,-8.760687620276682
CORE_LDN_R30_CLOSE,-34.497452460036655,-22.35385487808738,11.772339269307723,-21.588533551818152,-13.326808942044618,-14.834685587252748
CORE_LDN_R30_STOP,-26.06757825540938,-21.624744483314366,0.6462315472795401,-24.605331600347746,-13.641741223605237,-10.226776948978161
CORE_LDN_R60_CLOSE,-7.5002390637677365,-22.071638970450824,-19.539180280241016,-26.88605519078495,-5.288283983455377,-7.923594191344949
CORE_LDN_R60_STOP,1.861727545623279,-20.873617589111777,-15.794017695677516,-25.07873457963365,-6.586578311891661,-5.473470567565535
CORE_UTC_R5_CLOSE,-9.285582501635197,-16.068062806149513,-31.625113078970333,-18.344856404586004,-13.335305175562063,-11.22846139391958
CORE_UTC_R5_STOP,-2.3396119935229724,-13.116186648342673,-24.222108319949253,-15.579016896890309,-11.910093867053012,-8.285642499948397
CORE_UTC_R15_CLOSE,-11.516432562806123,-18.802562832321293,-26.613678239965562,-15.214988746303636,-16.619947025601466,-9.67164319178588
CORE_UTC_R15_STOP,-4.601658727572092,-15.869572434127209,-26.405721849414178,-14.243901000900268,-13.8742025921585,-8.2734446747504
CORE_UTC_R30_CLOSE,-7.435474963676412,-23.561824798183732,-16.36105115800583,-8.630091135368522,-4.8649570229647265,-2.0271925335212733
CORE_UTC_R30_STOP,-5.765847952867511,-23.19194939583044,-7.828362485945406,-4.947587353556204,-10.716926936076398,-5.510435898971289
CORE_UTC_R60_CLOSE,-11.495650430771068,-21.10117975373405,-10.110818720068853,-12.580286967237964,11.229913673246271,3.9645462938835085
CORE_UTC_R60_STOP,-8.819809837130588,-22.080463335768453,4.253351608775512,-6.526466357062685,10.94832667035971,0.3797317880330029
EXT_BUF05,-2.2490833837641206,-3.656472479860113,-7.723135484576804,-5.698996372595864,27.642671309404815,1.8310035456198432
EXT_BUF10,-5.19734509403886,-2.8717542217224796,-10.42582881520895,-4.5826960816048254,24.634405916066815,-3.8561629723173505
EXT_GATE,-18.59968963456909,0.6285147491548302,-9.289204048021084,10.986305974430984,28.971433958574313,1.9182301682802947
EXT_RVOL10,11.365769242412757,11.147928448039377,12.16222984156629,-30.52617607108508,23.78157452679166,-11.002028301974994
EXT_RVOL15,35.01834674876356,17.46168151555294,19.547801940607428,-47.910170191148644,-6.972047433776702,1.188899336274053
EXT_RVOL20,33.70633503653195,14.315387684840118,25.80056195553265,-76.73511797199977,28.47863312920975,-71.76335869312773
EXT_WIDTH,4.781577302571541,7.017179157446684,-18.926884819943368,21.759013287038016,34.40231197741017,-6.181361012384531
EXT_DL60,-14.031680610531906,-5.999076469561462,-18.70896974941305,-6.431919715395266,25.21938622122664,1.6780832875624034
EXT_DL180,1.2894746051685098,-2.214776706945173,-7.56020265904056,-4.682655773443733,22.399375135454548,2.3343444733714827
EXT_STOPMID,-15.16155984864845,-5.695767434689294,-15.26932491570076,-1.7023264527337942,16.52445420190221,-4.07156340167374
EXT_TGT1R,-8.980638299182804,-3.201989802177136,-5.408256473443776,-12.620196253690626,-10.787858736136315,-8.09593083383137
EXT_TGT2R,1.2094196661101857,8.3749927557527,1.439761859846731,-17.17491726074086,-7.681349247163601,-15.870304621729517
EXT_TGT3R,-6.364531558888546,10.231565892420324,-1.1720237512671574,-12.599171911803786,5.573054075896496,-14.530975133276398
EXT_TX60,0.8099998037385036,-1.365454241731566,-30.79957243879229,-11.725532354831527,0.6818625558725203,-19.544482206600904
INT_RVOL10_TGT2R,36.89656042381642,25.873297787202663,24.721815743555062,-31.648956842875958,-3.446942422627301,-25.6709239232582
INT_RVOL10_GATE,-14.32374158102312,9.847973268544258,5.8126070597648605,-19.966379924315962,37.18397767037622,-14.159035137377671
X_REENTER1M,-11.110964995085165,-10.258914984201603,-23.887428564939672,-11.416818967840813,8.43530281939196,-10.403224833717655
X_REENTER15M,-15.191651772506866,-14.202641263443684,-28.373152259760296,0.659578697801312,17.295054137309993,-4.688596343033271
X_NOTIME,95.50532020823509,40.87740713351841,-59.156679362431966,-26.066672710594556,80.76435596709389,25.584768146186825
X_TRAIL,-9.093845997668176,2.1078520729077592,-24.673866296579583,-16.896818416388093,3.471176918256707,-12.441413253313739
