policy,trades,mean_bp,sharpe,years_positive,changed_components,eligible
CORE_NY_R5_CLOSE,750,0.5302663204480444,0.05518187708716708,1,1,False
CORE_NY_R5_STOP,751,-0.4844141258374781,-0.05190260160469151,1,2,False
CORE_NY_R15_STOP,744,1.5183527856257992,0.1437090923777293,2,1,True
CORE_NY_R30_CLOSE,683,4.901665831664398,0.42600347228465923,1,1,False
CORE_NY_R30_STOP,706,3.768536399636053,0.3300438258614585,1,2,False
CORE_NY_R60_CLOSE,515,5.77425498378376,0.4245497584211377,1,1,False
CORE_NY_R60_STOP,568,7.3849106038631165,0.5653363156631167,2,2,True
CORE_LDN_R5_CLOSE,748,-9.141626733551334,-1.231146927869242,0,2,False
CORE_LDN_R5_STOP,750,-6.994444229218624,-0.958666104701916,0,3,False
CORE_LDN_R15_CLOSE,734,-11.291794530977244,-1.280540174399235,0,1,False
CORE_LDN_R15_STOP,747,-8.96611932063315,-1.0485931347952382,0,2,False
CORE_LDN_R30_CLOSE,694,-15.865727051278782,-1.5489506652591283,0,2,False
CORE_LDN_R30_STOP,722,-15.994460490741494,-1.7777261014235366,0,3,False
CORE_LDN_R60_CLOSE,555,-15.281549261882743,-1.384470358304297,0,2,False
CORE_LDN_R60_STOP,612,-12.534208385582094,-1.1883449716466368,0,3,False
CORE_UTC_R5_CLOSE,1090,-16.6368878572737,-2.69754094907323,0,2,False
CORE_UTC_R5_STOP,1093,-12.562246792333164,-2.095523197614872,0,3,False
CORE_UTC_R15_CLOSE,1071,-16.427155002149732,-2.2513628484344177,0,1,False
CORE_UTC_R15_STOP,1084,-13.896261643359638,-1.9747588669165737,0,2,False
CORE_UTC_R30_CLOSE,979,-10.513073651432304,-1.2983224435622074,0,2,False
CORE_UTC_R30_STOP,1018,-9.679211397444673,-1.2430900896042703,0,3,False
CORE_UTC_R60_CLOSE,738,-6.546226225281011,-0.678146579834356,1,2,False
CORE_UTC_R60_STOP,810,-3.370684917090791,-0.3654832061569276,1,3,False
EXT_BUF05,728,1.5473017611721005,0.14468071897651208,1,1,False
EXT_BUF10,715,-0.5816108417589616,-0.05420527040581383,1,1,False
EXT_GATE,577,2.493115892092458,0.19830175196929792,2,1,True
EXT_RVOL10,276,4.828584420753333,0.2298867703993494,2,1,True
EXT_RVOL15,138,5.52155574275946,0.17139438787056957,1,1,False
EXT_RVOL20,75,0.482882703498268,0.011128018452405415,1,1,False
EXT_WIDTH,381,7.59998870922146,0.5572055578474593,3,1,True
EXT_DL60,683,-3.32075771091839,-0.3104294146622002,1,1,False
EXT_DL180,744,1.8558623228495308,0.17589410808695363,1,1,False
EXT_STOPMID,735,-4.213798027003483,-0.4882754662628927,1,1,False
EXT_TGT1R,735,-8.173257117541858,-1.158612342739862,0,1,False
EXT_TGT2R,735,-4.92279780509575,-0.5495846458388286,1,1,False
EXT_TGT3R,735,-3.0949417559976973,-0.3351244777156864,1,1,False
EXT_TX60,735,-10.293715331534855,-1.6545824624355403,0,1,False
INT_RVOL10_TGT2R,276,4.595680680654067,0.22402540483996045,2,2,True
INT_RVOL10_GATE,215,4.231644440794861,0.17088735410577469,1,2,False
X_REENTER1M,735,-9.777450660244114,-1.9241839999038381,0,1,False
X_REENTER15M,735,-7.415755635812775,-1.0121335467636188,1,1,False
X_NOTIME,428,17.932848926628793,0.5201428187026986,2,1,True
X_TRAIL,735,-9.556759793255587,-1.4711341035864527,0,1,False
X_TRAIL_NOTIME,735,-10.756639545249538,-1.6929163790851753,0,2,False
X_VWAP,735,-6.943284531876347,-1.108065153882976,1,1,False
