,2020,2021,2022
P0,-2.8466453904412266,-7.687975802730011,12.617967117727362
CORE_NY_R5_CLOSE,-2.646505287495807,-8.811234345588796,13.048538594428733
CORE_NY_R5_STOP,-4.271465983376493,-4.136675723767676,6.969508376023454
CORE_NY_R15_STOP,0.7536423572459527,-9.32251294274262,13.114715563718885
CORE_NY_R30_CLOSE,-3.0702823201582707,-2.30789404415559,20.763220482494482
CORE_NY_R30_STOP,-1.4024136083359704,-4.870994348812095,18.204954272989223
CORE_NY_R60_CLOSE,-5.645290907480612,-3.0526988179409296,29.428972712235687
CORE_NY_R60_STOP,-5.379620186483977,7.027094521137482,22.02791169508418
CORE_LDN_R5_CLOSE,-9.624958396071625,-3.626267473952862,-14.275931314309966
CORE_LDN_R5_STOP,-6.524852005314801,-1.6157725724245893,-12.93931801982213
CORE_LDN_R15_CLOSE,-16.611145949978248,-5.946198661238195,-11.296511474805287
CORE_LDN_R15_STOP,-11.976486293256947,-6.744309757227347,-8.136894478797458
CORE_LDN_R30_CLOSE,-28.247818558029287,-4.908097141255215,-14.07733577902604
CORE_LDN_R30_STOP,-23.791980469702178,-11.979550026534104,-11.948978759889227
CORE_LDN_R60_CLOSE,-15.34637747505863,-23.062681512848823,-6.598494708281831
CORE_LDN_R60_STOP,-10.406354730050587,-20.350406536878214,-6.047237446084156
CORE_UTC_R5_CLOSE,-12.705004705019146,-24.91201629851232,-12.273225022624482
CORE_UTC_R5_STOP,-7.757505295259251,-19.853073095106268,-10.082973177882465
CORE_UTC_R15_CLOSE,-15.242767757786737,-20.866970517399164,-13.126494264710853
CORE_UTC_R15_STOP,-10.298564819433757,-20.274555967105513,-11.066109090868489
CORE_UTC_R30_CLOSE,-15.966834230964155,-12.472562337095994,-3.4588575011684206
CORE_UTC_R30_STOP,-14.715809419041825,-6.371226227120635,-8.136450328764829
CORE_UTC_R60_CLOSE,-16.67104338495371,-11.32153077899223,7.816066350413166
CORE_UTC_R60_STOP,-15.75615166718732,-0.9022135053210164,5.895458314210809
EXT_BUF05,-2.9642201195852547,-6.6985712427099084,14.574839512676858
EXT_BUF10,-4.005720018967656,-7.4678944023471105,10.143513119388661
EXT_GATE,-8.783185291299509,1.1557556605148296,15.230124096837667
EXT_RVOL10,11.244440192382013,-4.541928993819027,8.211771355819918
EXT_RVOL15,26.060864486921403,-7.154312028212683,-4.1853826830276635
EXT_RVOL20,25.303591184132156,-19.770851345592874,-10.504363690588155
EXT_WIDTH,6.198789192715604,1.9972913493613436,14.896980773012718
EXT_DL60,-9.82075597275445,-12.62291075819056,13.130609039074734
EXT_DL180,-0.47666805613678637,-6.104094596449394,12.325910762245499
EXT_STOPMID,-10.351705979766765,-8.430675283961314,6.268824037158629
EXT_TGT1R,-6.0443331685904935,-9.043543191942188,-9.44743373128488
EXT_TGT2R,4.8504629027171555,-7.943247127766526,-11.758977232029757
EXT_TGT3R,2.068444788321246,-6.9320496533262705,-4.437594213444738
EXT_TX60,-0.2954138372523858,-21.185015648503125,-9.389691832025767
INT_RVOL10_TGT2R,30.75702174013281,2.663687340169013,-13.394819856243036
INT_RVOL10_GATE,-0.22357458544214903,-3.9416042315089643,14.99872522258133
X_REENTER1M,-10.678012753782543,-17.601430231442684,-0.9451986045844321
X_REENTER15M,-14.689105782129232,-13.738767549444688,6.3484627458633485
X_NOTIME,69.01905932352398,-42.14430306120482,50.62424497248079
X_TRAIL,-3.401926246359266,-20.7537283407107,-4.452376212442981
X_TRAIL_NOTIME,-4.1177578101663235,-21.6658015022197,-6.433639814450404
X_VWAP,-7.653581679701827,-14.206181646641129,1.1283442277829285
