date,side,exit_reason,risk_bp,gross_bp,mfe_bp,mae_bp,minutes_to_mfe,minutes_held,gave_back_bp,move_after_4h_bp,move_after_12h_bp,move_after_24h_bp
2020-01-02,1,stop,32.724572377943126,-32.724572377943126,2.3914110583882398,-32.724572377943126,0,33,35.11598343633136,,,
2020-01-03,1,time,39.19439098157853,56.433874072037646,183.22793511135515,-3.9043167445699005,26,310,126.79406103931751,-16.538355787736794,38.42452570800085,32.045642012647086
2020-01-06,-1,stop,42.936711553033064,-42.936711553033064,20.87016629667515,-42.936711553033064,20,89,63.806877849708215,,,
2020-01-07,-1,stop,28.108707342716045,-28.108707342716045,168.94464580613294,-28.108707342716045,75,103,197.053353148849,,,
2020-01-08,-1,stop,68.90776783958351,-68.90776783958351,57.93995817994522,-68.90776783958351,22,34,126.84772601952874,,,
2020-01-09,1,stop,35.53573055086094,-35.53573055086094,39.54599277393672,-35.53573055086094,1,56,75.08172332479765,,,
2020-01-10,1,time,93.23851535401943,126.54514822517116,210.62026552544066,-80.7782996694414,72,369,84.0751173002695,123.69960601149033,-27.69076101331406,106.23775445352427
2020-01-13,1,stop,20.91445099566145,-20.91445099566145,17.18149343024145,-20.91445099566145,14,27,38.0959444259029,,,
2020-01-14,-1,stop,107.58004963100322,-107.58004963100322,21.81176263996174,-107.58004963100322,2,54,129.39181227096495,,,
2020-01-15,1,stop,45.188633520069594,-45.188633520069594,27.390466314234327,-45.188633520069594,8,14,72.57909983430392,,,
2020-01-16,-1,stop,23.324790508825988,-23.324790508825988,19.535231952082388,-23.324790508825988,3,13,42.860022460908375,,,
2020-01-17,1,time,59.826584363628875,50.979309595787385,136.14847129953134,-25.727241460456284,231,334,85.16916170374395,111.85806346505326,-20.228807269700482,31.723476277536356
2020-01-21,1,stop,14.816524348026938,-14.816524348026938,19.270713131780205,-14.816524348026938,60,67,34.08723747980714,,,
2020-01-22,-1,stop,21.082123191724346,-21.082123191724346,76.31867293582302,-21.082123191724346,104,107,97.40079612754737,,,
2020-01-23,1,stop,50.174933260904865,-50.174933260904865,13.54437300988942,-50.174933260904865,14,54,63.719306270794284,,,
2020-01-24,-1,stop,46.62422878213973,-46.62422878213973,34.962269785491934,-46.62422878213973,15,46,81.58649856763166,,,
2020-01-27,-1,stop,40.485597727574095,-40.485597727574095,0.2753341868690622,-40.485597727574095,0,7,40.760931914443155,,,
2020-01-28,-1,time,140.75991189427256,9.911894273127754,192.73127753303964,-22.026431718061676,165,373,182.8193832599119,-312.7753303964758,-356.82819383259914,-356.16740088105684
2020-01-29,-1,stop,30.544641218522035,-30.544641218522035,52.98625920444496,-30.544641218522035,58,67,83.530900422967,,,
2020-01-30,-1,stop,32.07486631016019,-32.07486631016019,7.4866310160427805,-32.07486631016019,3,19,39.56149732620297,,,
2020-01-31,1,time,34.49349731304192,62.79088061327567,105.35548991865357,-16.55170630204125,71,367,42.56460930537791,60.25855575586672,63.93312076172324,54.27795875219852
2020-02-03,1,stop,20.308362518152002,-20.308362518152002,6.833518407789822,-20.308362518152002,1,24,27.141880925941823,,,
2020-02-04,1,time,32.750781627226154,55.73531950037081,97.17084809012117,-9.809940594145457,96,369,41.43552858975036,23.06100734325461,64.61670224317689,532.019951977173
2020-02-05,1,time,27.70999059782965,238.86793648781477,351.9792095838751,-7.870355697819446,189,346,113.11127309606033,-127.64766160639762,-41.86606661807226,104.56480630473548
2020-02-06,-1,time,87.52171691364275,-6.121614716402434,62.851303014818605,-65.40623403168114,252,340,68.97291773122105,-7.256004087889999,13.52069494123614,40.92999489013723
2020-02-07,1,stop,41.88196402014068,-41.88196402014068,18.480924900149425,-41.88196402014068,2,51,60.362888920290104,,,
2020-02-10,1,stop,75.74839902770617,-75.74839902770617,25.649877655837244,-75.74839902770617,22,112,101.39827668354341,,,
2020-02-11,-1,stop,21.18152598155744,-21.18152598155744,16.420494316644188,-21.18152598155744,9,20,37.60202029820162,,,
2020-02-12,-1,stop,36.27347710773783,-36.27347710773783,94.41531345131068,-36.27347710773783,42,351,130.68879055904853,,,
2020-02-13,-1,stop,82.73167948142965,-82.73167948142965,29.72360564338129,-82.73167948142965,14,50,112.45528512481094,,,
2020-02-14,-1,stop,131.13700265537,-131.13700265537,0.0,-131.13700265537,0,240,131.13700265537,,,
2020-02-18,1,time,43.21650591709716,499.65922468452527,510.33685123608575,-3.7691815196510015,361,372,10.67762655156048,-57.4774365435055,0.6299180073943929,-9.985749395898381
2020-02-19,-1,stop,26.545672689682057,-26.545672689682057,18.194558235928227,-26.545672689682057,62,71,44.740230925610284,,,
2020-02-20,1,stop,23.486400231123184,-23.486400231123184,2.0992269233132,-23.486400231123184,0,8,25.585627154436384,,,
