variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
base|tilt=none|H=off,203,203,1.564048612768856,317.50186839207777,-7.90281470660554,40.175795609467464,57.14285714285714,223.6240916559408,93.87777673613694,BTC
base|tilt=none|H=on,203,203,1.2276010313074894,249.20300935542036,-5.40281470660554,46.124663326088545,57.14285714285714,171.74747747382298,77.45553188159734,BTC
base|tilt=skip_after_loss|H=off,203,117,1.8038885795074424,211.05496380237074,-2.1843053500998195,96.62337904941991,63.24786324786324,138.9288853659101,72.12607843646063,BTC
base|tilt=skip_after_loss|H=on,203,117,1.3396378110791758,156.73762389626359,-2.431939122994109,64.44964942349968,63.24786324786324,98.86351069980707,57.874113196456506,BTC
base|tilt=half_after_loss|H=off,203,203,1.3018641187055382,264.27841609722424,-4.951407353302756,53.37440393001429,57.14285714285714,181.27648851092545,83.00192758629879,BTC
base|tilt=half_after_loss|H=on,203,203,0.99985377648198,202.97031662584195,-3.4514073533027556,58.80798638028442,57.14285714285714,135.30549408681503,67.66482253902691,BTC
base|tilt=half_after_2stops_7d|H=off,203,203,1.5487085477986058,314.387835203117,-6.40281470660554,49.10150451156662,57.14285714285714,220.01005846698004,94.37777673613694,BTC
base|tilt=half_after_2stops_7d|H=on,203,203,1.214467314636302,246.5368648711693,-4.15281470660554,59.36620877378022,57.14285714285714,168.58133298957193,77.95553188159734,BTC
wick_p0.5|tilt=none|H=off,203,203,0.3021958048758066,61.34574838978874,-4.0,15.336437097447185,78.32512315270937,34.52503983595234,26.820708553836393,BTC
wick_p0.5|tilt=none|H=on,203,203,0.2372475132087333,48.16124518137286,-3.7357935594383775,12.891837949582312,78.32512315270937,27.234805582475573,20.926439598897286,BTC
wick_p0.5|tilt=skip_after_loss|H=off,203,160,0.31722498811706523,50.75599809873043,-2.396803958391004,21.176532991377144,80.0,23.84878328513511,26.907214813595328,BTC
wick_p0.5|tilt=skip_after_loss|H=on,203,160,0.24763954054518908,39.622326487230254,-2.521617368462266,15.71306058674269,80.0,18.869817107514816,20.752509379715438,BTC
wick_p0.5|tilt=half_after_loss|H=off,203,203,0.27611267608009643,56.05087324425958,-2.9101725350960663,19.260326516142214,78.32512315270937,29.18691156054372,26.86396168371586,BTC
wick_p0.5|tilt=half_after_loss|H=on,203,203,0.2162156937650323,43.89178583430156,-3.0349859451673282,14.461940393559768,78.32512315270937,23.052311344995196,20.83947448930636,BTC
wick_p0.5|tilt=half_after_2stops_7d|H=off,203,203,0.29941403718300585,60.781049548150186,-4.0,15.195262387037547,78.32512315270937,33.460340994313796,27.320708553836393,BTC
