variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
base|tilt=none|H=off,101,101,0.7707386709670546,77.84460576767252,-12.953374812315573,6.009600347058655,38.613861386138616,64.78853971487786,13.056066052794645,BTC
base|tilt=none|H=on,101,101,0.5779013625731348,58.36803761988662,-11.102592086518378,5.257154110053416,38.613861386138616,47.49283739700987,10.875200222876746,BTC
base|tilt=skip_after_loss|H=off,101,40,1.050237982563171,42.00951930252683,-5.023528649607343,8.36255194957641,40.0,25.49822269712673,16.511296605400098,BTC
base|tilt=skip_after_loss|H=on,101,40,0.7977604422499145,31.910417689996585,-3.068182005817288,10.400431796254027,40.0,17.203256020851043,14.707161669145545,BTC
base|tilt=half_after_loss|H=off,101,101,0.5933372528227691,59.92706253509968,-7.672552469903138,7.810577088937944,38.613861386138616,45.1433812060023,14.783681329097371,BTC
base|tilt=half_after_loss|H=on,101,101,0.4469230460885308,45.13922765494161,-6.399228575131865,7.053854558400651,38.613861386138616,32.34804670893046,12.791180946011146,BTC
base|tilt=half_after_2stops_7d|H=off,101,101,0.7731857556327375,78.09176131890649,-12.453374812315573,6.27073082564566,38.613861386138616,64.53569526611184,13.556066052794645,BTC
base|tilt=half_after_2stops_7d|H=on,101,101,0.5780444307498309,58.382487505732925,-10.602592086518378,5.50643531594209,38.613861386138616,47.00728728285618,11.375200222876746,BTC
wick_p0.5|tilt=none|H=off,101,101,0.0375820689183615,3.795788960754512,-5.549574234707594,0.6839784099139115,66.33663366336634,1.703731516554082,2.092057444200429,BTC
wick_p0.5|tilt=none|H=on,101,101,0.027680607397215822,2.795741347118798,-4.726341584664587,0.5915233372446149,66.33663366336634,0.5739673404019421,2.2217740067168563,BTC
wick_p0.5|tilt=skip_after_loss|H=off,101,68,0.02040886593183277,1.3878028833646265,-4.49938342841422,0.30844290233200894,66.17647058823529,-3.1498170988180867,4.537619982182714,BTC
wick_p0.5|tilt=skip_after_loss|H=on,101,68,0.03155904374076955,2.1460149743723296,-2.7271899989157076,0.786896026762182,66.17647058823529,-1.9980609066775252,4.144075881049854,BTC
wick_p0.5|tilt=half_after_loss|H=off,101,101,0.02566134576296603,2.591795922059569,-4.360810390704291,0.5943381366877045,66.33663366336634,-0.7230427911320025,3.3148387131915715,BTC
wick_p0.5|tilt=half_after_loss|H=on,101,101,0.02446414020540164,2.4708781607455657,-3.6953412194825144,0.6686468214947633,66.33663366336634,-0.712046783137791,3.1829249438833553,BTC
wick_p0.5|tilt=half_after_2stops_7d|H=off,101,101,0.039111816803741484,3.95029349717789,-5.049574234707594,0.7823022919489053,66.33663366336634,1.3582360529774609,2.592057444200429,BTC
wick_p0.5|tilt=half_after_2stops_7d|H=on,101,101,0.029867918940582622,3.016659812998845,-4.226341584664587,0.7137756739646625,66.33663366336634,0.2948858062819888,2.7217740067168563,BTC
wick_p1|tilt=none|H=off,101,101,0.13669601762674333,13.806297780301076,-6.641950342420028,2.0786511594530652,54.45544554455446,12.423754374748686,1.3825434055523909,BTC
wick_p1|tilt=none|H=on,101,101,0.11909119931105212,12.028211130416265,-5.88389686329843,2.0442593420431607,54.45544554455446,9.614572676624512,2.4136384537917515,BTC
wick_p1|tilt=skip_after_loss|H=off,101,56,0.25144854391104765,14.081118459018667,-4.957729877192133,2.840235109177362,58.92857142857143,8.85900602826546,5.222112430753207,BTC
wick_p1|tilt=skip_after_loss|H=on,101,56,0.22580047829695668,12.644826784629572,-2.84466183650334,4.4451071907276685,58.92857142857143,7.570939187730488,5.073887596899084,BTC
wick_p1|tilt=half_after_loss|H=off,101,101,0.13805651603623637,13.943708119659872,-5.019457749739177,2.777931166047652,54.45544554455446,10.64138020150707,3.3023279181527987,BTC
wick_p1|tilt=half_after_loss|H=on,101,101,0.12214375205468235,12.336518957522918,-4.122528066706069,2.992464516410167,54.45544554455446,8.592755932177502,3.7437630253454177,BTC
wick_p1|tilt=half_after_2stops_7d|H=off,101,101,0.13773608894397238,13.911344983341209,-6.141950342420028,2.2649719075813812,54.45544554455446,12.028801577788823,1.8825434055523909,BTC
wick_p1|tilt=half_after_2stops_7d|H=on,101,101,0.119744996139061,12.09424461004516,-5.3838968632984265,2.246373754387944,54.45544554455446,9.180606156253408,2.9136384537917515,BTC
wick_p2|tilt=none|H=off,101,101,0.21211137436221575,21.42324881058379,-9.28230068885945,2.3079675533777757,41.584158415841586,18.660274392008567,2.7629744185752294,BTC
wick_p2|tilt=none|H=on,101,101,0.19887887884933694,20.086766763783032,-8.10718203370401,2.477650887851816,41.584158415841586,17.429384414109524,2.657382349673508,BTC
wick_p2|tilt=skip_after_loss|H=off,101,43,0.26403847868128394,11.353654583295206,-5.023528649607343,2.2600955175566977,41.86046511627907,5.0015185344348545,6.352136048860352,BTC
wick_p2|tilt=skip_after_loss|H=on,101,43,0.2713512108898409,11.668102068263156,-3.0202009931035914,3.863352834763784,41.86046511627907,5.99629318070833,5.671808887554827,BTC
wick_p2|tilt=half_after_loss|H=off,101,101,0.16226189798949997,16.388451696939498,-5.661351337533322,2.894795026814221,41.584158415841586,11.830896463221709,4.557555233717791,BTC
wick_p2|tilt=half_after_loss|H=on,101,101,0.15720232095072367,15.87743441602309,-5.063691513403805,3.135545357373144,41.584158415841586,11.712838797408928,4.164595618614166,BTC
wick_p2|tilt=half_after_2stops_7d|H=off,101,101,0.21455845902789872,21.67040436181777,-8.78230068885945,2.4675088145532498,41.584158415841586,18.407429943242544,3.2629744185752294,BTC
wick_p2|tilt=half_after_2stops_7d|H=on,101,101,0.19902194702603307,20.10121664962934,-7.60718203370401,2.642399848008089,41.584158415841586,16.94383429995583,3.157382349673508,BTC
wick_p3|tilt=none|H=off,101,101,0.3345634024344485,33.7909036458793,-12.953374812315587,2.6086563644983207,38.613861386138616,30.316964989267674,3.4739386566116295,BTC
wick_p3|tilt=none|H=on,101,101,0.28485289124506563,28.77014201575163,-11.102592086518367,2.5912995624406108,38.613861386138616,24.726131357399957,4.0440106583516755,BTC
wick_p3|tilt=skip_after_loss|H=off,101,40,0.39141963932273616,15.656785572909449,-5.023528649607343,3.1166908093842043,40.0,6.080692304245499,9.576093268663952,BTC
wick_p3|tilt=skip_after_loss|H=on,101,40,0.36645954598519515,14.658381839407806,-3.068182005817288,4.777546381412654,40.0,5.086951661407614,9.571430178000192,BTC
