position_id,symbol,his_r,passive_r,alpha_r
UNIUSDT-2026-05-07-long,UNIUSDT,1.36,1.230337078651682,0.12966292134831803
ZROUSDT-2026-05-07-long,ZROUSDT,0.0,0.05244755244755257,-0.05244755244755257
BTCUSDT-2026-05-08-long,BTCUSDT,0.456,0.49715279974692245,-0.04115279974692243
SNXUSDT-2026-05-08-long,SNXUSDT,0.182,0.056179775280898944,0.12582022471910104
STABLEUSDT-2026-05-09-long,STABLEUSDT,1.179,0.7821350762527218,0.3968649237472782
ETHUSDT-2026-05-09-long,ETHUSDT,0.557,0.6539725497776903,-0.09697254977769021
ZROUSDT-2026-05-11-long,ZROUSDT,0.639,0.665111940298507,-0.02611194029850694
BTCUSDT-2026-05-11-short,BTCUSDT,0.622,0.5090519624101704,0.11294803758982963
BTCUSDT-2026-05-11-long,BTCUSDT,0.625,0.433177768349602,0.19182223165039802
XRPUSDT-2026-05-12-long,XRPUSDT,0.068,0.4205231388329957,-0.3525231388329957
SOLUSDT-2026-05-13-long,SOLUSDT,0.084,0.06896551724137955,0.01503448275862046
BTCUSDT-2026-05-13-long,BTCUSDT,1.163,1.209918012063416,-0.04691801206341606
SOLUSDT-2026-05-14-long,SOLUSDT,0.115,0.33239436619718526,-0.21739436619718527
ENSUSDT-2026-05-14-long,ENSUSDT,0.392,0.38333333333333225,0.008666666666667766
BTCUSDT-2026-05-18-long,BTCUSDT,0.86,0.8533762550778042,0.006623744922195751
ZECUSDT-2026-05-18-long,ZECUSDT,1.122,0.9865820931934601,0.13541790680653998
SUIUSDT-2026-05-19-long,SUIUSDT,1.038,0.5799373040752331,0.4580626959247669
SUIUSDT-2026-05-23-long,SUIUSDT,1.704,1.52140077821011,0.18259922178988996
BTCUSDT-2026-05-23-long,BTCUSDT,0.471,0.5064727078606704,-0.03547270786067047
FILUSDT-2026-05-23-long,FILUSDT,0.714,0.8412698412698427,-0.12726984126984275
BTCUSDT-2026-05-24-long,BTCUSDT,0.418,0.01216147535032307,0.4058385246496769
WLDUSDT-2026-05-25-long,WLDUSDT,0.794,1.0179372197309422,-0.22393721973094216
ADAUSDT-2026-05-28-long,ADAUSDT,0.506,0.14457831325300946,0.36142168674699054
XPLUSDT-2026-05-30-long,XPLUSDT,0.556,0.6666666666666654,-0.11066666666666536
RAYUSDT-2026-06-01-long,RAYUSDT,0.475,0.598455598455596,-0.12345559845559606
BTCUSDT-2026-06-01-long,BTCUSDT,0.024,0.007987325896102626,0.016012674103897374
NEARUSDT-2026-06-02-long,NEARUSDT,1.192,1.3192488262910826,-0.1272488262910827
DEXEUSDT-2026-06-03-short,DEXEUSDT,1.449,1.7132424537487851,-0.2642424537487851
BTCUSDT-2026-06-04-long-a,BTCUSDT,0.319,0.3696066707604793,-0.05060667076047931
BTCUSDT-2026-06-04-long-b,BTCUSDT,0.239,0.2767029532226779,-0.037702953222677915
BTCUSDT-2026-06-05-long,BTCUSDT,0.643,-1.0,1.643
BTCUSDT-2026-06-08-short,BTCUSDT,0.22,0.2646613378207819,-0.04466133782078188
BEATUSDT-2026-06-09-short,BEATUSDT,-1.0,-1.0,0.0
BTCUSDT-2026-06-09-long,BTCUSDT,0.069,0.10172413793103448,-0.03272413793103447
ALLOUSDT-2026-06-10-short,ALLOUSDT,-1.0,-1.0,0.0
BTCUSDT-2026-06-10-long-a,BTCUSDT,0.615,0.4653461538461544,0.14965384615384558
INJUSDT-2026-06-10-long,INJUSDT,0.412,0.30294117647059027,0.10905882352940971
WLDUSDT-2026-06-10-long,WLDUSDT,-1.0,-1.0,0.0
BTCUSDT-2026-06-10-long-b,BTCUSDT,0.5,0.42737499999999956,0.07262500000000044
SOLUSDT-2026-06-11-long,SOLUSDT,1.194,1.0848484848484852,0.10915151515151478
BTCUSDT-2026-06-12-long,BTCUSDT,0.26,0.13292584631918428,0.12707415368081573
BTCUSDT-2026-06-13-long,BTCUSDT,0.35,0.365,-0.015000000000000013
RENDERUSDT-2026-06-14-long,RENDERUSDT,0.112,0.13043478260869662,-0.018434782608696618
PYTHUSDT-2026-06-14-long,PYTHUSDT,126.036,-0.06428571428571406,126.10028571428572
BTCUSDT-2026-06-17-long,BTCUSDT,-0.019,0.326930028401755,-0.345930028401755
BTCUSDT-2026-06-17-long-2,BTCUSDT,0.295,-1.0,1.295
ETHUSDT-2026-06-18-long,ETHUSDT,-1.0,-1.0,0.0
LABUSDT-2026-06-18-long,LABUSDT,0.809,0.42271622091003846,0.3862837790899616
BTCUSDT-2026-06-18-long,BTCUSDT,0.764,0.8132861635220126,-0.04928616352201254
BTCUSDT-2026-06-24-long,BTCUSDT,1.11,1.080907659102839,0.029092340897161062
BTCUSDT-2026-06-25-long,BTCUSDT,0.007,-0.01620745542949758,0.023207455429497578
BTCUSDT-2026-06-25-long-2,BTCUSDT,0.185,0.322389542883351,-0.13738954288335098
BTCUSDT-2026-06-26-long,BTCUSDT,0.0,0.09675000000000182,-0.09675000000000182
BTCUSDT-2026-06-29-short,BTCUSDT,0.163,0.2977080281095582,-0.1347080281095582
BTCUSDT-2026-06-30-long,BTCUSDT,0.212,0.13164394840362423,0.08035605159637577
BTCUSDT-2026-06-30-long-2,BTCUSDT,0.426,0.2923435564945026,0.13365644350549738
JUPUSDT-2026-07-01-short,JUPUSDT,0.068,0.07430340557275499,-0.00630340557275498
BTCUSDT-2026-07-01-short,BTCUSDT,-1.0,-1.0,0.0
ETHUSDT-2026-07-02-short-2,ETHUSDT,0.08,0.06606060606060798,0.013939393939392017
XRPUSDT-2026-07-03-long,XRPUSDT,0.607,0.748103186646435,-0.14110318664643506
TAOUSDT-2026-07-04-long,TAOUSDT,0.553,0.5575304022450898,-0.004530402245089715
ZECUSDT-2026-07-04-short,ZECUSDT,0.655,0.6351464435146438,0.01985355648535625
HYPEUSDT-2026-07-05-long,HYPEUSDT,0.546,0.6072885504487315,-0.061288550448731494
