exit_reason,exit_price,exit_time_utc,r,mfe_r,mae_r,mfe_time_utc,mae_time_utc,position_id,symbol,side,is_btc,has_tp,his_outcome,his_r,his_exit_type,confidence_rank
timeout,3.433,2026-05-07 23:30:00+00:00,-0.14,0.2808988764044928,-0.47191011235955,2026-05-07 07:15:00+00:00,2026-05-07 15:15:00+00:00,UNIUSDT-2026-05-07-long,UNIUSDT,long,False,True,win,1.36,take_profit,3
stop,2292.0,2026-05-07 14:30:00+00:00,-1.0,0.05874999999999935,-1.25,2026-05-07 00:00:00+00:00,2026-05-07 17:15:00+00:00,ETHUSDT-2026-05-07-long,ETHUSDT,long,False,True,loss,,stop_loss,2
stop,79600.0,2026-05-07 17:15:00+00:00,-1.0,-0.014736842105263158,-1.2434736842105294,2026-05-07 08:15:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-07-long,BTCUSDT,long,True,True,loss,,stop_loss,2
timeout,1.4481,2026-05-08 12:30:00+00:00,-0.23,0.43531468531468653,-0.4484265734265732,2026-05-07 20:15:00+00:00,2026-05-08 11:45:00+00:00,ZROUSDT-2026-05-07-long,ZROUSDT,long,False,True,win,0.0,breakeven,3
timeout,80283.7,2026-05-08 22:30:00+00:00,0.411,0.5643783612780837,-0.4958873774122136,2026-05-08 12:30:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-08-long,BTCUSDT,long,True,True,win,0.456,manual_close,3
timeout,0.1673,2026-05-09 03:30:00+00:00,0.505,0.6312464101091324,-0.2188397472716833,2026-05-09 03:15:00+00:00,2026-05-08 07:00:00+00:00,AVNTUSDT-2026-05-08-long,AVNTUSDT,long,False,True,win,,unknown,2
timeout,0.359,2026-05-09 16:45:00+00:00,0.101,0.47191011235955116,-0.031460674157302415,2026-05-09 01:30:00+00:00,2026-05-08 17:00:00+00:00,SNXUSDT-2026-05-08-long,SNXUSDT,long,False,True,win,0.182,manual_close,3
timeout,0.03389,2026-05-10 08:45:00+00:00,-0.153,0.2178649237472752,-0.1851851851851858,2026-05-09 10:00:00+00:00,2026-05-09 22:15:00+00:00,STABLEUSDT-2026-05-09-long,STABLEUSDT,long,False,True,win,1.179,take_profit,2
timeout,2324.47,2026-05-10 10:45:00+00:00,0.246,0.5037695727817502,-0.2913203170307396,2026-05-09 18:15:00+00:00,2026-05-09 15:00:00+00:00,ETHUSDT-2026-05-09-long,ETHUSDT,long,False,True,win,0.557,manual_close,3
target,1.55,2026-05-11 08:45:00+00:00,0.679,0.7341417910447763,-0.006529850746270011,2026-05-11 10:00:00+00:00,2026-05-11 04:00:00+00:00,ZROUSDT-2026-05-11-long,ZROUSDT,long,False,True,win,0.639,take_profit,3
timeout,81739.6,2026-05-11 23:30:00+00:00,0.32,1.2498618021006125,-0.11712271973466026,2026-05-11 14:30:00+00:00,2026-05-10 23:45:00+00:00,BTCUSDT-2026-05-11-short,BTCUSDT,short,True,True,win,0.622,manual_close,3
target,81500.0,2026-05-11 16:00:00+00:00,0.414,0.8377174374204494,-0.36784047518031265,2026-05-11 18:30:00+00:00,2026-05-11 14:30:00+00:00,BTCUSDT-2026-05-11-long,BTCUSDT,long,True,True,win,0.625,manual_close,3
timeout,81069.0,2026-05-13 01:30:00+00:00,0.046,0.1992666666666628,-0.7993333333333333,2026-05-12 02:00:00+00:00,2026-05-12 16:45:00+00:00,BTCUSDT-2026-05-12-long,BTCUSDT,long,True,False,loss,,stop_loss,3
