exit_reason,exit_price,exit_time_utc,r,mfe_r,mae_r,mfe_time_utc,mae_time_utc,position_id,symbol,side,is_btc,has_tp,his_outcome,his_r,his_exit_type,confidence_rank
timeout,3.433,2026-05-07 23:30:00+00:00,-0.164,0.24590163934426154,-0.48633879781420675,2026-05-07 07:15:00+00:00,2026-05-07 15:15:00+00:00,UNIUSDT-2026-05-07-long,UNIUSDT,long,False,True,win,1.36,take_profit,3
stop,2292.0,2026-05-07 14:30:00+00:00,-1.0,0.06407035175879713,-1.251256281407036,2026-05-07 00:00:00+00:00,2026-05-07 17:15:00+00:00,ETHUSDT-2026-05-07-long,ETHUSDT,long,False,True,loss,,stop_loss,2
stop,79600.0,2026-05-07 17:15:00+00:00,-1.0,0.002087682672230698,-1.247631283121891,2026-05-07 08:15:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-07-long,BTCUSDT,long,True,True,loss,,stop_loss,2
timeout,1.4481,2026-05-08 12:30:00+00:00,-0.356,0.20029239766081966,-0.5387426900584794,2026-05-07 20:15:00+00:00,2026-05-08 11:45:00+00:00,ZROUSDT-2026-05-07-long,ZROUSDT,long,False,True,win,0.0,breakeven,3
timeout,80283.7,2026-05-08 22:30:00+00:00,0.387,0.5385812072184124,-0.5042003733665282,2026-05-08 12:30:00+00:00,2026-05-08 03:00:00+00:00,BTCUSDT-2026-05-08-long,BTCUSDT,long,True,True,win,0.456,manual_close,3
timeout,0.1673,2026-05-09 03:30:00+00:00,0.514,0.6416184971098261,-0.2138728323699426,2026-05-09 03:15:00+00:00,2026-05-08 07:00:00+00:00,AVNTUSDT-2026-05-08-long,AVNTUSDT,long,False,True,win,,unknown,2
timeout,0.359,2026-05-09 16:45:00+00:00,0.119,0.4954337899543378,-0.015981735159816858,2026-05-09 01:30:00+00:00,2026-05-08 17:00:00+00:00,SNXUSDT-2026-05-08-long,SNXUSDT,long,False,True,win,0.182,manual_close,3
timeout,0.03389,2026-05-10 08:45:00+00:00,-0.162,0.20474137931034478,-0.19396551724137895,2026-05-09 10:00:00+00:00,2026-05-09 22:15:00+00:00,STABLEUSDT-2026-05-09-long,STABLEUSDT,long,False,True,win,1.179,take_profit,2
timeout,2324.47,2026-05-10 10:45:00+00:00,0.247,0.5043511893250804,-0.2910462192999453,2026-05-09 18:15:00+00:00,2026-05-09 15:00:00+00:00,ETHUSDT-2026-05-09-long,ETHUSDT,long,False,True,win,0.557,manual_close,3
target,1.55,2026-05-11 08:45:00+00:00,0.558,0.60952380952381,-0.07792207792207899,2026-05-11 10:00:00+00:00,2026-05-11 04:00:00+00:00,ZROUSDT-2026-05-11-long,ZROUSDT,long,False,True,win,0.639,take_profit,3
timeout,81739.6,2026-05-11 23:30:00+00:00,0.468,1.502497886403801,-0.017984782107454175,2026-05-11 14:30:00+00:00,2026-05-10 23:45:00+00:00,BTCUSDT-2026-05-11-short,BTCUSDT,short,True,True,win,0.622,manual_close,3
target,81500.0,2026-05-11 16:00:00+00:00,0.456,0.8921732799417504,-0.3491081179468511,2026-05-11 18:30:00+00:00,2026-05-11 14:30:00+00:00,BTCUSDT-2026-05-11-long,BTCUSDT,long,True,True,win,0.625,manual_close,3
timeout,81069.0,2026-05-13 01:30:00+00:00,0.025,0.1757516339869243,-0.8032679738562092,2026-05-12 02:00:00+00:00,2026-05-12 16:45:00+00:00,BTCUSDT-2026-05-12-long,BTCUSDT,long,True,False,loss,,stop_loss,3
timeout,1.447,2026-05-13 12:00:00+00:00,-0.062,0.37524950099800675,-0.6487025948103783,2026-05-13 09:45:00+00:00,2026-05-12 15:15:00+00:00,XRPUSDT-2026-05-12-long,XRPUSDT,long,False,True,win,0.068,manual_close,3
stop,2245.0,2026-05-13 15:45:00+00:00,-1.0,0.3775492108529883,-1.2128036885972695,2026-05-13 09:30:00+00:00,2026-05-13 15:45:00+00:00,ETHUSDT-2026-05-13-long,ETHUSDT,long,False,True,unknown,,unknown,1
stop,93.5,2026-05-13 12:30:00+00:00,-1.0,0.2227722772277246,-2.866336633663368,2026-05-13 04:30:00+00:00,2026-05-14 03:45:00+00:00,SOLUSDT-2026-05-13-long,SOLUSDT,long,False,True,win,0.084,manual_close,3
