variant,n,expectancy_r,median_r,hit_rate_pct,total_r,end_timeout,end_stop,end_target,his_expectancy_r,his_hit_rate_pct,n_with_his_r,end_breakeven
24h,173,0.07060115606936417,0.104,56.06936416184971,12.214,103,36,34,1.6374672897196265,89.7196261682243,107,
24h_be1r,173,0.06236994219653179,0.072,53.75722543352601,10.79,99,32,31,1.6374672897196265,89.7196261682243,107,11.0
24h_mktfill,173,0.003283236994219652,0.025,51.445086705202314,0.5679999999999998,103,36,34,1.6374672897196265,89.7196261682243,107,
72h,173,0.0028670520231213847,0.056,53.179190751445084,0.49599999999999955,53,65,55,1.6374672897196265,89.7196261682243,107,
72h_be1r,173,0.028312138728323697,0.0,49.13294797687861,4.898,48,52,52,1.6374672897196265,89.7196261682243,107,21.0
72h_mktfill,173,-0.062329479768786125,0.01,50.86705202312138,-10.783,53,65,55,1.6374672897196265,89.7196261682243,107,
168h,173,0.01472254335260116,-0.322,47.97687861271676,2.5470000000000006,35,78,60,1.6374672897196265,89.7196261682243,107,
168h_be1r,173,0.05108092485549133,0.0,41.61849710982659,8.837,25,60,57,1.6374672897196265,89.7196261682243,107,31.0
168h_mktfill,173,-0.04993641618497109,-0.36,47.97687861271676,-8.639,35,78,60,1.6374672897196265,89.7196261682243,107,
700h,173,0.21533526011560694,-1.0,43.93063583815029,37.253,19,93,61,1.6374672897196265,89.7196261682243,107,
700h_be1r,173,0.10434104046242773,0.0,39.30635838150289,18.051,13,67,58,1.6374672897196265,89.7196261682243,107,35.0
700h_mktfill,173,0.11994797687861271,-1.0,43.93063583815029,20.750999999999998,19,93,61,1.6374672897196265,89.7196261682243,107,
