position_id,symbol,side,wicked_through_stop,closed_4h_beyond_stop
ETHUSDT-2026-05-07-long,ETHUSDT,long,True,True
BTCUSDT-2026-05-07-long,BTCUSDT,long,True,False
BTCUSDT-2026-05-12-long,BTCUSDT,long,True,True
BTCUSDT-2026-05-14-long,BTCUSDT,long,True,True
HBARUSDT-2026-05-15-long,HBARUSDT,long,True,False
BTCUSDT-2026-05-21-long,BTCUSDT,long,True,True
XPLUSDT-2026-05-22-long,XPLUSDT,long,True,True
AVAXUSDT-2026-05-22-long,AVAXUSDT,long,True,True
TAOUSDT-2026-05-26-long,TAOUSDT,long,True,True
RENDERUSDT-2026-05-26-long,RENDERUSDT,long,False,False
BTCUSDT-2026-05-27-long,BTCUSDT,long,True,True
BTCUSDT-2026-05-28-long,BTCUSDT,long,True,True
SOLUSDT-2026-05-31-long,SOLUSDT,long,True,True
BTCUSDT-2026-06-03-long,BTCUSDT,long,True,True
DEXEUSDT-2026-06-05-short,DEXEUSDT,short,True,True
BEATUSDT-2026-06-09-short,BEATUSDT,short,True,True
ALLOUSDT-2026-06-10-short,ALLOUSDT,short,True,False
WLDUSDT-2026-06-10-long,WLDUSDT,long,True,True
HBARUSDT-2026-06-17-long,HBARUSDT,long,True,False
ETHUSDT-2026-06-18-long,ETHUSDT,long,True,True
BTCUSDT-2026-06-23-long,BTCUSDT,long,True,True
JUPUSDT-2026-06-24-long,JUPUSDT,long,True,False
HYPEUSDT-2026-06-30-long,HYPEUSDT,long,True,True
BTCUSDT-2026-07-01-short,BTCUSDT,short,True,False
ETHUSDT-2026-07-02-short,ETHUSDT,short,True,True
AVAXUSDT-2026-07-08-short,AVAXUSDT,short,True,False
ENAUSDT-2026-07-22-short,ENAUSDT,short,True,False
NEARUSDT-2026-07-23-long,NEARUSDT,long,True,True
INJUSDT-2026-07-24-long,INJUSDT,long,True,True
BTCUSDT-2026-07-31-long,BTCUSDT,long,True,True
TRADOORUSDT-2026-08-06-long,TRADOORUSDT,long,True,False
BTCUSDT-2026-08-17-short,BTCUSDT,short,True,True
BTCUSDT-2026-08-20-short,BTCUSDT,short,False,False
