position_id,symbol,side,his_r,mfe_after_exit_r_72h,mfe_after_exit_r_before_stop,stop_hit_after_exit
BTCUSDT-2026-05-08-long,BTCUSDT,long,0.456,1.6761309712116519,1.6761309712116519,False
SNXUSDT-2026-05-08-long,SNXUSDT,long,0.182,0.06067415730337161,0.06067415730337161,False
ETHUSDT-2026-05-09-long,ETHUSDT,long,0.557,0.7993427411560002,0.7993427411560002,True
BTCUSDT-2026-05-11-short,BTCUSDT,short,0.622,1.7890409065782176,1.7890409065782176,False
BTCUSDT-2026-05-11-long,BTCUSDT,long,0.625,0.21227549144392427,0.21227549144392427,True
XRPUSDT-2026-05-12-long,XRPUSDT,long,0.068,1.925553319919512,1.925553319919512,True
SOLUSDT-2026-05-13-long,SOLUSDT,long,0.084,0.06896551724137955,0.06896551724137955,True
BTCUSDT-2026-05-13-long,BTCUSDT,long,1.163,0.7983530176617131,0.7983530176617131,True
SOLUSDT-2026-05-14-long,SOLUSDT,long,0.115,0.6140845070422559,0.6140845070422559,True
ENSUSDT-2026-05-14-long,ENSUSDT,long,0.392,0.21500000000000055,0.21500000000000055,False
BTCUSDT-2026-05-18-long,BTCUSDT,long,0.86,0.27109680386295537,0.27109680386295537,True
BTCUSDT-2026-05-23-long,BTCUSDT,long,0.471,0.4897571066328607,0.4897571066328607,False
RAYUSDT-2026-06-01-long,RAYUSDT,long,0.475,0.23938223938223843,0.23938223938223843,True
BTCUSDT-2026-06-01-long,BTCUSDT,long,0.024,0.07835500693114895,0.07835500693114895,True
DEXEUSDT-2026-06-03-short,DEXEUSDT,short,1.449,0.6942551119766324,0.6942551119766324,False
BTCUSDT-2026-06-04-long-a,BTCUSDT,long,0.319,0.12856727319737665,0.12856727319737665,True
BTCUSDT-2026-06-04-long-b,BTCUSDT,long,0.239,0.23272795861176918,0.23272795861176918,False
BTCUSDT-2026-06-08-short,BTCUSDT,short,0.22,0.8027345393352959,0.8027345393352959,False
BTCUSDT-2026-06-09-long,BTCUSDT,long,0.069,0.9526206896551719,0.9526206896551719,False
BTCUSDT-2026-06-10-long-a,BTCUSDT,long,0.615,0.6394615384615379,0.6394615384615379,False
INJUSDT-2026-06-10-long,INJUSDT,long,0.412,1.0499999999999985,1.0499999999999985,False
BTCUSDT-2026-06-10-long-b,BTCUSDT,long,0.5,0.293125,0.293125,False
SOLUSDT-2026-06-11-long,SOLUSDT,long,1.194,0.7000000000000013,0.7000000000000013,False
BTCUSDT-2026-06-12-long,BTCUSDT,long,0.26,0.8943444384739392,0.8943444384739392,False
BTCUSDT-2026-06-13-long,BTCUSDT,long,0.35,1.5276999999999972,1.5276999999999972,False
RENDERUSDT-2026-06-14-long,RENDERUSDT,long,0.112,0.27950310559006336,0.27950310559006336,False
PYTHUSDT-2026-06-14-long,PYTHUSDT,long,126.036,-124.92857142857126,-124.92857142857126,False
BTCUSDT-2026-06-17-long-2,BTCUSDT,long,0.295,1.930127983396742,1.930127983396742,True
LABUSDT-2026-06-18-long,LABUSDT,long,0.809,0.27058006252170896,0.27058006252170896,True
BTCUSDT-2026-06-25-long-2,BTCUSDT,long,0.185,0.6974086531111436,0.6974086531111436,False
BTCUSDT-2026-06-29-short,BTCUSDT,short,0.163,0.2542772714856846,0.2542772714856846,False
BTCUSDT-2026-06-30-long,BTCUSDT,long,0.212,1.8328149300155518,1.8328149300155518,False
BTCUSDT-2026-06-30-long-2,BTCUSDT,long,0.426,2.913528083339406,2.913528083339406,False
JUPUSDT-2026-07-01-short,JUPUSDT,short,0.068,0.23529411764705957,0.23529411764705957,False
TAOUSDT-2026-07-04-long,TAOUSDT,long,0.553,0.07202993451823966,0.07202993451823966,False
MEUSDT-2026-07-06-long,MEUSDT,long,0.154,0.02307185234014522,0.02307185234014522,False
GENIUSUSDT-2026-07-10-long,GENIUSUSDT,long,0.476,0.1240310077519381,0.1240310077519381,False
BTCUSDT-2026-07-13-long,BTCUSDT,long,0.789,1.4176728869374287,1.4176728869374287,False
TRIAUSDT-2026-07-14-long,TRIAUSDT,long,0.65,0.6105204252937886,0.6105204252937886,False
BTCUSDT-2026-07-15-short,BTCUSDT,short,0.041,1.9113110745281148,1.9113110745281148,False
ZECUSDT-2026-07-18-long,ZECUSDT,long,1.143,0.5714285714285714,0.5714285714285714,True
XRPUSDT-2026-07-23-long,XRPUSDT,long,0.018,0.08221225710014711,0.08221225710014711,False
BTCUSDT-2026-07-24-long,BTCUSDT,long,0.277,0.8539965128016895,0.8539965128016895,True
EDUUSDT-2026-07-25-long,EDUUSDT,long,0.705,0.9071038251366104,0.9071038251366104,True
ZECUSDT-2026-07-27-short,ZECUSDT,short,0.839,1.2977099236641216,1.2977099236641216,False
BTCUSDT-2026-07-28-long,BTCUSDT,long,0.874,0.4392723381487439,0.4392723381487439,False
ETHUSDT-2026-08-04-long,ETHUSDT,long,0.246,1.0,1.0,False
ETHUSDT-2026-08-05-long,ETHUSDT,long,0.451,1.2696845653744293,1.2696845653744293,False
ETHUSDT-2026-08-05-short,ETHUSDT,short,0.933,-0.016999999999999696,-0.016999999999999696,False
ETHUSDT-2026-08-07-short,ETHUSDT,short,0.568,2.023879500367372,2.023879500367372,False
BTCUSDT-2026-08-10-long,BTCUSDT,long,0.268,6.711124816899239,6.711124816899239,False
SOLUSDT-2026-08-16-long,SOLUSDT,long,0.13,5.386956521739138,5.386956521739138,False
WLDUSDT-2026-08-17-short,WLDUSDT,short,0.351,2.1190476190476226,2.1190476190476226,True
