position_id,plan_r_1m,plan_end_1m,wick_r_1m,wick_end_1m,plan_r_5m,plan_end_5m,wick_r_5m,wick_end_5m,plan_r_15m,plan_end_15m,wick_r_15m,wick_end_15m
ETHUSDT-2026-05-07-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-05-07-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-05-08-long,0.5817779183802667,target,0.29,wick,0.5817779183802667,target,0.354,wick,0.5817779183802667,target,0.354,wick
ETHUSDT-2026-05-09-long,0.7398028223468001,target,0.322,wick,0.7398028223468001,target,0.379,wick,0.7398028223468001,target,0.363,wick
BTCUSDT-2026-05-11-short,1.5221116639027137,target,0.301,wick,1.5221116639027137,target,0.289,wick,1.5221116639027137,target,0.361,wick
BTCUSDT-2026-05-11-long,0.414227124876258,target,0.287,wick,0.414227124876258,target,0.229,wick,0.414227124876258,target,0.225,wick
BTCUSDT-2026-05-12-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
ETHUSDT-2026-05-13-long,-1.0,stop,0.283,wick,-1.0,stop,0.23,wick,-1.0,stop,0.246,wick
BTCUSDT-2026-05-13-long,1.9616787662079551,target,0.342,wick,1.9616787662079551,target,0.261,wick,1.9616787662079551,target,0.261,wick
BTCUSDT-2026-05-14-long,-1.0,stop,0.321,wick,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
ETHUSDT-2026-05-16-long,-1.0,stop,0.313,wick,-1.0,stop,0.263,wick,-1.0,stop,0.221,wick
BTCUSDT-2026-05-16-long,-1.0,stop,0.278,wick,-1.0,stop,0.278,wick,-1.0,stop,0.278,wick
BTCUSDT-2026-05-16-long-2,-1.0,stop,0.302,wick,-1.0,stop,0.355,wick,-1.0,stop,0.328,wick
BTCUSDT-2026-05-18-long,0.9713420709741707,timeout,0.326,wick,0.9713420709741707,timeout,0.361,wick,0.9713420709741707,timeout,0.256,wick
BTCUSDT-2026-05-21-long,0.5296583762959556,target,0.396,wick,0.5296583762959556,target,0.456,wick,0.5296583762959556,target,0.53,target
BTCUSDT-2026-05-23-long,0.46803683437875493,target,0.313,wick,0.46803683437875493,target,0.296,wick,0.46803683437875493,target,0.296,wick
BTCUSDT-2026-05-24-long,0.4521164597400681,target,0.299,wick,0.4521164597400681,target,0.301,wick,0.4521164597400681,target,0.21,wick
BTCUSDT-2026-05-27-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-05-28-long,0.9259726603575218,timeout,0.277,wick,0.9259726603575218,timeout,0.264,wick,0.9259726603575218,timeout,0.33,wick
ETHUSDT-2026-05-28-long,0.8310227569971218,target,0.257,wick,0.8310227569971218,target,0.562,wick,0.8310227569971218,target,0.276,wick
BTCUSDT-2026-06-01-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-06-02-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-06-03-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-06-04-long-a,-1.0,stop,0.249,wick,-1.0,stop,0.232,wick,-1.0,stop,0.267,wick
BTCUSDT-2026-06-04-long-b,-0.0536753610691952,timeout,0.3,wick,-0.0536753610691952,timeout,0.301,wick,-0.0536753610691952,timeout,0.284,wick
BTCUSDT-2026-06-05-long,-1.0,stop,0.293,wick,-1.0,stop,0.237,wick,-1.0,stop,0.291,wick
BTCUSDT-2026-06-08-short,0.6827934371055953,target,0.314,wick,0.6827934371055953,target,0.328,wick,0.6827934371055953,target,0.29,wick
BTCUSDT-2026-06-09-long,0.7626103448275862,timeout,0.27,wick,0.7626103448275862,timeout,0.269,wick,0.7626103448275862,timeout,0.187,wick
BTCUSDT-2026-06-10-long-a,0.7307692307692307,target,0.4,wick,0.7307692307692307,target,0.43,wick,0.7307692307692307,target,0.348,wick
BTCUSDT-2026-06-10-long-b,0.25,target,0.25,target,0.25,target,0.25,target,0.25,target,0.25,target
BTCUSDT-2026-06-12-long,0.47770016120365466,target,0.29,wick,0.47770016120365466,target,0.366,wick,0.47770016120365466,target,0.351,wick
BTCUSDT-2026-06-13-long,0.5,target,0.282,wick,0.5,target,0.317,wick,0.5,target,0.34,wick
BTCUSDT-2026-06-15-short,0.8150611111111115,timeout,0.408,wick,0.8150611111111115,timeout,0.41,wick,0.8150611111111115,timeout,0.404,wick
BTCUSDT-2026-06-17-long,-1.0,stop,0.286,wick,-1.0,stop,0.281,wick,-1.0,stop,0.28,wick
BTCUSDT-2026-06-17-long-2,-1.0,stop,0.81,wick,-1.0,stop,0.8,wick,-1.0,stop,0.631,wick
ETHUSDT-2026-06-18-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-06-18-long,0.3757861635220126,target,0.296,wick,0.3757861635220126,target,0.303,wick,0.3757861635220126,target,0.376,target
BTCUSDT-2026-06-23-long,-1.0,stop,0.296,wick,-1.0,stop,0.291,wick,-1.0,stop,0.234,wick
BTCUSDT-2026-06-24-long,1.0416496529195556,target,0.319,wick,1.0416496529195556,target,0.367,wick,1.0416496529195556,target,0.294,wick
BTCUSDT-2026-06-25-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-06-25-long-2,0.5610189573459707,timeout,0.354,wick,0.5610189573459707,timeout,0.249,wick,0.5610189573459707,timeout,0.334,wick
BTCUSDT-2026-06-26-long,-0.07124374999999873,timeout,0.258,wick,-0.07124374999999873,timeout,0.258,wick,-0.07124374999999873,timeout,0.494,wick
BTCUSDT-2026-06-27-long,0.005393750000000637,timeout,0.005,timeout,0.005393750000000637,timeout,0.005,timeout,0.005393750000000637,timeout,0.005,timeout
BTCUSDT-2026-06-29-short,-0.024129025849866724,timeout,0.289,wick,-0.024129025849866724,timeout,0.275,wick,-0.024129025849866724,timeout,0.348,wick
BTCUSDT-2026-06-30-long,1.6127298508828125,timeout,0.292,wick,1.6127298508828125,timeout,0.244,wick,1.6127298508828125,timeout,0.233,wick
BTCUSDT-2026-06-30-long-2,2.7758869381510998,timeout,0.214,wick,2.7758869381510998,timeout,0.141,wick,2.7758869381510998,timeout,0.007,wick
BTCUSDT-2026-07-01-short,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
ETHUSDT-2026-07-02-short,-1.0,stop,0.371,wick,-1.0,stop,-1.0,stop,-1.0,stop,0.077,wick
ETHUSDT-2026-07-02-short-2,-1.0,stop,0.239,wick,-1.0,stop,0.222,wick,-1.0,stop,0.071,wick
ETHUSDT-2026-07-04-short,-1.0,stop,0.285,wick,-1.0,stop,0.225,wick,-1.0,stop,0.243,wick
BTCUSDT-2026-07-09-long,0.5033662330871285,target,0.439,wick,0.5033662330871285,target,0.386,wick,0.5033662330871285,target,0.34,wick
BTCUSDT-2026-07-13-long,0.9601693586325836,target,0.359,wick,0.9601693586325836,target,0.339,wick,0.9601693586325836,target,0.338,wick
BTCUSDT-2026-07-15-short,1.5572586187606956,target,0.328,wick,1.5572586187606956,target,0.271,wick,1.5572586187606956,target,0.311,wick
BTCUSDT-2026-07-17-long-scalp,1.0545454545454545,target,0.448,wick,1.0545454545454545,target,0.462,wick,1.0545454545454545,target,0.526,wick
BTCUSDT-2026-07-17-long-swing,0.9026070859258526,target,0.38,wick,0.9026070859258526,target,0.369,wick,0.9026070859258526,target,0.401,wick
BTCUSDT-2026-07-21-short,0.4360938247965505,timeout,0.353,wick,0.4360938247965505,timeout,0.343,wick,0.4360938247965505,timeout,0.334,wick
BTCUSDT-2026-07-23-long,0.5497869043006587,target,0.303,wick,0.5497869043006587,target,0.293,wick,0.5497869043006587,target,0.296,wick
BTCUSDT-2026-07-24-long,0.9271359089657756,target,0.472,wick,0.9271359089657756,target,0.437,wick,0.9271359089657756,target,0.437,wick
BTCUSDT-2026-07-27-short,0.5543638765835117,target,0.399,wick,0.5543638765835117,target,0.425,wick,0.5543638765835117,target,0.554,target
BTCUSDT-2026-07-28-long,0.8416978776529344,timeout,0.411,wick,0.8416978776529344,timeout,0.34,wick,0.8416978776529344,timeout,0.444,wick
BTCUSDT-2026-07-29-long,-1.0,stop,0.27,wick,-1.0,stop,0.277,wick,-1.0,stop,0.109,wick
BTCUSDT-2026-07-29-long-2,-1.0,stop,0.317,wick,-1.0,stop,0.311,wick,-1.0,stop,0.311,wick
BTCUSDT-2026-07-30-short,1.1754874999999994,timeout,0.278,wick,1.1754874999999994,timeout,0.272,wick,1.1754874999999994,timeout,0.464,wick
BTCUSDT-2026-07-31-long,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-08-01-long,1.0222332104647989,timeout,0.546,wick,1.0222332104647989,timeout,0.531,wick,1.0222332104647989,timeout,0.552,wick
ETHUSDT-2026-08-02-long,1.0,target,0.494,wick,1.0,target,0.511,wick,1.0,target,0.49,wick
ETHUSDT-2026-08-04-long,0.4098360655737705,target,0.364,wick,0.4098360655737705,target,0.41,target,0.4098360655737705,target,0.41,target
ETHUSDT-2026-08-05-long,1.1577173127859368,timeout,0.425,wick,1.1577173127859368,timeout,0.595,wick,1.1577173127859368,timeout,0.541,wick
ETHUSDT-2026-08-05-short,-0.0330000000000003,timeout,0.29,wick,-0.0330000000000003,timeout,0.321,wick,-0.0330000000000003,timeout,0.206,wick
BTCUSDT-2026-08-06-short,0.21970488779587652,timeout,0.347,wick,0.21970488779587652,timeout,0.338,wick,0.21970488779587652,timeout,0.349,wick
ETHUSDT-2026-08-07-short,0.8368846436443773,target,0.413,wick,0.8368846436443773,target,0.253,wick,0.8368846436443773,target,0.271,wick
BTCUSDT-2026-08-10-long,-0.17942332896461044,timeout,0.293,wick,-0.17942332896461044,timeout,0.292,wick,-0.17942332896461044,timeout,0.419,wick
ETHUSDT-2026-08-10-long,0.5614834092387764,target,0.442,wick,0.5614834092387764,target,0.252,wick,0.5614834092387764,target,0.232,wick
BTCUSDT-2026-08-17-short,-1.0,stop,0.313,wick,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop
BTCUSDT-2026-08-20-long,1.4669900296416156,target,0.556,wick,1.4669900296416156,target,0.294,wick,1.4669900296416156,target,0.823,wick
BTCUSDT-2026-08-20-short,-1.0,stop,0.294,wick,-1.0,stop,0.315,wick,-1.0,stop,0.245,wick
BTCUSDT-2026-08-21-long,0.08180000000000291,timeout,0.235,wick,0.08180000000000291,timeout,0.186,wick,0.08180000000000291,timeout,0.175,wick
