position_id,symbol,side,resolution,r,exit_time_utc
ETHUSDT-2026-05-13-long,ETHUSDT,long,stop,-1.0,2026-05-13 15:45:00+00:00
PARTIUSDT-2026-05-16-long,,,stop_implausible,,
BTCUSDT-2026-05-16-long,BTCUSDT,long,stop,-1.0,2026-05-16 10:15:00+00:00
BTCUSDT-2026-05-16-long-2,BTCUSDT,long,stop,-1.0,2026-05-17 23:30:00+00:00
FETUSDT-2026-06-02-long,FETUSDT,long,stop,-1.0,2026-06-02 19:15:00+00:00
BTCUSDT-2026-06-02-long,BTCUSDT,long,stop,-1.0,2026-06-02 19:30:00+00:00
SEIUSDT-2026-06-02-long,SEIUSDT,long,stop,-1.0,2026-06-02 22:45:00+00:00
ETHUSDT-2026-06-06-long-spot,,,unresolvable_missing_fields,,
SOLUSDT-2026-06-06-long,,,unresolvable_missing_fields,,
BTCUSDT-2026-06-06-spot-long,,,unresolvable_missing_fields,,
GOLD-2026-06-09-short,,,no_bars,,
BEATUSDT-2026-06-09-short-2,BEATUSDT,short,stop,-1.0,2026-06-10 06:30:00+00:00
XMRUSDT-2026-06-15-long,XMRUSDT,long,stop,-1.0,2026-06-18 19:00:00+00:00
WLDUSDT-2026-06-16-long,WLDUSDT,long,stop,-1.0,2026-06-23 09:30:00+00:00
HYPEUSDT-2026-06-16-long,,,unresolvable_missing_fields,,
LDOUSDT-2026-06-17-long,LDOUSDT,long,stop,-1.0,2026-06-18 15:30:00+00:00
TAOUSDT-2026-06-17-long,,,unresolvable_missing_fields,,
BTCUSDT-2026-06-29-long,,,unresolvable_missing_fields,,
ETHUSDT-2026-07-04-short,ETHUSDT,short,stop,-1.0,2026-07-04 17:45:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,stop,-1.0,2026-07-23 21:45:00+00:00
GOLD-2026-07-24-long,,,no_bars,,
BTWUSDT-2026-07-27-long-spot,,,stop_implausible,,
SOLUSDT-2026-07-28-long,SOLUSDT,long,timeout,5.406,2026-08-22 13:30:00+00:00
ETHUSDT-2026-08-01-short,,,unresolvable_missing_fields,,
THETAUSDT-2026-08-07-short,THETAUSDT,short,stop,-1.0,2026-08-09 16:30:00+00:00
BTCUSDT-2026-08-11-long-spot,,,unresolvable_missing_fields,,
HOLOUSDT-2026-08-12-long-spot,,,unresolvable_missing_fields,,
ENSUSDT-2026-08-14-long,ENSUSDT,long,stop,-1.0,2026-08-16 21:00:00+00:00
ZECUSDT-2026-08-18-short,ZECUSDT,short,stop,-1.0,2026-08-19 14:15:00+00:00
HYPEUSDT-2026-08-19-short,HYPEUSDT,short,stop,-1.0,2026-08-19 15:30:00+00:00
ARBUSDT-2026-08-20-short,ARBUSDT,short,stop,-1.0,2026-08-20 17:00:00+00:00
SUIUSDT-2026-08-20-long,,,unresolvable_missing_fields,,
AVAXUSDT-2026-08-20-long,,,unresolvable_missing_fields,,
LINKUSDT-2026-08-20-long,,,unresolvable_missing_fields,,
BERAUSDT-2026-08-21-long,BERAUSDT,long,stop,1.0,2026-08-21 11:00:00+00:00
